player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,参加節数,VPIP,VPIP_hands,PFR,PFR_hands,3bet,3bet_hands,Fold to 3bet,Fold to 3bet_hands,CB,CB_hands,WTSD,WTSD_hands,W$SD,W$SD_hands
X2HiN5-cFQ,ゴン02（江戸犬）,B,+4988.2,20,6267,17,26.23,6267,19.96,6267,10.74,2448,59.53,257,55.1,461,36.5,896,56.27,327
r1CBe6Qe79,なんでやねん,A,+12387,20,4797,16,28.52,4797,20.62,4797,10.99,1792,67.63,207,47.46,335,37.86,729,56.52,276
k5rEzFp2MR,arash!,C,+4343.8,20,4745,15,26.87,4745,20.67,4745,11.1,1775,67.16,201,59.31,376,34.2,652,52.02,223
j_3joKfzS9,takatony,A,+5910.8,20,4533,11,25.33,4533,18.38,4533,9.72,1687,64.52,186,59.61,255,32.51,569,60.0,185
WtIP2AbI23,ノガード,B,+8378.6,20,4329,18,26.43,4329,20.49,4329,10.62,1600,64.71,187,49.85,323,34.86,588,57.07,205
DXrWVNkdav,TNT,C,-172.4,20,4300,17,36.65,4300,28.51,4300,22.98,1597,43.0,200,65.88,466,40.31,913,52.72,368
byYrvu0Qdy,ElNino,A,+18514.8,20,4189,17,26.12,4189,19.62,4189,11.5,1461,53.93,178,61.59,302,39.14,626,52.65,245
WeOKnoOueQ,hinano,C,+22548.8,20,4009,13,36.02,4009,27.01,4009,15.68,1569,59.42,207,62.77,411,35.16,748,46.39,263
b7sgMo_M-5,konasho,C,-1038.2,20,3950,15,23.47,3950,17.77,3950,9.38,1492,69.05,168,57.85,242,35.5,462,57.93,164
yEOnuJcBZo,Rabbit900,C,+2187.8,20,3883,10,26.73,3883,19.83,3883,13.43,1519,52.67,150,51.24,283,31.85,518,55.76,165
bqEtnO6wX9,つー,B,+19238,20,3602,15,25.49,3602,18.38,3602,8.99,1391,60.0,145,65.69,239,34.54,524,50.83,181
nPiUhQEVMi,かいる,B,+4512,20,3519,16,24.35,3519,17.96,3519,9.52,1303,52.52,139,57.27,227,35.11,487,51.46,171
hig4fvwo_m,とーち,C,+2247.2,20,3285,14,24.17,3285,18.57,3285,9.15,1268,68.31,142,59.56,225,30.35,425,51.94,129
Sc5KlYAPzP,mo’,B,-61.8,20,2988,8,23.8,2988,19.51,2988,11.14,1077,67.97,128,41.71,211,34.92,378,44.7,132
Oo-rx1G24B,GIL RAIM,C,-15075,20,2790,13,28.92,2790,17.99,2790,9.35,995,25.81,93,55.0,200,35.71,546,43.08,195
Oc04ITRF7i,waho,C,+506.8,20,2672,9,21.93,2672,16.73,2672,9.06,1037,61.36,88,53.09,162,35.0,300,50.48,105
3FatmzAl-m,Kuni,C,+4772.6,20,2623,9,40.37,2623,22.8,2623,12.31,1080,32.5,120,77.5,200,35.45,694,47.15,246
DZezvMNAJy,Noram,C,+2902.6,20,2449,10,30.79,2449,21.85,2449,8.41,927,53.91,115,50.0,208,33.33,426,52.82,142
3liBhfdN10,揚げもち,C,+2891,20,2369,8,25.07,2369,18.91,2369,8.83,951,65.43,81,48.55,138,38.11,265,63.37,101
QBTw2JRIw5,Ramune,C,+5242,20,2268,8,24.56,2268,17.77,2268,11.47,811,49.4,83,56.76,148,32.2,295,47.37,95
vdNIJNJGUU,すとふぁ,C,-4448.8,20,2267,10,26.25,2267,19.67,2267,9.42,849,58.54,82,66.47,167,34.74,308,48.6,107
yokMVzYG_q,AontheRiver,C,+23132,20,2247,5,33.56,2247,24.88,2247,11.14,907,71.13,142,52.17,207,31.34,367,58.26,115
4_RBXVU9-k,翔斗,C,-60,20,2118,6,23.14,2118,16.9,2118,5.99,902,55.42,83,51.56,128,26.17,256,59.7,67
cCFXQyltQ-,engawa,C,-8873,20,2032,6,29.72,2032,18.66,2031,9.14,864,44.44,81,58.54,123,33.24,352,47.01,117
ZzPjBrJeSm,roi,C,-34206.8,20,2025,15,35.06,2025,22.86,2025,14.57,810,31.4,86,60.48,167,41.98,455,45.55,191
O1ujh7Dkxd,shunta,C,-4867,20,1976,7,27.43,1976,17.16,1976,7.39,853,69.7,66,42.11,114,35.69,297,51.89,106
d51959d6-9d74-41b0-867e-28d4f754897f,sugasuga,D,-2593.2,20,1902,2,19.82,1902,13.2,1902,7.72,674,66.2,71,54.44,90,34.22,225,51.95,77
-QE9uKlHEU,kenyu,C,+407.8,20,1830,6,29.02,1830,19.23,1830,11.09,622,36.0,75,64.52,124,39.5,319,53.17,126
mXg0a8r7as,Fuku,C,+3751.6,20,1828,16,26.81,1828,17.67,1828,12.11,636,59.26,54,49.18,122,39.79,289,59.13,115
46bcb58c-75ae-43da-9973-67583ea19221,03/Omi,D,+8599.8,20,1688,2,20.32,1688,16.11,1688,13.97,630,17.5,40,58.1,105,28.86,201,37.93,58
g0yui9LXM4,utos,C,+3783,20,1678,10,34.21,1678,25.39,1678,15.47,627,50.62,81,58.45,142,32.76,293,41.67,96
UHNPbgw1ue,okbokujo,C,-3513,20,1633,8,26.7,1633,16.9,1633,8.61,627,55.36,56,59.0,100,31.52,276,49.43,87
9kBl9X8tEm,だいすけ,C,-16421.2,20,1525,6,25.25,1525,16.46,1525,10.8,611,32.56,43,51.16,86,36.1,241,31.03,87
