player_id,プレイヤー,リーグ,収支,ハンド数,VPIP,PFR,3bet,Fold to 3bet,CB,WTSD,W$SD
vdNIJNJGUU,すとふぁ,C,+1425,213,23.47,17.84,6.45,50.0,54.55,39.13,55.56
WtIP2AbI23,ノガード,C,-5201,212,16.98,14.62,8.51,66.67,50.0,43.75,14.29
MI-fYAoFiY,ゆうま,C,-2215,212,21.23,12.26,7.69,33.33,100.0,33.33,71.43
X2HiN5-cFQ,ゴン02（江戸犬）,C,+1303,200,25.5,18.5,5.43,85.71,43.75,60.0,50.0
3FatmzAl-m,Kuni,C,+3610,186,26.34,15.05,7.79,75.0,87.5,45.83,63.64
WjqaCs8A5o,ばどえあー,C,-981,109,16.51,12.84,4.44,0.0,0.0,25.0,50.0
6N30cpGlP_,Ene,C,+107,102,16.67,13.73,2.44,100.0,25.0,37.5,66.67
GtqOGZOqIV,粗茶,C,-899,77,22.08,16.88,10.26,66.67,80.0,30.0,33.33
g0yui9LXM4,utos,C,+451,59,27.12,22.03,4.17,100.0,60.0,25.0,50.0
6EXZrOgNuV,ふじ,C,+1930,50,36.0,28.0,4.76,100.0,66.67,28.57,0.0
Q2j8jaLDDn,stshin,C,+520,26,15.38,11.54,0.0,0.0,0.0,0.0,0.0
b7sgMo_M-5,konasho,C,0,21,14.29,9.52,0.0,0.0,0.0,0.0,0.0
XaClitYV1x,らねおか,C,+30,16,12.5,6.25,0.0,0.0,0.0,0.0,0.0
U3O4lU7Zcn,そばやき,C,-80,7,14.29,0.0,0.0,0.0,0.0,0.0,0.0
k5rEzFp2MR,arash!,C,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
