player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Yu.",1UXbmlVx8V,2026-02-02T12:01:41.290Z,2026-02-02T12:29:36.799Z,2090,1701,0,-389
"SetsunaTrip",O2b7zy1-XM,2026-02-02T12:01:41.287Z,2026-02-02T12:29:18.663Z,2050,1962,0,-88
"sigma",yHZrsG6l5j,2026-02-02T11:53:53.843Z,2026-02-02T11:58:29.368Z,2000,5070,0,3070
"常盤木いつき",0QyEE5Hc9o,2026-02-02T11:33:56.548Z,2026-02-02T11:53:03.334Z,2260,2356,0,96
"itsuki_tokiwag",0QyEE5Hc9o,2026-02-02T11:31:41.373Z,2026-02-02T11:33:39.183Z,2000,2000,0,0
"ジョニー",jfd6Uaakn8,2026-02-02T11:27:58.392Z,2026-02-02T11:56:24.954Z,2000,2040,0,40
"hinano",WeOKnoOueQ,2026-02-02T11:27:58.390Z,2026-02-02T12:29:18.659Z,5135,2520,0,-2615
"satoru",t7MdS6sSCT,2026-02-02T11:23:40.019Z,2026-02-02T11:56:24.948Z,3000,3000,0,0
"-TOMO-",yUQKagAjCW,2026-02-02T11:22:39.466Z,,2500,,2573,73
"icchi",6ybXdApWzf,2026-02-02T11:22:39.471Z,2026-02-02T12:17:08.571Z,3152,3075,0,-77
"itsuki_tokiwag",0QyEE5Hc9o,2026-02-02T11:22:39.468Z,2026-02-02T11:30:46.919Z,2110,2000,0,-110
