entry,at,order
"The player ""Guest @ fOKpNLU9fX"" passed the room ownership to ""-TOMO- @ yUQKagAjCW"".",2026-02-02T12:32:33.056Z,177003555305600
"The player ""Yu. @ 1UXbmlVx8V"" quits the game with a stack of 1441.",2026-02-02T12:29:36.795Z,177003537679500
"-- ending hand #79 --",2026-02-02T12:29:33.864Z,177003537386402
"""Yu. @ 1UXbmlVx8V"" collected 20 from pot",2026-02-02T12:29:33.864Z,177003537386401
"Uncalled bet of 10 returned to ""Yu. @ 1UXbmlVx8V""",2026-02-02T12:29:33.864Z,177003537386400
"""-TOMO- @ yUQKagAjCW"" folds",2026-02-02T12:29:33.014Z,177003537301400
"""Yu. @ 1UXbmlVx8V"" posts a big blind of 20",2026-02-02T12:29:18.653Z,177003535865308
"""-TOMO- @ yUQKagAjCW"" posts a small blind of 10",2026-02-02T12:29:18.653Z,177003535865307
"Player stacks: #1 ""-TOMO- @ yUQKagAjCW"" (2583) | #6 ""Yu. @ 1UXbmlVx8V"" (1431)",2026-02-02T12:29:18.653Z,177003535865304
"-- starting hand #79 (id: anv8tnnko6zv)  (No Limit Texas Hold'em) (dealer: ""-TOMO- @ yUQKagAjCW"") --",2026-02-02T12:29:18.653Z,177003535865303
"The player ""SetsunaTrip @ O2b7zy1-XM"" quits the game with a stack of 1962.",2026-02-02T12:29:18.653Z,177003535865302
"The player ""hinano @ WeOKnoOueQ"" quits the game with a stack of 2520.",2026-02-02T12:29:18.653Z,177003535865301
"The player ""hinano @ WeOKnoOueQ"" stand up with the stack of 2520.",2026-02-02T12:29:18.653Z,177003535865300
"-- ending hand #78 --",2026-02-02T12:29:15.698Z,177003535569802
"""Yu. @ 1UXbmlVx8V"" collected 50 from pot",2026-02-02T12:29:15.698Z,177003535569801
"Uncalled bet of 30 returned to ""Yu. @ 1UXbmlVx8V""",2026-02-02T12:29:15.698Z,177003535569800
"""-TOMO- @ yUQKagAjCW"" folds",2026-02-02T12:29:14.895Z,177003535489500
"""SetsunaTrip @ O2b7zy1-XM"" folds",2026-02-02T12:29:13.779Z,177003535377900
"""Yu. @ 1UXbmlVx8V"" raises to 50",2026-02-02T12:29:09.227Z,177003534922700
"""hinano @ WeOKnoOueQ"" folds",2026-02-02T12:29:04.369Z,177003534436900
"""-TOMO- @ yUQKagAjCW"" posts a big blind of 20",2026-02-02T12:28:59.429Z,177003533942907
"""SetsunaTrip @ O2b7zy1-XM"" posts a small blind of 10",2026-02-02T12:28:59.429Z,177003533942906
"Player stacks: #1 ""-TOMO- @ yUQKagAjCW"" (2603) | #3 ""hinano @ WeOKnoOueQ"" (2520) | #6 ""Yu. @ 1UXbmlVx8V"" (1401) | #10 ""SetsunaTrip @ O2b7zy1-XM"" (1972)",2026-02-02T12:28:59.429Z,177003533942901
