entry,at,order
"The player ""だいすけ @ 9kBl9X8tEm"" quits the game with a stack of 1458.",2026-02-02T12:31:49.169Z,177003550916900
"The player ""ElNino @ byYrvu0Qdy"" quits the game with a stack of 3996.",2026-02-02T12:31:49.006Z,177003550900600
"-- ending hand #79 --",2026-02-02T12:31:46.025Z,177003550602502
"""ElNino @ byYrvu0Qdy"" collected 20 from pot",2026-02-02T12:31:46.025Z,177003550602501
"Uncalled bet of 10 returned to ""ElNino @ byYrvu0Qdy""",2026-02-02T12:31:46.025Z,177003550602500
"""だいすけ @ 9kBl9X8tEm"" folds",2026-02-02T12:31:45.205Z,177003550520500
"""ElNino @ byYrvu0Qdy"" posts a big blind of 20",2026-02-02T12:31:42.997Z,177003550299707
"""だいすけ @ 9kBl9X8tEm"" posts a small blind of 10",2026-02-02T12:31:42.997Z,177003550299706
"Player stacks: #4 ""ElNino @ byYrvu0Qdy"" (3986) | #9 ""だいすけ @ 9kBl9X8tEm"" (1468)",2026-02-02T12:31:42.997Z,177003550299703
"-- starting hand #79 (id: zb7oaf9h4ys2)  (No Limit Texas Hold'em) (dealer: ""だいすけ @ 9kBl9X8tEm"") --",2026-02-02T12:31:42.997Z,177003550299702
"The player ""実力の若林 @ BZCdwuhpMU"" quits the game with a stack of 2517.",2026-02-02T12:31:42.997Z,177003550299701
"The player ""makoh @ g6iLEQsU67"" quits the game with a stack of 1030.",2026-02-02T12:31:42.997Z,177003550299700
"-- ending hand #78 --",2026-02-02T12:31:39.995Z,177003549999502
"""ElNino @ byYrvu0Qdy"" collected 40 from pot",2026-02-02T12:31:39.995Z,177003549999501
"Uncalled bet of 40 returned to ""ElNino @ byYrvu0Qdy""",2026-02-02T12:31:39.995Z,177003549999500
"""だいすけ @ 9kBl9X8tEm"" folds",2026-02-02T12:31:39.187Z,177003549918700
"""ElNino @ byYrvu0Qdy"" raises to 60",2026-02-02T12:31:36.505Z,177003549650500
"""実力の若林 @ BZCdwuhpMU"" folds",2026-02-02T12:31:29.869Z,177003548986900
"""makoh @ g6iLEQsU67"" folds",2026-02-02T12:31:15.725Z,177003547572500
"""だいすけ @ 9kBl9X8tEm"" posts a big blind of 20",2026-02-02T12:31:08.969Z,177003546896909
"Dead Small Blind",2026-02-02T12:31:08.969Z,177003546896908
"Player stacks: #2 ""makoh @ g6iLEQsU67"" (1030) | #3 ""実力の若林 @ BZCdwuhpMU"" (2517) | #4 ""ElNino @ byYrvu0Qdy"" (3966) | #9 ""だいすけ @ 9kBl9X8tEm"" (1488)",2026-02-02T12:31:08.969Z,177003546896903
"-- starting hand #78 (id: nddhorvwqswj)  (No Limit Texas Hold'em) (dead button) --",2026-02-02T12:31:08.969Z,177003546896902
"The player ""alfort @ TkMT4agdsh"" quits the game with a stack of 1910.",2026-02-02T12:31:08.969Z,177003546896901
"The player ""nekosaki @ cSNEDiUvjX"" quits the game with a stack of 2567.",2026-02-02T12:31:08.969Z,177003546896900
"-- ending hand #77 --",2026-02-02T12:31:00.912Z,177003546091204
"""だいすけ @ 9kBl9X8tEm"" collected 744 from pot with Three of a Kind, 2's on the second run  (combination: 2♣, 2♥, 2♠, A♦, K♣)",2026-02-02T12:31:00.912Z,177003546091203
"""実力の若林 @ BZCdwuhpMU"" collected 744 from pot with Three of a Kind, 2's on the second run  (combination: 2♣, 2♥, 2♠, A♥, K♦)",2026-02-02T12:31:00.912Z,177003546091202
"""だいすけ @ 9kBl9X8tEm"" collected 744 from pot with Pair, A's (combination: A♦, A♣, K♣, Q♦, 7♠)",2026-02-02T12:31:00.912Z,177003546091201
"""実力の若林 @ BZCdwuhpMU"" collected 744 from pot with Pair, A's (combination: A♥, A♣, K♦, Q♦, 7♠)",2026-02-02T12:31:00.912Z,177003546091200
"River (second run): 7♥, 2♣, 10♥, 2♥ [2♠]",2026-02-02T12:30:56.908Z,177003545690800
"Turn (second run): 7♥, 2♣, 10♥ [2♥]",2026-02-02T12:30:52.888Z,177003545288800
"Flop (second run):  [7♥, 2♣, 10♥]",2026-02-02T12:30:48.885Z,177003544888500
"River: A♣, 5♠, 3♦, Q♦ [7♠]",2026-02-02T12:30:44.882Z,177003544488200
"Turn: A♣, 5♠, 3♦ [Q♦]",2026-02-02T12:30:40.879Z,177003544087900
"Flop:  [A♣, 5♠, 3♦]",2026-02-02T12:30:36.873Z,177003543687300
"""だいすけ @ 9kBl9X8tEm"" shows a K♣, A♦.",2026-02-02T12:30:32.829Z,177003543282902
"""実力の若林 @ BZCdwuhpMU"" shows a A♥, K♦.",2026-02-02T12:30:32.829Z,177003543282901
"Uncalled bet of 1029 returned to ""実力の若林 @ BZCdwuhpMU""",2026-02-02T12:30:32.829Z,177003543282900
"The board will run it twice due the game settings.",2026-02-02T12:30:31.948Z,177003543194801
"""だいすけ @ 9kBl9X8tEm"" calls 1473 and go all in",2026-02-02T12:30:31.948Z,177003543194800
"""実力の若林 @ BZCdwuhpMU"" raises to 2502 and go all in",2026-02-02T12:30:28.929Z,177003542892900
"""だいすけ @ 9kBl9X8tEm"" raises to 580",2026-02-02T12:30:17.804Z,177003541780400
"""nekosaki @ cSNEDiUvjX"" folds",2026-02-02T12:30:07.114Z,177003540711400
"""alfort @ TkMT4agdsh"" folds",2026-02-02T12:30:05.716Z,177003540571600
"""ElNino @ byYrvu0Qdy"" folds",2026-02-02T12:30:04.468Z,177003540446800
"""実力の若林 @ BZCdwuhpMU"" raises to 170",2026-02-02T12:30:03.459Z,177003540345900
"""makoh @ g6iLEQsU67"" folds",2026-02-02T12:29:55.284Z,177003539528400
"""だいすけ @ 9kBl9X8tEm"" raises to 60",2026-02-02T12:29:54.208Z,177003539420800
"""nekosaki @ cSNEDiUvjX"" posts a big blind of 20",2026-02-02T12:29:46.677Z,177003538667709
"""alfort @ TkMT4agdsh"" posts a small blind of 10",2026-02-02T12:29:46.677Z,177003538667708
"Player stacks: #2 ""makoh @ g6iLEQsU67"" (1030) | #3 ""実力の若林 @ BZCdwuhpMU"" (2502) | #4 ""ElNino @ byYrvu0Qdy"" (3966) | #5 ""alfort @ TkMT4agdsh"" (1920) | #6 ""nekosaki @ cSNEDiUvjX"" (2587) | #9 ""だいすけ @ 9kBl9X8tEm"" (1473)",2026-02-02T12:29:46.677Z,177003538667701
"-- starting hand #77 (id: twohljdzsunw)  (No Limit Texas Hold'em) (dealer: ""ElNino @ byYrvu0Qdy"") --",2026-02-02T12:29:46.677Z,177003538667700
"-- ending hand #76 --",2026-02-02T12:29:43.768Z,177003538376802
"""nekosaki @ cSNEDiUvjX"" collected 50 from pot",2026-02-02T12:29:43.768Z,177003538376801
"Uncalled bet of 20 returned to ""nekosaki @ cSNEDiUvjX""",2026-02-02T12:29:43.768Z,177003538376800
"""alfort @ TkMT4agdsh"" folds",2026-02-02T12:29:42.936Z,177003538293600
"""ElNino @ byYrvu0Qdy"" folds",2026-02-02T12:29:40.755Z,177003538075500
"""実力の若林 @ BZCdwuhpMU"" folds",2026-02-02T12:29:39.745Z,177003537974500
"""makoh @ g6iLEQsU67"" folds",2026-02-02T12:29:38.712Z,177003537871200
"""だいすけ @ 9kBl9X8tEm"" folds",2026-02-02T12:29:37.680Z,177003537768000
"""nekosaki @ cSNEDiUvjX"" raises to 40",2026-02-02T12:29:33.725Z,177003537372500
"""alfort @ TkMT4agdsh"" posts a big blind of 20",2026-02-02T12:29:30.583Z,177003537058309
"""ElNino @ byYrvu0Qdy"" posts a small blind of 10",2026-02-02T12:29:30.583Z,177003537058308
"Player stacks: #2 ""makoh @ g6iLEQsU67"" (1030) | #3 ""実力の若林 @ BZCdwuhpMU"" (2502) | #4 ""ElNino @ byYrvu0Qdy"" (3976) | #5 ""alfort @ TkMT4agdsh"" (1940) | #6 ""nekosaki @ cSNEDiUvjX"" (2557) | #9 ""だいすけ @ 9kBl9X8tEm"" (1473)",2026-02-02T12:29:30.583Z,177003537058301
"-- starting hand #76 (id: ku6oogkc3rci)  (No Limit Texas Hold'em) (dealer: ""実力の若林 @ BZCdwuhpMU"") --",2026-02-02T12:29:30.583Z,177003537058300
"-- ending hand #75 --",2026-02-02T12:29:27.660Z,177003536766002
"""実力の若林 @ BZCdwuhpMU"" collected 40 from pot",2026-02-02T12:29:27.660Z,177003536766001
"Uncalled bet of 45 returned to ""実力の若林 @ BZCdwuhpMU""",2026-02-02T12:29:27.660Z,177003536766000
"""ElNino @ byYrvu0Qdy"" folds",2026-02-02T12:29:26.802Z,177003536680200
"""実力の若林 @ BZCdwuhpMU"" raises to 65",2026-02-02T12:29:25.137Z,177003536513700
"""makoh @ g6iLEQsU67"" folds",2026-02-02T12:29:19.839Z,177003535983900
"""だいすけ @ 9kBl9X8tEm"" folds",2026-02-02T12:29:18.332Z,177003535833200
"""nekosaki @ cSNEDiUvjX"" folds",2026-02-02T12:29:16.984Z,177003535698400
"""alfort @ TkMT4agdsh"" folds",2026-02-02T12:29:14.793Z,177003535479300
"""ElNino @ byYrvu0Qdy"" posts a big blind of 20",2026-02-02T12:29:13.249Z,177003535324909
"""実力の若林 @ BZCdwuhpMU"" posts a small blind of 10",2026-02-02T12:29:13.249Z,177003535324908
"Player stacks: #2 ""makoh @ g6iLEQsU67"" (1030) | #3 ""実力の若林 @ BZCdwuhpMU"" (2482) | #4 ""ElNino @ byYrvu0Qdy"" (3996) | #5 ""alfort @ TkMT4agdsh"" (1940) | #6 ""nekosaki @ cSNEDiUvjX"" (2557) | #9 ""だいすけ @ 9kBl9X8tEm"" (1473)",2026-02-02T12:29:13.249Z,177003535324901
"-- starting hand #75 (id: mjhlojvuzcpn)  (No Limit Texas Hold'em) (dealer: ""makoh @ g6iLEQsU67"") --",2026-02-02T12:29:13.249Z,177003535324900
"-- ending hand #74 --",2026-02-02T12:29:10.296Z,177003535029602
"""だいすけ @ 9kBl9X8tEm"" collected 50 from pot",2026-02-02T12:29:10.296Z,177003535029601
"Uncalled bet of 40 returned to ""だいすけ @ 9kBl9X8tEm""",2026-02-02T12:29:10.296Z,177003535029600
"""実力の若林 @ BZCdwuhpMU"" folds",2026-02-02T12:29:09.472Z,177003534947200
"""makoh @ g6iLEQsU67"" folds",2026-02-02T12:28:54.777Z,177003533477700
"""だいすけ @ 9kBl9X8tEm"" raises to 60",2026-02-02T12:28:52.873Z,177003533287300
"""nekosaki @ cSNEDiUvjX"" folds",2026-02-02T12:28:47.701Z,177003532770100
"""alfort @ TkMT4agdsh"" folds",2026-02-02T12:28:42.489Z,177003532248900
"""ElNino @ byYrvu0Qdy"" folds",2026-02-02T12:28:40.817Z,177003532081700
"""実力の若林 @ BZCdwuhpMU"" posts a big blind of 20",2026-02-02T12:28:37.956Z,177003531795609
"""makoh @ g6iLEQsU67"" posts a small blind of 10",2026-02-02T12:28:37.956Z,177003531795608
"Player stacks: #2 ""makoh @ g6iLEQsU67"" (1040) | #3 ""実力の若林 @ BZCdwuhpMU"" (2502) | #4 ""ElNino @ byYrvu0Qdy"" (3996) | #5 ""alfort @ TkMT4agdsh"" (1940) | #6 ""nekosaki @ cSNEDiUvjX"" (2557) | #9 ""だいすけ @ 9kBl9X8tEm"" (1443)",2026-02-02T12:28:37.956Z,177003531795601
"-- starting hand #74 (id: n3bduwm05cvc)  (No Limit Texas Hold'em) (dealer: ""だいすけ @ 9kBl9X8tEm"") --",2026-02-02T12:28:37.956Z,177003531795600
"-- ending hand #73 --",2026-02-02T12:28:31.946Z,177003531194603
"""ElNino @ byYrvu0Qdy"" collected 1180 from pot with Pair, A's (combination: A♠, A♣, 10♣, 9♦, 6♣)",2026-02-02T12:28:31.946Z,177003531194602
"""ElNino @ byYrvu0Qdy"" shows a 5♣, A♠.",2026-02-02T12:28:31.946Z,177003531194601
"""makoh @ g6iLEQsU67"" shows a 10♥, Q♥.",2026-02-02T12:28:31.946Z,177003531194600
"""ElNino @ byYrvu0Qdy"" calls 350",2026-02-02T12:28:31.138Z,177003531113800
"""makoh @ g6iLEQsU67"" bets 350",2026-02-02T12:28:23.071Z,177003530307100
"River: 4♠, A♣, 10♣, 6♣ [9♦]",2026-02-02T12:28:12.992Z,177003529299200
"""ElNino @ byYrvu0Qdy"" calls 115",2026-02-02T12:28:12.182Z,177003529218200
"""makoh @ g6iLEQsU67"" bets 115",2026-02-02T12:28:05.745Z,177003528574500
"Turn: 4♠, A♣, 10♣ [6♣]",2026-02-02T12:27:56.914Z,177003527691400
"""makoh @ g6iLEQsU67"" calls 60",2026-02-02T12:27:56.110Z,177003527611000
"""ElNino @ byYrvu0Qdy"" bets 60",2026-02-02T12:27:48.752Z,177003526875200
"""makoh @ g6iLEQsU67"" checks",2026-02-02T12:27:41.733Z,177003526173300
"Flop:  [4♠, A♣, 10♣]",2026-02-02T12:27:38.237Z,177003525823700
"""makoh @ g6iLEQsU67"" calls 60",2026-02-02T12:27:37.380Z,177003525738000
"""だいすけ @ 9kBl9X8tEm"" folds",2026-02-02T12:27:31.841Z,177003525184100
"""nekosaki @ cSNEDiUvjX"" folds",2026-02-02T12:27:30.153Z,177003525015300
"""alfort @ TkMT4agdsh"" folds",2026-02-02T12:27:29.131Z,177003524913100
"""ElNino @ byYrvu0Qdy"" raises to 60",2026-02-02T12:27:27.906Z,177003524790600
"""実力の若林 @ BZCdwuhpMU"" folds",2026-02-02T12:27:21.553Z,177003524155300
"""makoh @ g6iLEQsU67"" posts a big blind of 20",2026-02-02T12:27:19.114Z,177003523911409
"""だいすけ @ 9kBl9X8tEm"" posts a small blind of 10",2026-02-02T12:27:19.114Z,177003523911408
"Player stacks: #2 ""makoh @ g6iLEQsU67"" (1625) | #3 ""実力の若林 @ BZCdwuhpMU"" (2502) | #4 ""ElNino @ byYrvu0Qdy"" (3401) | #5 ""alfort @ TkMT4agdsh"" (1940) | #6 ""nekosaki @ cSNEDiUvjX"" (2557) | #9 ""だいすけ @ 9kBl9X8tEm"" (1453)",2026-02-02T12:27:19.114Z,177003523911401
"-- starting hand #73 (id: t9vreiugqm54)  (No Limit Texas Hold'em) (dealer: ""nekosaki @ cSNEDiUvjX"") --",2026-02-02T12:27:19.114Z,177003523911400
"-- ending hand #72 --",2026-02-02T12:27:16.200Z,177003523620002
"""ElNino @ byYrvu0Qdy"" collected 490 from pot",2026-02-02T12:27:16.200Z,177003523620001
"Uncalled bet of 500 returned to ""ElNino @ byYrvu0Qdy""",2026-02-02T12:27:16.200Z,177003523620000
"""だいすけ @ 9kBl9X8tEm"" folds",2026-02-02T12:27:15.389Z,177003523538900
"""ElNino @ byYrvu0Qdy"" raises to 740",2026-02-02T12:27:05.720Z,177003522572000
"""だいすけ @ 9kBl9X8tEm"" raises to 240",2026-02-02T12:26:54.150Z,177003521415000
"""nekosaki @ cSNEDiUvjX"" folds",2026-02-02T12:26:45.327Z,177003520532700
"""alfort @ TkMT4agdsh"" folds",2026-02-02T12:26:44.287Z,177003520428700
"""ElNino @ byYrvu0Qdy"" raises to 60",2026-02-02T12:26:42.388Z,177003520238800
"""実力の若林 @ BZCdwuhpMU"" folds",2026-02-02T12:26:38.095Z,177003519809500
"""makoh @ g6iLEQsU67"" folds",2026-02-02T12:26:37.105Z,177003519710500
"""だいすけ @ 9kBl9X8tEm"" posts a big blind of 20",2026-02-02T12:26:35.018Z,177003519501809
"""nekosaki @ cSNEDiUvjX"" posts a small blind of 10",2026-02-02T12:26:35.018Z,177003519501808
"Player stacks: #2 ""makoh @ g6iLEQsU67"" (1625) | #3 ""実力の若林 @ BZCdwuhpMU"" (2502) | #4 ""ElNino @ byYrvu0Qdy"" (3151) | #5 ""alfort @ TkMT4agdsh"" (1940) | #6 ""nekosaki @ cSNEDiUvjX"" (2567) | #9 ""だいすけ @ 9kBl9X8tEm"" (1693)",2026-02-02T12:26:35.018Z,177003519501801
"-- starting hand #72 (id: hzkzat5aespu)  (No Limit Texas Hold'em) (dealer: ""alfort @ TkMT4agdsh"") --",2026-02-02T12:26:35.018Z,177003519501800
"-- ending hand #71 --",2026-02-02T12:26:32.104Z,177003519210402
"""makoh @ g6iLEQsU67"" collected 720 from pot",2026-02-02T12:26:32.104Z,177003519210401
"Uncalled bet of 905 returned to ""makoh @ g6iLEQsU67""",2026-02-02T12:26:32.104Z,177003519210400
"""だいすけ @ 9kBl9X8tEm"" folds",2026-02-02T12:26:31.297Z,177003519129700
"""makoh @ g6iLEQsU67"" bets 905 and go all in",2026-02-02T12:26:28.858Z,177003518885800
"""だいすけ @ 9kBl9X8tEm"" checks",2026-02-02T12:26:20.431Z,177003518043100
"Turn: 9♣, 5♠, 4♠ [9♥]",2026-02-02T12:26:15.949Z,177003517594900
"""だいすけ @ 9kBl9X8tEm"" calls 145",2026-02-02T12:26:15.125Z,177003517512500
"""makoh @ g6iLEQsU67"" bets 145",2026-02-02T12:26:12.245Z,177003517224500
"""だいすけ @ 9kBl9X8tEm"" checks",2026-02-02T12:26:04.413Z,177003516441300
"Flop:  [9♣, 5♠, 4♠]",2026-02-02T12:26:00.924Z,177003516092400
"""だいすけ @ 9kBl9X8tEm"" calls 200",2026-02-02T12:26:00.121Z,177003516012100
"""nekosaki @ cSNEDiUvjX"" folds",2026-02-02T12:25:57.672Z,177003515767200
"""alfort @ TkMT4agdsh"" folds",2026-02-02T12:25:56.657Z,177003515665700
"""ElNino @ byYrvu0Qdy"" folds",2026-02-02T12:25:55.309Z,177003515530900
"""実力の若林 @ BZCdwuhpMU"" folds",2026-02-02T12:25:54.298Z,177003515429800
"""makoh @ g6iLEQsU67"" raises to 200",2026-02-02T12:25:53.277Z,177003515327700
"""だいすけ @ 9kBl9X8tEm"" raises to 60",2026-02-02T12:25:48.734Z,177003514873400
"""nekosaki @ cSNEDiUvjX"" posts a big blind of 20",2026-02-02T12:25:42.338Z,177003514233809
