entry,at,order
"The player ""Guest @ fOKpNLU9fX"" passed the room ownership to ""Kay @ YB5htYGJBx"".",2026-02-02T12:33:18.651Z,177003559865100
"The player ""わんわん @ zFXBMUEx_N"" quits the game with a stack of 4565.",2026-02-02T12:30:53.905Z,177003545390501
"The player ""shunsuke11 @ tqB-r6hdq9"" quits the game with a stack of 2040.",2026-02-02T12:30:53.905Z,177003545390500
"-- ending hand #91 --",2026-02-02T12:30:50.996Z,177003545099602
"""わんわん @ zFXBMUEx_N"" collected 20 from pot",2026-02-02T12:30:50.996Z,177003545099601
"Uncalled bet of 10 returned to ""わんわん @ zFXBMUEx_N""",2026-02-02T12:30:50.996Z,177003545099600
"""shunsuke11 @ tqB-r6hdq9"" folds",2026-02-02T12:30:50.110Z,177003545011000
"""わんわん @ zFXBMUEx_N"" posts a big blind of 20",2026-02-02T12:30:41.478Z,177003544147806
"""shunsuke11 @ tqB-r6hdq9"" posts a small blind of 10",2026-02-02T12:30:41.478Z,177003544147805
"Player stacks: #7 ""shunsuke11 @ tqB-r6hdq9"" (2050) | #10 ""わんわん @ zFXBMUEx_N"" (4555)",2026-02-02T12:30:41.478Z,177003544147802
"-- starting hand #91 (id: orm8sy1ywwgd)  (No Limit Texas Hold'em) (dealer: ""shunsuke11 @ tqB-r6hdq9"") --",2026-02-02T12:30:41.478Z,177003544147801
"The player ""mega @ A9xvP3DhlS"" quits the game with a stack of 1215.",2026-02-02T12:30:41.478Z,177003544147800
"-- ending hand #90 --",2026-02-02T12:30:38.554Z,177003543855402
"""shunsuke11 @ tqB-r6hdq9"" collected 20 from pot",2026-02-02T12:30:38.554Z,177003543855401
"Uncalled bet of 10 returned to ""shunsuke11 @ tqB-r6hdq9""",2026-02-02T12:30:38.554Z,177003543855400
"""わんわん @ zFXBMUEx_N"" folds",2026-02-02T12:30:37.729Z,177003543772900
"""shunsuke11 @ tqB-r6hdq9"" posts a big blind of 20",2026-02-02T12:30:26.137Z,177003542613707
"""わんわん @ zFXBMUEx_N"" posts a small blind of 10",2026-02-02T12:30:26.137Z,177003542613706
"Player stacks: #7 ""shunsuke11 @ tqB-r6hdq9"" (2040) | #10 ""わんわん @ zFXBMUEx_N"" (4565)",2026-02-02T12:30:26.137Z,177003542613703
"-- starting hand #90 (id: fk7a4fuap45t)  (No Limit Texas Hold'em) (dealer: ""わんわん @ zFXBMUEx_N"") --",2026-02-02T12:30:26.137Z,177003542613702
"The player ""コロリ @ H_d68jYO9T"" quits the game with a stack of 2480.",2026-02-02T12:30:26.137Z,177003542613701
"The player ""mega @ A9xvP3DhlS"" stand up with the stack of 1215.",2026-02-02T12:30:26.137Z,177003542613700
"-- ending hand #89 --",2026-02-02T12:30:23.222Z,177003542322202
