entry,at,order
"The player ""Guest @ fOKpNLU9fX"" passed the room ownership to ""ラスカル @ 5ogXjv4ef9"".",2026-02-02T12:33:30.196Z,177003561019600
"The player ""satoru @ zpnyQvXNDl"" quits the game with a stack of 4826.",2026-02-02T12:31:59.158Z,177003551915800
"The player ""たりくまる @ WABAdHmLRW"" quits the game with a stack of 1340.",2026-02-02T12:31:02.714Z,177003546271400
"The player ""Shingo2 @ 9o1jneL_Ei"" quits the game with a stack of 2186.",2026-02-02T12:31:01.249Z,177003546124900
"-- ending hand #69 --",2026-02-02T12:30:58.320Z,177003545832002
"""たりくまる @ WABAdHmLRW"" collected 20 from pot",2026-02-02T12:30:58.320Z,177003545832001
"Uncalled bet of 10 returned to ""たりくまる @ WABAdHmLRW""",2026-02-02T12:30:58.320Z,177003545832000
"""Shingo2 @ 9o1jneL_Ei"" folds",2026-02-02T12:30:57.509Z,177003545750900
"""たりくまる @ WABAdHmLRW"" posts a big blind of 20",2026-02-02T12:30:56.244Z,177003545624405
"""Shingo2 @ 9o1jneL_Ei"" posts a small blind of 10",2026-02-02T12:30:56.244Z,177003545624404
"Player stacks: #9 ""たりくまる @ WABAdHmLRW"" (1330) | #10 ""Shingo2 @ 9o1jneL_Ei"" (2196)",2026-02-02T12:30:56.244Z,177003545624401
"-- starting hand #69 (id: iv8lv7imvzbr)  (No Limit Texas Hold'em) (dealer: ""Shingo2 @ 9o1jneL_Ei"") --",2026-02-02T12:30:56.244Z,177003545624400
"-- ending hand #68 --",2026-02-02T12:30:53.316Z,177003545331602
"""Shingo2 @ 9o1jneL_Ei"" collected 120 from pot",2026-02-02T12:30:53.316Z,177003545331601
"Uncalled bet of 40 returned to ""Shingo2 @ 9o1jneL_Ei""",2026-02-02T12:30:53.316Z,177003545331600
"""たりくまる @ WABAdHmLRW"" folds",2026-02-02T12:30:52.510Z,177003545251000
"""Shingo2 @ 9o1jneL_Ei"" bets 40",2026-02-02T12:30:51.426Z,177003545142600
"Flop:  [K♥, 8♦, A♥]",2026-02-02T12:30:43.360Z,177003544336000
"""たりくまる @ WABAdHmLRW"" calls 60",2026-02-02T12:30:42.510Z,177003544251000
"""Shingo2 @ 9o1jneL_Ei"" raises to 60",2026-02-02T12:30:39.606Z,177003543960600
"""たりくまる @ WABAdHmLRW"" calls 20",2026-02-02T12:30:34.715Z,177003543471500
"""Shingo2 @ 9o1jneL_Ei"" posts a big blind of 20",2026-02-02T12:30:30.739Z,177003543073907
"""たりくまる @ WABAdHmLRW"" posts a small blind of 10",2026-02-02T12:30:30.739Z,177003543073906
"Player stacks: #9 ""たりくまる @ WABAdHmLRW"" (1390) | #10 ""Shingo2 @ 9o1jneL_Ei"" (2136)",2026-02-02T12:30:30.739Z,177003543073903
"-- starting hand #68 (id: nzw5ycmbw58n)  (No Limit Texas Hold'em) (dealer: ""たりくまる @ WABAdHmLRW"") --",2026-02-02T12:30:30.739Z,177003543073902
"The player ""Rabbit900 @ yEOnuJcBZo"" quits the game with a stack of 3454.",2026-02-02T12:30:30.739Z,177003543073901
"The player ""satoru @ zpnyQvXNDl"" stand up with the stack of 4826.",2026-02-02T12:30:30.739Z,177003543073900
"-- ending hand #67 --",2026-02-02T12:30:27.824Z,177003542782402
"""たりくまる @ WABAdHmLRW"" collected 330 from pot",2026-02-02T12:30:27.824Z,177003542782401
"Uncalled bet of 165 returned to ""たりくまる @ WABAdHmLRW""",2026-02-02T12:30:27.824Z,177003542782400
"""Shingo2 @ 9o1jneL_Ei"" folds",2026-02-02T12:30:26.974Z,177003542697400
"""たりくまる @ WABAdHmLRW"" bets 165",2026-02-02T12:30:24.607Z,177003542460700
