entry,at,order
"The player ""はせがえる @ FxzN600G3r"" quits the game with a stack of 2755.",2026-02-02T12:29:58.665Z,177003539866500
"The player ""粗茶 @ GtqOGZOqIV"" quits the game with a stack of 1814.",2026-02-02T12:29:55.083Z,177003539508300
"-- ending hand #67 --",2026-02-02T12:29:52.171Z,177003539217102
"""はせがえる @ FxzN600G3r"" collected 40 from pot",2026-02-02T12:29:52.171Z,177003539217101
"Uncalled bet of 40 returned to ""はせがえる @ FxzN600G3r""",2026-02-02T12:29:52.171Z,177003539217100
"""粗茶 @ GtqOGZOqIV"" folds",2026-02-02T12:29:51.313Z,177003539131300
"""はせがえる @ FxzN600G3r"" raises to 60",2026-02-02T12:29:50.499Z,177003539049900
"""粗茶 @ GtqOGZOqIV"" posts a big blind of 20",2026-02-02T12:29:47.004Z,177003538700407
"""はせがえる @ FxzN600G3r"" posts a small blind of 10",2026-02-02T12:29:47.004Z,177003538700406
"Player stacks: #3 ""粗茶 @ GtqOGZOqIV"" (1834) | #10 ""はせがえる @ FxzN600G3r"" (2735)",2026-02-02T12:29:47.004Z,177003538700403
"-- starting hand #67 (id: rr8tp2frkjyn)  (No Limit Texas Hold'em) (dealer: ""はせがえる @ FxzN600G3r"") --",2026-02-02T12:29:47.004Z,177003538700402
"The player ""ばどえあー @ ato_2TaeE3"" quits the game with a stack of 2398.",2026-02-02T12:29:47.004Z,177003538700401
"The player ""Lemon @ Xa_1dhYEV4"" quits the game with a stack of 3360.",2026-02-02T12:29:47.004Z,177003538700400
"-- ending hand #66 --",2026-02-02T12:29:44.074Z,177003538407402
"""はせがえる @ FxzN600G3r"" collected 20 from pot",2026-02-02T12:29:44.074Z,177003538407401
"Uncalled bet of 10 returned to ""はせがえる @ FxzN600G3r""",2026-02-02T12:29:44.074Z,177003538407400
"""ばどえあー @ ato_2TaeE3"" folds",2026-02-02T12:29:43.200Z,177003538320000
"""粗茶 @ GtqOGZOqIV"" folds",2026-02-02T12:29:42.386Z,177003538238600
"""Lemon @ Xa_1dhYEV4"" folds",2026-02-02T12:29:41.388Z,177003538138800
