entry,at,order
"The player ""k.k @ 2GlUDrVHSg"" quits the game with a stack of 1635.",2026-02-02T12:30:38.060Z,177003543806000
"The player ""たろす @ _EAr7O2lyX"" quits the game with a stack of 3163.",2026-02-02T12:30:29.338Z,177003542933800
"-- ending hand #41 --",2026-02-02T12:30:26.423Z,177003542642302
"""k.k @ 2GlUDrVHSg"" collected 40 from pot",2026-02-02T12:30:26.423Z,177003542642301
"Uncalled bet of 20 returned to ""k.k @ 2GlUDrVHSg""",2026-02-02T12:30:26.423Z,177003542642300
"""たろす @ _EAr7O2lyX"" folds",2026-02-02T12:30:25.579Z,177003542557900
"""k.k @ 2GlUDrVHSg"" raises to 40",2026-02-02T12:30:18.899Z,177003541889900
"""たろす @ _EAr7O2lyX"" posts a big blind of 20",2026-02-02T12:30:12.219Z,177003541221907
"""k.k @ 2GlUDrVHSg"" posts a small blind of 10",2026-02-02T12:30:12.219Z,177003541221906
"Player stacks: #5 ""k.k @ 2GlUDrVHSg"" (1615) | #7 ""たろす @ _EAr7O2lyX"" (3183)",2026-02-02T12:30:12.219Z,177003541221903
"-- starting hand #41 (id: xggfmrld0v8u)  (No Limit Texas Hold'em) (dealer: ""k.k @ 2GlUDrVHSg"") --",2026-02-02T12:30:12.219Z,177003541221902
"The player ""cymx2724 @ Yg9-tEe5QH"" quits the game with a stack of 2420.",2026-02-02T12:30:12.219Z,177003541221901
"The player ""RYOTA @ SrJdWlcNBY"" quits the game with a stack of 2615.",2026-02-02T12:30:12.219Z,177003541221900
"-- ending hand #40 --",2026-02-02T12:30:09.316Z,177003540931602
"""cymx2724 @ Yg9-tEe5QH"" collected 50 from pot",2026-02-02T12:30:09.316Z,177003540931601
"Uncalled bet of 30 returned to ""cymx2724 @ Yg9-tEe5QH""",2026-02-02T12:30:09.316Z,177003540931600
"""たろす @ _EAr7O2lyX"" folds",2026-02-02T12:30:08.494Z,177003540849400
"""k.k @ 2GlUDrVHSg"" folds",2026-02-02T12:30:03.546Z,177003540354600
"""cymx2724 @ Yg9-tEe5QH"" raises to 50",2026-02-02T12:30:00.387Z,177003540038700
"""RYOTA @ SrJdWlcNBY"" folds",2026-02-02T12:29:27.294Z,177003536729400
"""たろす @ _EAr7O2lyX"" posts a big blind of 20",2026-02-02T12:29:26.263Z,177003536626308
"""k.k @ 2GlUDrVHSg"" posts a small blind of 10",2026-02-02T12:29:26.263Z,177003536626307
"Player stacks: #2 ""RYOTA @ SrJdWlcNBY"" (2615) | #4 ""cymx2724 @ Yg9-tEe5QH"" (2390) | #5 ""k.k @ 2GlUDrVHSg"" (1625) | #7 ""たろす @ _EAr7O2lyX"" (3203)",2026-02-02T12:29:26.263Z,177003536626302
"-- starting hand #40 (id: ook1fmtavl9c)  (No Limit Texas Hold'em) (dealer: ""cymx2724 @ Yg9-tEe5QH"") --",2026-02-02T12:29:26.263Z,177003536626301
"The player ""常盤木いつき @ 0QyEE5Hc9o"" quits the game with a stack of 2325.",2026-02-02T12:29:26.263Z,177003536626300
"-- ending hand #39 --",2026-02-02T12:29:20.256Z,177003536025603
"""cymx2724 @ Yg9-tEe5QH"" collected 960 from pot with Pair, 9's (combination: 9♠, 9♥, A♦, J♥, 6♣)",2026-02-02T12:29:20.256Z,177003536025602
"""cymx2724 @ Yg9-tEe5QH"" shows a A♦, 9♠.",2026-02-02T12:29:20.256Z,177003536025601
"""k.k @ 2GlUDrVHSg"" shows a 6♥, 8♠.",2026-02-02T12:29:20.256Z,177003536025600
"""cymx2724 @ Yg9-tEe5QH"" calls 320",2026-02-02T12:29:19.450Z,177003535945000
"""k.k @ 2GlUDrVHSg"" raises to 320",2026-02-02T12:29:13.545Z,177003535354500
"""cymx2724 @ Yg9-tEe5QH"" bets 160",2026-02-02T12:29:08.869Z,177003534886900
