entry,at,order
"The player ""実力の若林 @ BZCdwuhpMU"" quits the game with a stack of 2771.",2026-02-02T12:31:40.397Z,177003550039700
"-- ending hand #41 --",2026-02-02T12:31:37.472Z,177003549747202
"""らねおか @ l218j9GUvI"" collected 20 from pot",2026-02-02T12:31:37.472Z,177003549747201
"Uncalled bet of 10 returned to ""らねおか @ l218j9GUvI""",2026-02-02T12:31:37.472Z,177003549747200
"""実力の若林 @ BZCdwuhpMU"" folds",2026-02-02T12:31:36.667Z,177003549666700
"""らねおか @ l218j9GUvI"" posts a big blind of 20",2026-02-02T12:31:25.388Z,177003548538806
"""実力の若林 @ BZCdwuhpMU"" posts a small blind of 10",2026-02-02T12:31:25.388Z,177003548538805
"Player stacks: #4 ""らねおか @ l218j9GUvI"" (534) | #5 ""実力の若林 @ BZCdwuhpMU"" (2781)",2026-02-02T12:31:25.388Z,177003548538802
"-- starting hand #41 (id: czogg9xvooz7)  (No Limit Texas Hold'em) (dealer: ""実力の若林 @ BZCdwuhpMU"") --",2026-02-02T12:31:25.388Z,177003548538801
"The player ""tknsn @ 0vKy_AgCXx"" quits the game with a stack of 3695.",2026-02-02T12:31:25.388Z,177003548538800
"-- ending hand #40 --",2026-02-02T12:31:19.379Z,177003547937903
"""tknsn @ 0vKy_AgCXx"" collected 210 from pot with Pair, 4's (combination: 4♠, 4♦, A♦, Q♦, J♥)",2026-02-02T12:31:19.379Z,177003547937902
"""tknsn @ 0vKy_AgCXx"" shows a A♦, 4♠.",2026-02-02T12:31:19.379Z,177003547937901
"""実力の若林 @ BZCdwuhpMU"" shows a 8♦, 6♦.",2026-02-02T12:31:19.379Z,177003547937900
"""tknsn @ 0vKy_AgCXx"" checks",2026-02-02T12:31:18.540Z,177003547854000
"""実力の若林 @ BZCdwuhpMU"" checks",2026-02-02T12:31:16.324Z,177003547632400
"River: Q♦, 4♦, J♥, 2♣ [7♣]",2026-02-02T12:31:02.030Z,177003546203000
"""tknsn @ 0vKy_AgCXx"" checks",2026-02-02T12:31:01.212Z,177003546121200
"""実力の若林 @ BZCdwuhpMU"" checks",2026-02-02T12:30:43.595Z,177003544359500
"Turn: Q♦, 4♦, J♥ [2♣]",2026-02-02T12:30:21.068Z,177003542106800
"""tknsn @ 0vKy_AgCXx"" calls 40",2026-02-02T12:30:20.254Z,177003542025400
"""実力の若林 @ BZCdwuhpMU"" bets 40",2026-02-02T12:30:13.932Z,177003541393200
"Flop:  [Q♦, 4♦, J♥]",2026-02-02T12:29:58.776Z,177003539877600
"""tknsn @ 0vKy_AgCXx"" calls 65",2026-02-02T12:29:57.954Z,177003539795400
"""実力の若林 @ BZCdwuhpMU"" raises to 65",2026-02-02T12:29:52.615Z,177003539261500
"""らねおか @ l218j9GUvI"" folds",2026-02-02T12:29:39.385Z,177003537938500
"""tknsn @ 0vKy_AgCXx"" posts a big blind of 20",2026-02-02T12:29:38.394Z,177003537839406
"""実力の若林 @ BZCdwuhpMU"" posts a small blind of 10",2026-02-02T12:29:38.394Z,177003537839405
"Player stacks: #4 ""らねおか @ l218j9GUvI"" (534) | #5 ""実力の若林 @ BZCdwuhpMU"" (2886) | #8 ""tknsn @ 0vKy_AgCXx"" (3590)",2026-02-02T12:29:38.394Z,177003537839401
"-- starting hand #40 (id: yqddhvtiqpmp)  (No Limit Texas Hold'em) (dealer: ""らねおか @ l218j9GUvI"") --",2026-02-02T12:29:38.394Z,177003537839400
"-- ending hand #39 --",2026-02-02T12:29:35.463Z,177003537546302
"""tknsn @ 0vKy_AgCXx"" collected 50 from pot",2026-02-02T12:29:35.463Z,177003537546301
"Uncalled bet of 30 returned to ""tknsn @ 0vKy_AgCXx""",2026-02-02T12:29:35.463Z,177003537546300
"""実力の若林 @ BZCdwuhpMU"" folds",2026-02-02T12:29:34.602Z,177003537460200
"""らねおか @ l218j9GUvI"" folds",2026-02-02T12:29:31.350Z,177003537135000
"""tknsn @ 0vKy_AgCXx"" raises to 50",2026-02-02T12:29:30.327Z,177003537032700
"""実力の若林 @ BZCdwuhpMU"" posts a big blind of 20",2026-02-02T12:29:25.781Z,177003536578106
"""らねおか @ l218j9GUvI"" posts a small blind of 10",2026-02-02T12:29:25.781Z,177003536578105
"Player stacks: #4 ""らねおか @ l218j9GUvI"" (544) | #5 ""実力の若林 @ BZCdwuhpMU"" (2906) | #8 ""tknsn @ 0vKy_AgCXx"" (3560)",2026-02-02T12:29:25.781Z,177003536578101
"-- starting hand #39 (id: xzfnfzbuvoiy)  (No Limit Texas Hold'em) (dealer: ""tknsn @ 0vKy_AgCXx"") --",2026-02-02T12:29:25.781Z,177003536578100
"-- ending hand #38 --",2026-02-02T12:29:22.858Z,177003536285802
"""tknsn @ 0vKy_AgCXx"" collected 100 from pot",2026-02-02T12:29:22.858Z,177003536285801
"Uncalled bet of 40 returned to ""tknsn @ 0vKy_AgCXx""",2026-02-02T12:29:22.858Z,177003536285800
"""らねおか @ l218j9GUvI"" folds",2026-02-02T12:29:22.009Z,177003536200900
"""tknsn @ 0vKy_AgCXx"" bets 40",2026-02-02T12:29:19.915Z,177003535991500
"River: Q♠, 4♠, 9♣, 8♠ [K♥]",2026-02-02T12:29:12.650Z,177003535265000
"""らねおか @ l218j9GUvI"" checks",2026-02-02T12:29:11.835Z,177003535183500
