entry,at,order
"The player ""なんでやねん @ r1CBe6Qe79"" quits the game with a stack of 1280.",2026-02-02T12:29:45.876Z,177003538587600
"-- ending hand #27 --",2026-02-02T12:29:42.967Z,177003538296702
"""Hibari @ gG60J3OV2j"" collected 20 from pot",2026-02-02T12:29:42.967Z,177003538296701
"Uncalled bet of 10 returned to ""Hibari @ gG60J3OV2j""",2026-02-02T12:29:42.967Z,177003538296700
"""なんでやねん @ r1CBe6Qe79"" folds",2026-02-02T12:29:42.117Z,177003538211700
"""Hibari @ gG60J3OV2j"" posts a big blind of 20",2026-02-02T12:29:40.672Z,177003538067206
"""なんでやねん @ r1CBe6Qe79"" posts a small blind of 10",2026-02-02T12:29:40.672Z,177003538067205
"Player stacks: #1 ""Hibari @ gG60J3OV2j"" (2140) | #10 ""なんでやねん @ r1CBe6Qe79"" (1290)",2026-02-02T12:29:40.672Z,177003538067202
"-- starting hand #27 (id: lddit2alvan8)  (No Limit Texas Hold'em) (dealer: ""なんでやねん @ r1CBe6Qe79"") --",2026-02-02T12:29:40.672Z,177003538067201
"The player ""waho @ Oc04ITRF7i"" quits the game with a stack of 3350.",2026-02-02T12:29:40.672Z,177003538067200
"-- ending hand #26 --",2026-02-02T12:29:37.763Z,177003537776302
"""Hibari @ gG60J3OV2j"" collected 20 from pot",2026-02-02T12:29:37.763Z,177003537776301
"Uncalled bet of 10 returned to ""Hibari @ gG60J3OV2j""",2026-02-02T12:29:37.763Z,177003537776300
"""なんでやねん @ r1CBe6Qe79"" folds",2026-02-02T12:29:36.917Z,177003537691700
"""waho @ Oc04ITRF7i"" folds",2026-02-02T12:29:35.878Z,177003537587800
"""Hibari @ gG60J3OV2j"" posts a big blind of 20",2026-02-02T12:29:32.667Z,177003537266706
"""なんでやねん @ r1CBe6Qe79"" posts a small blind of 10",2026-02-02T12:29:32.667Z,177003537266705
"Player stacks: #1 ""Hibari @ gG60J3OV2j"" (2130) | #5 ""waho @ Oc04ITRF7i"" (3350) | #10 ""なんでやねん @ r1CBe6Qe79"" (1300)",2026-02-02T12:29:32.667Z,177003537266701
"-- starting hand #26 (id: jj245vwy6e9u)  (No Limit Texas Hold'em) (dealer: ""waho @ Oc04ITRF7i"") --",2026-02-02T12:29:32.667Z,177003537266700
"-- ending hand #25 --",2026-02-02T12:29:29.702Z,177003536970202
"""なんでやねん @ r1CBe6Qe79"" collected 20 from pot",2026-02-02T12:29:29.702Z,177003536970201
"Uncalled bet of 10 returned to ""なんでやねん @ r1CBe6Qe79""",2026-02-02T12:29:29.702Z,177003536970200
"""waho @ Oc04ITRF7i"" folds",2026-02-02T12:29:28.879Z,177003536887900
"""Hibari @ gG60J3OV2j"" folds",2026-02-02T12:29:21.961Z,177003536196100
"""なんでやねん @ r1CBe6Qe79"" posts a big blind of 20",2026-02-02T12:29:19.855Z,177003535985506
"""waho @ Oc04ITRF7i"" posts a small blind of 10",2026-02-02T12:29:19.855Z,177003535985505
"Player stacks: #1 ""Hibari @ gG60J3OV2j"" (2130) | #5 ""waho @ Oc04ITRF7i"" (3360) | #10 ""なんでやねん @ r1CBe6Qe79"" (1290)",2026-02-02T12:29:19.855Z,177003535985501
