entry,at,order
"The player ""yoh @ hetGK5oIn4"" stand up with the stack of 2292.",2026-02-02T12:33:39.501Z,177003561950103
"The player ""りく @ z2lKOiJnrt"" stand up with the stack of 3216.",2026-02-02T12:33:39.501Z,177003561950102
"The player ""Kuni @ HIjaJ0Hz7_"" stand up with the stack of 2930.",2026-02-02T12:33:39.501Z,177003561950101
"The player ""なかい @ y4bVPCJM4_"" stand up with the stack of 1443.",2026-02-02T12:33:39.501Z,177003561950100
"-- ending hand #103 --",2026-02-02T12:33:36.554Z,177003561655402
"""なかい @ y4bVPCJM4_"" collected 20 from pot",2026-02-02T12:33:36.554Z,177003561655401
"Uncalled bet of 10 returned to ""なかい @ y4bVPCJM4_""",2026-02-02T12:33:36.554Z,177003561655400
"""りく @ z2lKOiJnrt"" folds",2026-02-02T12:33:35.718Z,177003561571800
"The player ""Guest @ fOKpNLU9fX"" passed the room ownership to ""なかい @ y4bVPCJM4_"".",2026-02-02T12:33:34.902Z,177003561490201
"""yoh @ hetGK5oIn4"" folds",2026-02-02T12:33:34.902Z,177003561490200
"""Kuni @ HIjaJ0Hz7_"" folds",2026-02-02T12:31:54.009Z,177003551400900
"""なかい @ y4bVPCJM4_"" posts a big blind of 20",2026-02-02T12:30:13.922Z,177003541392207
"""りく @ z2lKOiJnrt"" posts a small blind of 10",2026-02-02T12:30:13.922Z,177003541392206
"Player stacks: #1 ""なかい @ y4bVPCJM4_"" (1433) | #2 ""Kuni @ HIjaJ0Hz7_"" (2930) | #7 ""yoh @ hetGK5oIn4"" (2292) | #10 ""りく @ z2lKOiJnrt"" (3226)",2026-02-02T12:30:13.922Z,177003541392201
"-- starting hand #103 (id: qtx1egf3wvkf)  (No Limit Texas Hold'em) (dealer: ""yoh @ hetGK5oIn4"") --",2026-02-02T12:30:13.922Z,177003541392200
"-- ending hand #102 --",2026-02-02T12:30:11.018Z,177003541101802
"""りく @ z2lKOiJnrt"" collected 170 from pot",2026-02-02T12:30:11.018Z,177003541101801
"Uncalled bet of 263 returned to ""りく @ z2lKOiJnrt""",2026-02-02T12:30:11.018Z,177003541101800
