entry,at,order
"The player ""27 @ YkRLv6Nf7r"" quits the game with a stack of 2245.",2026-02-02T12:34:13.135Z,177003565313500
"The player ""おかピー @ iBhJbKViQ_"" quits the game with a stack of 2110.",2026-02-02T12:34:09.078Z,177003564907800
"The player ""Neku @ HZmCRZd6SG"" quits the game with a stack of 3665.",2026-02-02T12:33:54.312Z,177003563431200
"-- ending hand #85 --",2026-02-02T12:33:51.363Z,177003563136302
"""おかピー @ iBhJbKViQ_"" collected 330 from pot",2026-02-02T12:33:51.363Z,177003563136301
"Uncalled bet of 247 returned to ""おかピー @ iBhJbKViQ_""",2026-02-02T12:33:51.363Z,177003563136300
"""konasho @ b7sgMo_M-5"" folds",2026-02-02T12:33:50.549Z,177003563054900
"""おかピー @ iBhJbKViQ_"" bets 247",2026-02-02T12:33:45.471Z,177003562547100
"River: 6♠, 7♣, 5♦, 2♠ [4♠]",2026-02-02T12:33:25.577Z,177003560557700
"""konasho @ b7sgMo_M-5"" checks",2026-02-02T12:33:24.756Z,177003560475600
"""おかピー @ iBhJbKViQ_"" checks",2026-02-02T12:33:19.323Z,177003559932300
"Turn: 6♠, 7♣, 5♦ [2♠]",2026-02-02T12:33:08.463Z,177003558846300
"""konasho @ b7sgMo_M-5"" checks",2026-02-02T12:33:07.604Z,177003558760400
"""おかピー @ iBhJbKViQ_"" checks",2026-02-02T12:33:02.640Z,177003558264000
"Flop:  [6♠, 7♣, 5♦]",2026-02-02T12:32:55.321Z,177003557532100
"""おかピー @ iBhJbKViQ_"" calls 150",2026-02-02T12:32:54.470Z,177003557447000
"""27 @ YkRLv6Nf7r"" folds",2026-02-02T12:32:46.177Z,177003556617700
"""小鳥遊ひいろ @ _MzXcG5lMv"" folds",2026-02-02T12:32:44.819Z,177003556481900
"""konasho @ b7sgMo_M-5"" raises to 150",2026-02-02T12:32:41.864Z,177003556186400
"""おかピー @ iBhJbKViQ_"" raises to 50",2026-02-02T12:32:31.021Z,177003555102100
