entry,at,order
"The player ""Guest @ fOKpNLU9fX"" passed the room ownership to ""るも @ zQtsXjEaZl"".",2026-02-02T12:33:04.514Z,177003558451400
"The player ""ミナっち @ stzdogxFRA"" stand up with the stack of 1674.",2026-02-02T12:31:21.668Z,177003548166800
"The player ""ぼくだよ @ 7fcCbcD7lb"" quits the game with a stack of 2655.",2026-02-02T12:31:21.381Z,177003548138101
"The player ""宇宙１のたっちゃん @ wE-EPOxf9q"" stand up with the stack of 1435.",2026-02-02T12:31:21.381Z,177003548138100
"-- ending hand #51 --",2026-02-02T12:31:18.449Z,177003547844902
"""ぼくだよ @ 7fcCbcD7lb"" collected 20 from pot",2026-02-02T12:31:18.449Z,177003547844901
"Uncalled bet of 10 returned to ""ぼくだよ @ 7fcCbcD7lb""",2026-02-02T12:31:18.449Z,177003547844900
"""ミナっち @ stzdogxFRA"" folds",2026-02-02T12:31:17.636Z,177003547763600
"""宇宙１のたっちゃん @ wE-EPOxf9q"" folds",2026-02-02T12:31:07.496Z,177003546749600
"""ぼくだよ @ 7fcCbcD7lb"" posts a big blind of 20",2026-02-02T12:30:57.707Z,177003545770707
"""ミナっち @ stzdogxFRA"" posts a small blind of 10",2026-02-02T12:30:57.707Z,177003545770706
"Player stacks: #5 ""ミナっち @ stzdogxFRA"" (1684) | #7 ""ぼくだよ @ 7fcCbcD7lb"" (2645) | #10 ""宇宙１のたっちゃん @ wE-EPOxf9q"" (1435)",2026-02-02T12:30:57.707Z,177003545770702
"-- starting hand #51 (id: 48e9zrpxbf4o)  (No Limit Texas Hold'em) (dealer: ""宇宙１のたっちゃん @ wE-EPOxf9q"") --",2026-02-02T12:30:57.707Z,177003545770701
"The player ""ゆっきーな @ uNHIhLxU5W"" quits the game with a stack of 5560.",2026-02-02T12:30:57.707Z,177003545770700
"-- ending hand #50 --",2026-02-02T12:30:54.798Z,177003545479802
"""ミナっち @ stzdogxFRA"" collected 20 from pot",2026-02-02T12:30:54.798Z,177003545479801
"Uncalled bet of 10 returned to ""ミナっち @ stzdogxFRA""",2026-02-02T12:30:54.798Z,177003545479800
"""宇宙１のたっちゃん @ wE-EPOxf9q"" folds",2026-02-02T12:30:53.987Z,177003545398700
"""ぼくだよ @ 7fcCbcD7lb"" folds",2026-02-02T12:30:48.796Z,177003544879600
"""ミナっち @ stzdogxFRA"" posts a big blind of 20",2026-02-02T12:30:47.043Z,177003544704309
"""宇宙１のたっちゃん @ wE-EPOxf9q"" posts a small blind of 10",2026-02-02T12:30:47.043Z,177003544704308
"Player stacks: #5 ""ミナっち @ stzdogxFRA"" (1674) | #7 ""ぼくだよ @ 7fcCbcD7lb"" (2645) | #10 ""宇宙１のたっちゃん @ wE-EPOxf9q"" (1445)",2026-02-02T12:30:47.043Z,177003544704304
"-- starting hand #50 (id: x7unezvqatre)  (No Limit Texas Hold'em) (dead button) --",2026-02-02T12:30:47.043Z,177003544704303
"The player ""waho @ Oc04ITRF7i"" quits the game with a stack of 2156.",2026-02-02T12:30:47.043Z,177003544704302
"The player ""ゆっきーな @ uNHIhLxU5W"" stand up with the stack of 5560.",2026-02-02T12:30:47.043Z,177003544704301
"The player ""るも @ zQtsXjEaZl"" stand up with the stack of 1380.",2026-02-02T12:30:47.043Z,177003544704300
