entry,at,order
"The player ""satoru @ A7FAqMB7-l"" quits the game with a stack of 4692.",2026-02-02T12:32:39.116Z,177003555911600
"The player ""Guest @ fOKpNLU9fX"" passed the room ownership to ""satoru @ A7FAqMB7-l"".",2026-02-02T12:32:29.626Z,177003554962600
"The player ""Mazzo @ sYruTEJ8Uw"" quits the game with a stack of 3248.",2026-02-02T12:32:15.462Z,177003553546200
"The player ""Jongo @ jPdV1R4TqP"" quits the game with a stack of 1620.",2026-02-02T12:32:12.841Z,177003553284100
"-- ending hand #81 --",2026-02-02T12:32:09.837Z,177003552983702
"""Mazzo @ sYruTEJ8Uw"" collected 20 from pot",2026-02-02T12:32:09.837Z,177003552983701
"Uncalled bet of 10 returned to ""Mazzo @ sYruTEJ8Uw""",2026-02-02T12:32:09.837Z,177003552983700
"""Jongo @ jPdV1R4TqP"" folds",2026-02-02T12:32:08.976Z,177003552897600
"""Mazzo @ sYruTEJ8Uw"" posts a big blind of 20",2026-02-02T12:32:03.501Z,177003552350105
"""Jongo @ jPdV1R4TqP"" posts a small blind of 10",2026-02-02T12:32:03.501Z,177003552350104
"Player stacks: #1 ""Mazzo @ sYruTEJ8Uw"" (3238) | #4 ""Jongo @ jPdV1R4TqP"" (1630)",2026-02-02T12:32:03.501Z,177003552350101
"-- starting hand #81 (id: 37x0widmrqmf)  (No Limit Texas Hold'em) (dealer: ""Jongo @ jPdV1R4TqP"") --",2026-02-02T12:32:03.501Z,177003552350100
"""Mazzo @ sYruTEJ8Uw"" shows a 7♠, 3♠.",2026-02-02T12:32:00.936Z,177003552093600
"-- ending hand #80 --",2026-02-02T12:31:59.883Z,177003551988302
"""Jongo @ jPdV1R4TqP"" collected 100 from pot",2026-02-02T12:31:59.883Z,177003551988301
"Uncalled bet of 30 returned to ""Jongo @ jPdV1R4TqP""",2026-02-02T12:31:59.883Z,177003551988300
"""Mazzo @ sYruTEJ8Uw"" folds",2026-02-02T12:31:59.032Z,177003551903200
"""Jongo @ jPdV1R4TqP"" bets 30",2026-02-02T12:31:57.202Z,177003551720200
"River: 8♠, Q♥, 4♠, J♠ [K♠]",2026-02-02T12:31:38.194Z,177003549819400
"""Mazzo @ sYruTEJ8Uw"" calls 30",2026-02-02T12:31:37.300Z,177003549730000
"""Jongo @ jPdV1R4TqP"" bets 30",2026-02-02T12:31:28.559Z,177003548855900
"Turn: 8♠, Q♥, 4♠ [J♠]",2026-02-02T12:31:05.768Z,177003546576800
"""Mazzo @ sYruTEJ8Uw"" checks",2026-02-02T12:31:04.937Z,177003546493700
"""Jongo @ jPdV1R4TqP"" checks",2026-02-02T12:30:57.444Z,177003545744401
"Flop:  [8♠, Q♥, 4♠]",2026-02-02T12:30:57.444Z,177003545744400
"""Jongo @ jPdV1R4TqP"" checks",2026-02-02T12:30:56.599Z,177003545659900
"""Mazzo @ sYruTEJ8Uw"" calls 20",2026-02-02T12:30:55.733Z,177003545573300
"""Jongo @ jPdV1R4TqP"" posts a big blind of 20",2026-02-02T12:30:46.084Z,177003544608407
"""Mazzo @ sYruTEJ8Uw"" posts a small blind of 10",2026-02-02T12:30:46.084Z,177003544608406
"Player stacks: #1 ""Mazzo @ sYruTEJ8Uw"" (3288) | #4 ""Jongo @ jPdV1R4TqP"" (1580)",2026-02-02T12:30:46.084Z,177003544608403
"-- starting hand #80 (id: lpvcxwmskadc)  (No Limit Texas Hold'em) (dealer: ""Mazzo @ sYruTEJ8Uw"") --",2026-02-02T12:30:46.084Z,177003544608402
"The player ""yutorse @ 7x5MHOv7Oo"" quits the game with a stack of 1835.",2026-02-02T12:30:46.084Z,177003544608401
"The player ""satoru @ A7FAqMB7-l"" stand up with the stack of 4692.",2026-02-02T12:30:46.084Z,177003544608400
"-- ending hand #79 --",2026-02-02T12:30:43.158Z,177003544315802
"""satoru @ A7FAqMB7-l"" collected 120 from pot",2026-02-02T12:30:43.158Z,177003544315801
"Uncalled bet of 150 returned to ""satoru @ A7FAqMB7-l""",2026-02-02T12:30:43.158Z,177003544315800
"""Jongo @ jPdV1R4TqP"" folds",2026-02-02T12:30:42.329Z,177003544232900
"""Mazzo @ sYruTEJ8Uw"" folds",2026-02-02T12:30:37.448Z,177003543744800
"""satoru @ A7FAqMB7-l"" raises to 200",2026-02-02T12:30:35.601Z,177003543560100
"""Jongo @ jPdV1R4TqP"" raises to 50",2026-02-02T12:30:29.390Z,177003542939000
"""yutorse @ 7x5MHOv7Oo"" folds",2026-02-02T12:30:22.999Z,177003542299900
"""Mazzo @ sYruTEJ8Uw"" posts a big blind of 20",2026-02-02T12:30:16.325Z,177003541632507
"""satoru @ A7FAqMB7-l"" posts a small blind of 10",2026-02-02T12:30:16.325Z,177003541632506
