entry,at,order
"The player ""UMAUMA @ iKNrGrbUkg"" passed the room ownership to ""すとふぁ @ M4pyIQvfB9"".",2026-02-09T13:19:15.859Z,177064315585900
"The player ""UMAUMA @ iKNrGrbUkg"" quits the game with a stack of 2420.",2026-02-09T13:13:27.841Z,177064280784100
"The player ""sokun777 @ xOaP7PB88A"" quits the game with a stack of 2990.",2026-02-09T12:56:50.071Z,177064181007100
"The player ""Guest @ XeH1jmD6s_"" passed the room ownership to ""UMAUMA @ iKNrGrbUkg"".",2026-02-09T12:40:19.640Z,177064081964000
"The player ""翔斗 @ 4_RBXVU9-k"" quits the game with a stack of 1570.",2026-02-09T12:39:52.580Z,177064079258000
"The player ""翔斗 @ 4_RBXVU9-k"" stand up with the stack of 1570.",2026-02-09T12:39:16.767Z,177064075676700
"-- ending hand #134 --",2026-02-09T12:39:13.857Z,177064075385702
"""翔斗 @ 4_RBXVU9-k"" collected 20 from pot",2026-02-09T12:39:13.857Z,177064075385701
"Uncalled bet of 10 returned to ""翔斗 @ 4_RBXVU9-k""",2026-02-09T12:39:13.857Z,177064075385700
"""sokun777 @ xOaP7PB88A"" folds",2026-02-09T12:39:12.987Z,177064075298700
"""翔斗 @ 4_RBXVU9-k"" posts a big blind of 20",2026-02-09T12:38:42.515Z,177064072251507
"""sokun777 @ xOaP7PB88A"" posts a small blind of 10",2026-02-09T12:38:42.515Z,177064072251506
"Player stacks: #5 ""翔斗 @ 4_RBXVU9-k"" (1560) | #10 ""sokun777 @ xOaP7PB88A"" (3000)",2026-02-09T12:38:42.515Z,177064072251503
"-- starting hand #134 (id: u6gaamo5pq7i)  No Limit Texas Hold'em (dealer: ""sokun777 @ xOaP7PB88A"") --",2026-02-09T12:38:42.515Z,177064072251502
"The player ""すとふぁ @ M4pyIQvfB9"" stand up with the stack of 2370.",2026-02-09T12:38:42.515Z,177064072251501
"The player ""UMAUMA @ iKNrGrbUkg"" stand up with the stack of 2420.",2026-02-09T12:38:42.515Z,177064072251500
"-- ending hand #133 --",2026-02-09T12:38:36.512Z,177064071651203
"""すとふぁ @ M4pyIQvfB9"" collected 810 from pot with Pair, 3's (combination: 8♠, J♦, A♦, 3♥, 3♣)",2026-02-09T12:38:36.512Z,177064071651202
"""すとふぁ @ M4pyIQvfB9"" shows a J♦, A♦.",2026-02-09T12:38:36.512Z,177064071651201
"""翔斗 @ 4_RBXVU9-k"" shows a K♥, 10♠.",2026-02-09T12:38:36.512Z,177064071651200
