entry,at,order
"The player ""Guest @ XeH1jmD6s_"" passed the room ownership to ""すとふぁ @ M4pyIQvfB9"".",2026-02-09T12:40:19.668Z,177064081966800
"The player ""ElNino @ byYrvu0Qdy"" quits the game with a stack of 2717.",2026-02-09T12:38:47.510Z,177064072751000
"The player ""shunsuke11 @ CmPBhvSXqk"" quits the game with a stack of 2007.",2026-02-09T12:38:41.289Z,177064072128900
"-- ending hand #115 --",2026-02-09T12:38:35.280Z,177064071528002
"""ElNino @ byYrvu0Qdy"" collected 120 from pot with Pair, 9's (combination: 10♥, Q♣, K♦, 9♠, 9♥)",2026-02-09T12:38:35.280Z,177064071528001
"""ElNino @ byYrvu0Qdy"" shows a Q♣, 9♠.",2026-02-09T12:38:35.280Z,177064071528000
"""ElNino @ byYrvu0Qdy"" checks",2026-02-09T12:38:34.446Z,177064071444600
"""shunsuke11 @ CmPBhvSXqk"" checks",2026-02-09T12:38:30.677Z,177064071067701
"River: 6♣, K♦, 3♦, 9♥ [10♥]",2026-02-09T12:38:30.677Z,177064071067700
"""ElNino @ byYrvu0Qdy"" checks",2026-02-09T12:38:29.814Z,177064070981400
"""shunsuke11 @ CmPBhvSXqk"" checks",2026-02-09T12:38:27.661Z,177064070766101
"Turn: 6♣, K♦, 3♦ [9♥]",2026-02-09T12:38:27.661Z,177064070766100
"""ElNino @ byYrvu0Qdy"" checks",2026-02-09T12:38:26.836Z,177064070683600
"""shunsuke11 @ CmPBhvSXqk"" checks",2026-02-09T12:38:22.938Z,177064070293800
"Flop:  [6♣, K♦, 3♦]",2026-02-09T12:38:18.374Z,177064069837400
"""shunsuke11 @ CmPBhvSXqk"" calls 60",2026-02-09T12:38:17.536Z,177064069753600
"""ElNino @ byYrvu0Qdy"" raises to 60",2026-02-09T12:38:14.705Z,177064069470500
"""shunsuke11 @ CmPBhvSXqk"" posts a big blind of 20",2026-02-09T12:38:10.057Z,177064069005706
"""ElNino @ byYrvu0Qdy"" posts a small blind of 10",2026-02-09T12:38:10.057Z,177064069005705
"Player stacks: #2 ""ElNino @ byYrvu0Qdy"" (2657) | #4 ""shunsuke11 @ CmPBhvSXqk"" (2067)",2026-02-09T12:38:10.057Z,177064069005702
"-- starting hand #115 (id: hzveio3zrlll)  No Limit Texas Hold'em (dealer: ""ElNino @ byYrvu0Qdy"") --",2026-02-09T12:38:10.057Z,177064069005701
"The player ""なんでやねん @ r1CBe6Qe79"" stand up with the stack of 2449.",2026-02-09T12:38:10.057Z,177064069005700
"-- ending hand #114 --",2026-02-09T12:38:07.110Z,177064068711002
"""shunsuke11 @ CmPBhvSXqk"" collected 20 from pot",2026-02-09T12:38:07.110Z,177064068711001
"Uncalled bet of 10 returned to ""shunsuke11 @ CmPBhvSXqk""",2026-02-09T12:38:07.110Z,177064068711000
"""ElNino @ byYrvu0Qdy"" folds",2026-02-09T12:38:06.300Z,177064068630000
"""なんでやねん @ r1CBe6Qe79"" folds",2026-02-09T12:38:03.512Z,177064068351200
"""shunsuke11 @ CmPBhvSXqk"" posts a big blind of 20",2026-02-09T12:37:56.760Z,177064067676007
"""ElNino @ byYrvu0Qdy"" posts a small blind of 10",2026-02-09T12:37:56.760Z,177064067676006
"Player stacks: #2 ""ElNino @ byYrvu0Qdy"" (2667) | #4 ""shunsuke11 @ CmPBhvSXqk"" (2057) | #8 ""なんでやねん @ r1CBe6Qe79"" (2449)",2026-02-09T12:37:56.760Z,177064067676002
"-- starting hand #114 (id: z4m6gjqo9jws)  No Limit Texas Hold'em (dead button) --",2026-02-09T12:37:56.760Z,177064067676001
"The player ""すとふぁ @ M4pyIQvfB9"" stand up with the stack of 2382.",2026-02-09T12:37:56.760Z,177064067676000
"-- ending hand #113 --",2026-02-09T12:37:50.736Z,177064067073603
"""shunsuke11 @ CmPBhvSXqk"" collected 334 from pot with Full House, Q's over 8's (combination: 8♥, 8♠, Q♥, Q♣, Q♠)",2026-02-09T12:37:50.736Z,177064067073602
"""shunsuke11 @ CmPBhvSXqk"" shows a 8♣, 8♥.",2026-02-09T12:37:50.736Z,177064067073601
"""ElNino @ byYrvu0Qdy"" shows a 10♥, A♦.",2026-02-09T12:37:50.736Z,177064067073600
"""shunsuke11 @ CmPBhvSXqk"" checks",2026-02-09T12:37:49.858Z,177064066985800
"""ElNino @ byYrvu0Qdy"" checks",2026-02-09T12:37:46.615Z,177064066661500
"River: Q♥, Q♣, 8♠, J♥ [Q♠]",2026-02-09T12:37:42.793Z,177064066279300
"""shunsuke11 @ CmPBhvSXqk"" checks",2026-02-09T12:37:41.985Z,177064066198500
"""ElNino @ byYrvu0Qdy"" checks",2026-02-09T12:37:37.665Z,177064065766500
"Turn: Q♥, Q♣, 8♠ [J♥]",2026-02-09T12:37:32.418Z,177064065241800
"""shunsuke11 @ CmPBhvSXqk"" calls 122",2026-02-09T12:37:31.611Z,177064065161100
"""ElNino @ byYrvu0Qdy"" raises to 122",2026-02-09T12:37:26.316Z,177064064631600
"""shunsuke11 @ CmPBhvSXqk"" bets 30",2026-02-09T12:37:17.256Z,177064063725600
"""ElNino @ byYrvu0Qdy"" checks",2026-02-09T12:37:12.752Z,177064063275200
"Flop:  [Q♥, Q♣, 8♠]",2026-02-09T12:37:10.210Z,177064063021000
"""ElNino @ byYrvu0Qdy"" calls 40",2026-02-09T12:37:09.376Z,177064062937600
"""すとふぁ @ M4pyIQvfB9"" folds",2026-02-09T12:37:07.742Z,177064062774200
"""なんでやねん @ r1CBe6Qe79"" folds",2026-02-09T12:37:03.696Z,177064062369600
"""shunsuke11 @ CmPBhvSXqk"" raises to 40",2026-02-09T12:36:59.843Z,177064061984300
"""ElNino @ byYrvu0Qdy"" posts a big blind of 20",2026-02-09T12:36:56.055Z,177064061605507
"""すとふぁ @ M4pyIQvfB9"" posts a small blind of 10",2026-02-09T12:36:56.055Z,177064061605506
"Player stacks: #2 ""ElNino @ byYrvu0Qdy"" (2829) | #4 ""shunsuke11 @ CmPBhvSXqk"" (1885) | #8 ""なんでやねん @ r1CBe6Qe79"" (2449) | #10 ""すとふぁ @ M4pyIQvfB9"" (2392)",2026-02-09T12:36:56.055Z,177064061605501
"-- starting hand #113 (id: hdkqdecqrkag)  No Limit Texas Hold'em (dealer: ""なんでやねん @ r1CBe6Qe79"") --",2026-02-09T12:36:56.055Z,177064061605500
"-- ending hand #112 --",2026-02-09T12:36:53.054Z,177064061305402
"""ElNino @ byYrvu0Qdy"" collected 50 from pot",2026-02-09T12:36:53.054Z,177064061305401
"Uncalled bet of 20 returned to ""ElNino @ byYrvu0Qdy""",2026-02-09T12:36:53.054Z,177064061305400
"""すとふぁ @ M4pyIQvfB9"" folds",2026-02-09T12:36:52.173Z,177064061217300
"""なんでやねん @ r1CBe6Qe79"" folds",2026-02-09T12:36:44.364Z,177064060436400
"""shunsuke11 @ CmPBhvSXqk"" folds",2026-02-09T12:36:41.610Z,177064060161000
"""ElNino @ byYrvu0Qdy"" raises to 40",2026-02-09T12:36:39.203Z,177064059920300
"""すとふぁ @ M4pyIQvfB9"" posts a big blind of 20",2026-02-09T12:36:34.240Z,177064059424007
"""なんでやねん @ r1CBe6Qe79"" posts a small blind of 10",2026-02-09T12:36:34.240Z,177064059424006
"Player stacks: #2 ""ElNino @ byYrvu0Qdy"" (2799) | #4 ""shunsuke11 @ CmPBhvSXqk"" (1885) | #8 ""なんでやねん @ r1CBe6Qe79"" (2459) | #10 ""すとふぁ @ M4pyIQvfB9"" (2412)",2026-02-09T12:36:34.240Z,177064059424001
"-- starting hand #112 (id: nyw91p6h4da3)  No Limit Texas Hold'em (dealer: ""shunsuke11 @ CmPBhvSXqk"") --",2026-02-09T12:36:34.240Z,177064059424000
"-- ending hand #111 --",2026-02-09T12:36:28.214Z,177064058821403
"""なんでやねん @ r1CBe6Qe79"" collected 830 from pot with Two Pair, K's & 5's (combination: A♠, 5♥, 5♦, K♥, K♣)",2026-02-09T12:36:28.214Z,177064058821402
"""なんでやねん @ r1CBe6Qe79"" shows a K♥, A♠.",2026-02-09T12:36:28.214Z,177064058821401
"""shunsuke11 @ CmPBhvSXqk"" shows a Q♣, 3♣.",2026-02-09T12:36:28.214Z,177064058821400
"""なんでやねん @ r1CBe6Qe79"" checks",2026-02-09T12:36:27.363Z,177064058736300
"""shunsuke11 @ CmPBhvSXqk"" checks",2026-02-09T12:35:57.877Z,177064055787700
"River: Q♠, 5♥, K♣, 5♦ [7♠]",2026-02-09T12:35:55.976Z,177064055597600
"""shunsuke11 @ CmPBhvSXqk"" calls 249",2026-02-09T12:35:55.168Z,177064055516800
