entry,at,order
"The player ""Guest @ XeH1jmD6s_"" passed the room ownership to ""ゆうま @ MI-fYAoFiY"".",2026-02-09T13:01:20.061Z,177064208006100
"The player ""をにぎり @ fyjEJaUFUd"" quits the game with a stack of 3871.",2026-02-09T12:40:03.129Z,177064080312900
"-- ending hand #107 --",2026-02-09T12:40:00.189Z,177064080018902
"""ゆうま @ MI-fYAoFiY"" collected 20 from pot",2026-02-09T12:40:00.189Z,177064080018901
"Uncalled bet of 10 returned to ""ゆうま @ MI-fYAoFiY""",2026-02-09T12:40:00.189Z,177064080018900
"""をにぎり @ fyjEJaUFUd"" folds",2026-02-09T12:39:59.338Z,177064079933800
"""ゆうま @ MI-fYAoFiY"" posts a big blind of 20",2026-02-09T12:39:53.685Z,177064079368507
"""をにぎり @ fyjEJaUFUd"" posts a small blind of 10",2026-02-09T12:39:53.685Z,177064079368506
"Player stacks: #1 ""ゆうま @ MI-fYAoFiY"" (2135) | #5 ""をにぎり @ fyjEJaUFUd"" (3881)",2026-02-09T12:39:53.685Z,177064079368503
"-- starting hand #107 (id: dpxdmz42mueh)  No Limit Texas Hold'em (dealer: ""をにぎり @ fyjEJaUFUd"") --",2026-02-09T12:39:53.685Z,177064079368502
"The player ""翔斗 @ 4_RBXVU9-k"" quits the game with a stack of 2000.",2026-02-09T12:39:53.685Z,177064079368501
"The player ""するたん @ vVo9VdBVBm"" quits the game with a stack of 2802.",2026-02-09T12:39:53.685Z,177064079368500
"-- ending hand #106 --",2026-02-09T12:39:50.778Z,177064079077802
"""ゆうま @ MI-fYAoFiY"" collected 50 from pot",2026-02-09T12:39:50.778Z,177064079077801
"Uncalled bet of 30 returned to ""ゆうま @ MI-fYAoFiY""",2026-02-09T12:39:50.778Z,177064079077800
"""をにぎり @ fyjEJaUFUd"" folds",2026-02-09T12:39:49.926Z,177064078992600
"""翔斗 @ 4_RBXVU9-k"" folds",2026-02-09T12:39:48.709Z,177064078870900
"""ゆうま @ MI-fYAoFiY"" raises to 50",2026-02-09T12:39:47.889Z,177064078788900
"""するたん @ vVo9VdBVBm"" folds",2026-02-09T12:39:36.951Z,177064077695100
"""をにぎり @ fyjEJaUFUd"" posts a big blind of 20",2026-02-09T12:39:35.780Z,177064077578007
"""翔斗 @ 4_RBXVU9-k"" posts a small blind of 10",2026-02-09T12:39:35.780Z,177064077578006
"Player stacks: #1 ""ゆうま @ MI-fYAoFiY"" (2105) | #2 ""翔斗 @ 4_RBXVU9-k"" (2010) | #5 ""をにぎり @ fyjEJaUFUd"" (3901) | #10 ""するたん @ vVo9VdBVBm"" (2802)",2026-02-09T12:39:35.780Z,177064077578001
"-- starting hand #106 (id: rnfgbjfqotdi)  No Limit Texas Hold'em (dealer: ""ゆうま @ MI-fYAoFiY"") --",2026-02-09T12:39:35.780Z,177064077578000
"-- ending hand #105 --",2026-02-09T12:39:32.871Z,177064077287102
"""するたん @ vVo9VdBVBm"" collected 330 from pot",2026-02-09T12:39:32.871Z,177064077287101
