entry,at,order
"The player ""UMAUMA @ iKNrGrbUkg"" quits the game with a stack of 2093.",2026-02-09T13:15:26.850Z,177064292685000
"-- ending hand #68 --",2026-02-09T13:15:23.889Z,177064292388902
"""UMAUMA @ iKNrGrbUkg"" collected 20 from pot",2026-02-09T13:15:23.889Z,177064292388901
"Uncalled bet of 10 returned to ""UMAUMA @ iKNrGrbUkg""",2026-02-09T13:15:23.889Z,177064292388900
"""ゆうま @ MI-fYAoFiY"" folds",2026-02-09T13:15:23.050Z,177064292305000
"""UMAUMA @ iKNrGrbUkg"" posts a big blind of 20",2026-02-09T13:13:43.010Z,177064282301005
"""ゆうま @ MI-fYAoFiY"" posts a small blind of 10",2026-02-09T13:13:43.010Z,177064282301004
"Player stacks: #3 ""ゆうま @ MI-fYAoFiY"" (1820) | #7 ""UMAUMA @ iKNrGrbUkg"" (2083)",2026-02-09T13:13:43.010Z,177064282301001
"-- starting hand #68 (id: sbnypb2a6ywb)  No Limit Texas Hold'em (dealer: ""ゆうま @ MI-fYAoFiY"") --",2026-02-09T13:13:43.010Z,177064282301000
"-- ending hand #67 --",2026-02-09T13:13:40.069Z,177064282006902
"""UMAUMA @ iKNrGrbUkg"" collected 40 from pot",2026-02-09T13:13:40.069Z,177064282006901
"Uncalled bet of 40 returned to ""UMAUMA @ iKNrGrbUkg""",2026-02-09T13:13:40.069Z,177064282006900
"""ゆうま @ MI-fYAoFiY"" folds",2026-02-09T13:13:39.207Z,177064281920700
"""UMAUMA @ iKNrGrbUkg"" raises to 60",2026-02-09T13:11:58.348Z,177064271834800
"""ゆうま @ MI-fYAoFiY"" posts a big blind of 20",2026-02-09T13:10:58.360Z,177064265836005
"""UMAUMA @ iKNrGrbUkg"" posts a small blind of 10",2026-02-09T13:10:58.360Z,177064265836004
"Player stacks: #3 ""ゆうま @ MI-fYAoFiY"" (1840) | #7 ""UMAUMA @ iKNrGrbUkg"" (2063)",2026-02-09T13:10:58.360Z,177064265836001
"-- starting hand #67 (id: gzhrtodoqytw)  No Limit Texas Hold'em (dealer: ""UMAUMA @ iKNrGrbUkg"") --",2026-02-09T13:10:58.360Z,177064265836000
"-- ending hand #66 --",2026-02-09T13:10:55.458Z,177064265545802
"""UMAUMA @ iKNrGrbUkg"" collected 20 from pot",2026-02-09T13:10:55.458Z,177064265545801
"Uncalled bet of 10 returned to ""UMAUMA @ iKNrGrbUkg""",2026-02-09T13:10:55.458Z,177064265545800
"""ゆうま @ MI-fYAoFiY"" folds",2026-02-09T13:10:54.601Z,177064265460100
"""UMAUMA @ iKNrGrbUkg"" posts a big blind of 20",2026-02-09T13:09:14.588Z,177064255458805
"""ゆうま @ MI-fYAoFiY"" posts a small blind of 10",2026-02-09T13:09:14.588Z,177064255458804
"Player stacks: #3 ""ゆうま @ MI-fYAoFiY"" (1850) | #7 ""UMAUMA @ iKNrGrbUkg"" (2053)",2026-02-09T13:09:14.588Z,177064255458801
"-- starting hand #66 (id: nrnlxawk5tfp)  No Limit Texas Hold'em (dealer: ""ゆうま @ MI-fYAoFiY"") --",2026-02-09T13:09:14.588Z,177064255458800
"-- ending hand #65 --",2026-02-09T13:09:11.635Z,177064255163502
"""ゆうま @ MI-fYAoFiY"" collected 20 from pot",2026-02-09T13:09:11.635Z,177064255163501
"Uncalled bet of 10 returned to ""ゆうま @ MI-fYAoFiY""",2026-02-09T13:09:11.635Z,177064255163500
"""UMAUMA @ iKNrGrbUkg"" folds",2026-02-09T13:09:10.787Z,177064255078700
"""ゆうま @ MI-fYAoFiY"" posts a big blind of 20",2026-02-09T13:07:30.772Z,177064245077205
"""UMAUMA @ iKNrGrbUkg"" posts a small blind of 10",2026-02-09T13:07:30.772Z,177064245077204
"Player stacks: #3 ""ゆうま @ MI-fYAoFiY"" (1840) | #7 ""UMAUMA @ iKNrGrbUkg"" (2063)",2026-02-09T13:07:30.772Z,177064245077201
"-- starting hand #65 (id: agls9bjqvhge)  No Limit Texas Hold'em (dealer: ""UMAUMA @ iKNrGrbUkg"") --",2026-02-09T13:07:30.772Z,177064245077200
"-- ending hand #64 --",2026-02-09T13:07:27.862Z,177064244786202
"""UMAUMA @ iKNrGrbUkg"" collected 20 from pot",2026-02-09T13:07:27.862Z,177064244786201
"Uncalled bet of 10 returned to ""UMAUMA @ iKNrGrbUkg""",2026-02-09T13:07:27.862Z,177064244786200
"""ゆうま @ MI-fYAoFiY"" folds",2026-02-09T13:07:26.971Z,177064244697100
"""UMAUMA @ iKNrGrbUkg"" posts a big blind of 20",2026-02-09T13:05:46.931Z,177064234693105
"""ゆうま @ MI-fYAoFiY"" posts a small blind of 10",2026-02-09T13:05:46.931Z,177064234693104
"Player stacks: #3 ""ゆうま @ MI-fYAoFiY"" (1850) | #7 ""UMAUMA @ iKNrGrbUkg"" (2053)",2026-02-09T13:05:46.931Z,177064234693101
"-- starting hand #64 (id: 60hg9ni0wtxl)  No Limit Texas Hold'em (dealer: ""ゆうま @ MI-fYAoFiY"") --",2026-02-09T13:05:46.931Z,177064234693100
"-- ending hand #63 --",2026-02-09T13:05:43.995Z,177064234399502
"""ゆうま @ MI-fYAoFiY"" collected 20 from pot",2026-02-09T13:05:43.995Z,177064234399501
"Uncalled bet of 10 returned to ""ゆうま @ MI-fYAoFiY""",2026-02-09T13:05:43.995Z,177064234399500
"""UMAUMA @ iKNrGrbUkg"" folds",2026-02-09T13:05:43.173Z,177064234317300
"""ゆうま @ MI-fYAoFiY"" posts a big blind of 20",2026-02-09T13:04:03.160Z,177064224316005
"""UMAUMA @ iKNrGrbUkg"" posts a small blind of 10",2026-02-09T13:04:03.160Z,177064224316004
"Player stacks: #3 ""ゆうま @ MI-fYAoFiY"" (1840) | #7 ""UMAUMA @ iKNrGrbUkg"" (2063)",2026-02-09T13:04:03.160Z,177064224316001
"-- starting hand #63 (id: wmc4rn8wjuba)  No Limit Texas Hold'em (dealer: ""UMAUMA @ iKNrGrbUkg"") --",2026-02-09T13:04:03.160Z,177064224316000
"-- ending hand #62 --",2026-02-09T13:04:00.206Z,177064224020602
"""UMAUMA @ iKNrGrbUkg"" collected 20 from pot",2026-02-09T13:04:00.206Z,177064224020601
"Uncalled bet of 10 returned to ""UMAUMA @ iKNrGrbUkg""",2026-02-09T13:04:00.206Z,177064224020600
"""ゆうま @ MI-fYAoFiY"" folds",2026-02-09T13:03:59.374Z,177064223937400
"""UMAUMA @ iKNrGrbUkg"" posts a big blind of 20",2026-02-09T13:02:19.372Z,177064213937205
"""ゆうま @ MI-fYAoFiY"" posts a small blind of 10",2026-02-09T13:02:19.372Z,177064213937204
"Player stacks: #3 ""ゆうま @ MI-fYAoFiY"" (1850) | #7 ""UMAUMA @ iKNrGrbUkg"" (2053)",2026-02-09T13:02:19.372Z,177064213937201
"-- starting hand #62 (id: w7cfvm6oco8x)  No Limit Texas Hold'em (dealer: ""ゆうま @ MI-fYAoFiY"") --",2026-02-09T13:02:19.372Z,177064213937200
"-- ending hand #61 --",2026-02-09T13:02:16.453Z,177064213645302
"""ゆうま @ MI-fYAoFiY"" collected 20 from pot",2026-02-09T13:02:16.453Z,177064213645301
"Uncalled bet of 10 returned to ""ゆうま @ MI-fYAoFiY""",2026-02-09T13:02:16.453Z,177064213645300
"""UMAUMA @ iKNrGrbUkg"" folds",2026-02-09T13:02:15.645Z,177064213564500
"""ゆうま @ MI-fYAoFiY"" posts a big blind of 20",2026-02-09T13:00:35.625Z,177064203562505
"""UMAUMA @ iKNrGrbUkg"" posts a small blind of 10",2026-02-09T13:00:35.625Z,177064203562504
"Player stacks: #3 ""ゆうま @ MI-fYAoFiY"" (1840) | #7 ""UMAUMA @ iKNrGrbUkg"" (2063)",2026-02-09T13:00:35.625Z,177064203562501
"-- starting hand #61 (id: n2zeluiqn6wa)  No Limit Texas Hold'em (dealer: ""UMAUMA @ iKNrGrbUkg"") --",2026-02-09T13:00:35.625Z,177064203562500
"-- ending hand #60 --",2026-02-09T13:00:32.681Z,177064203268102
"""UMAUMA @ iKNrGrbUkg"" collected 20 from pot",2026-02-09T13:00:32.681Z,177064203268101
"Uncalled bet of 10 returned to ""UMAUMA @ iKNrGrbUkg""",2026-02-09T13:00:32.681Z,177064203268100
"""ゆうま @ MI-fYAoFiY"" folds",2026-02-09T13:00:31.864Z,177064203186400
"""UMAUMA @ iKNrGrbUkg"" posts a big blind of 20",2026-02-09T12:58:51.849Z,177064193184905
"""ゆうま @ MI-fYAoFiY"" posts a small blind of 10",2026-02-09T12:58:51.849Z,177064193184904
"Player stacks: #3 ""ゆうま @ MI-fYAoFiY"" (1850) | #7 ""UMAUMA @ iKNrGrbUkg"" (2053)",2026-02-09T12:58:51.849Z,177064193184901
"-- starting hand #60 (id: tnb2shg3z0mv)  No Limit Texas Hold'em (dealer: ""ゆうま @ MI-fYAoFiY"") --",2026-02-09T12:58:51.849Z,177064193184900
"-- ending hand #59 --",2026-02-09T12:58:48.876Z,177064192887602
"""ゆうま @ MI-fYAoFiY"" collected 20 from pot",2026-02-09T12:58:48.876Z,177064192887601
"Uncalled bet of 10 returned to ""ゆうま @ MI-fYAoFiY""",2026-02-09T12:58:48.876Z,177064192887600
"""UMAUMA @ iKNrGrbUkg"" folds",2026-02-09T12:58:48.048Z,177064192804800
"""ゆうま @ MI-fYAoFiY"" posts a big blind of 20",2026-02-09T12:57:08.020Z,177064182802005
"""UMAUMA @ iKNrGrbUkg"" posts a small blind of 10",2026-02-09T12:57:08.020Z,177064182802004
"Player stacks: #3 ""ゆうま @ MI-fYAoFiY"" (1840) | #7 ""UMAUMA @ iKNrGrbUkg"" (2063)",2026-02-09T12:57:08.020Z,177064182802001
"-- starting hand #59 (id: ve5vbpjsa7oi)  No Limit Texas Hold'em (dealer: ""UMAUMA @ iKNrGrbUkg"") --",2026-02-09T12:57:08.020Z,177064182802000
"-- ending hand #58 --",2026-02-09T12:57:05.103Z,177064182510302
"""UMAUMA @ iKNrGrbUkg"" collected 20 from pot",2026-02-09T12:57:05.103Z,177064182510301
"Uncalled bet of 10 returned to ""UMAUMA @ iKNrGrbUkg""",2026-02-09T12:57:05.103Z,177064182510300
