entry,at,order
"The player ""実力の若林 @ me1rr9s1Tx"" passed the room ownership to ""RYOTA @ SrJdWlcNBY"".",2026-02-09T13:17:03.443Z,177064302344300
"The player ""実力の若林 @ me1rr9s1Tx"" quits the game with a stack of 1754.",2026-02-09T13:11:03.344Z,177064266334400
"The player ""Guest @ XeH1jmD6s_"" passed the room ownership to ""実力の若林 @ me1rr9s1Tx"".",2026-02-09T13:00:14.599Z,177064201459900
"The player ""RYOTA @ SrJdWlcNBY"" stand up with the stack of 3056.",2026-02-09T12:58:47.276Z,177064192727600
"-- ending hand #60 --",2026-02-09T12:58:44.357Z,177064192435702
"""実力の若林 @ me1rr9s1Tx"" collected 20 from pot",2026-02-09T12:58:44.357Z,177064192435701
"Uncalled bet of 10 returned to ""実力の若林 @ me1rr9s1Tx""",2026-02-09T12:58:44.357Z,177064192435700
"""RYOTA @ SrJdWlcNBY"" folds",2026-02-09T12:58:43.537Z,177064192353700
"""実力の若林 @ me1rr9s1Tx"" posts a big blind of 20",2026-02-09T12:58:23.525Z,177064190352505
"""RYOTA @ SrJdWlcNBY"" posts a small blind of 10",2026-02-09T12:58:23.525Z,177064190352504
"Player stacks: #5 ""実力の若林 @ me1rr9s1Tx"" (1744) | #8 ""RYOTA @ SrJdWlcNBY"" (3066)",2026-02-09T12:58:23.525Z,177064190352501
"-- starting hand #60 (id: dxnvrnj9qy4u)  No Limit Texas Hold'em (dealer: ""RYOTA @ SrJdWlcNBY"") --",2026-02-09T12:58:23.525Z,177064190352500
"-- ending hand #59 --",2026-02-09T12:58:20.618Z,177064190061802
"""RYOTA @ SrJdWlcNBY"" collected 20 from pot",2026-02-09T12:58:20.618Z,177064190061801
"Uncalled bet of 10 returned to ""RYOTA @ SrJdWlcNBY""",2026-02-09T12:58:20.618Z,177064190061800
"""実力の若林 @ me1rr9s1Tx"" folds",2026-02-09T12:58:19.724Z,177064189972400
"""RYOTA @ SrJdWlcNBY"" posts a big blind of 20",2026-02-09T12:57:59.708Z,177064187970805
"""実力の若林 @ me1rr9s1Tx"" posts a small blind of 10",2026-02-09T12:57:59.708Z,177064187970804
"Player stacks: #5 ""実力の若林 @ me1rr9s1Tx"" (1754) | #8 ""RYOTA @ SrJdWlcNBY"" (3056)",2026-02-09T12:57:59.708Z,177064187970801
"-- starting hand #59 (id: yzfmishkuci7)  No Limit Texas Hold'em (dealer: ""実力の若林 @ me1rr9s1Tx"") --",2026-02-09T12:57:59.708Z,177064187970800
"-- ending hand #58 --",2026-02-09T12:57:56.758Z,177064187675802
"""実力の若林 @ me1rr9s1Tx"" collected 20 from pot",2026-02-09T12:57:56.758Z,177064187675801
"Uncalled bet of 10 returned to ""実力の若林 @ me1rr9s1Tx""",2026-02-09T12:57:56.758Z,177064187675800
"""RYOTA @ SrJdWlcNBY"" folds",2026-02-09T12:57:55.905Z,177064187590500
