entry,at,order
"The player ""ノガード @ GgfRhPuspx"" passed the room ownership to ""konasho @ 5Bj_LObl5K"".",2026-02-09T14:20:48.933Z,177064684893300
"The player ""Hinano @ WeOKnoOueQ"" quits the game with a stack of 3095.",2026-02-09T12:58:45.046Z,177064192504603
"The player ""zozozo @ I42BI18xq3"" stand up with the stack of 2890.",2026-02-09T12:58:45.046Z,177064192504602
"The player ""Hinano @ WeOKnoOueQ"" stand up with the stack of 3095.",2026-02-09T12:58:45.046Z,177064192504601
"The player ""konasho @ 5Bj_LObl5K"" stand up with the stack of 2515.",2026-02-09T12:58:45.046Z,177064192504600
"-- ending hand #22 --",2026-02-09T12:58:42.110Z,177064192211002
"""konasho @ 5Bj_LObl5K"" collected 20 from pot",2026-02-09T12:58:42.110Z,177064192211001
"Uncalled bet of 10 returned to ""konasho @ 5Bj_LObl5K""",2026-02-09T12:58:42.110Z,177064192211000
"""okbokujo @ 7rBUr1jNCU"" folds",2026-02-09T12:58:41.304Z,177064192130400
"""zozozo @ I42BI18xq3"" folds",2026-02-09T12:57:00.464Z,177064182046400
"""Hinano @ WeOKnoOueQ"" folds",2026-02-09T12:38:49.684Z,177064072968400
"""konasho @ 5Bj_LObl5K"" posts a big blind of 20",2026-02-09T12:38:44.500Z,177064072450009
"""okbokujo @ 7rBUr1jNCU"" posts a small blind of 10",2026-02-09T12:38:44.500Z,177064072450008
"Player stacks: #1 ""konasho @ 5Bj_LObl5K"" (2505) | #6 ""Hinano @ WeOKnoOueQ"" (3095) | #7 ""zozozo @ I42BI18xq3"" (2890) | #9 ""okbokujo @ 7rBUr1jNCU"" (2080)",2026-02-09T12:38:44.500Z,177064072450003
"-- starting hand #22 (id: vdeq731bm7z6)  No Limit Texas Hold'em (dealer: ""zozozo @ I42BI18xq3"") --",2026-02-09T12:38:44.500Z,177064072450002
"The player ""ばどえあー @ Ji_JkhdQ8C"" quits the game with a stack of 2015.",2026-02-09T12:38:44.500Z,177064072450001
"The player ""ねくと @ abo_CBipdr"" stand up with the stack of 2219.",2026-02-09T12:38:44.500Z,177064072450000
"-- ending hand #21 --",2026-02-09T12:38:38.488Z,177064071848802
"""konasho @ 5Bj_LObl5K"" collected 980 from pot with Two Pair, 10's & 2's (combination: Q♥, 2♦, 2♥, 10♥, 10♣)",2026-02-09T12:38:38.488Z,177064071848801
"""konasho @ 5Bj_LObl5K"" shows a 10♥, 10♣.",2026-02-09T12:38:38.488Z,177064071848800
"""ねくと @ abo_CBipdr"" checks",2026-02-09T12:38:37.686Z,177064071768600
"""konasho @ 5Bj_LObl5K"" checks",2026-02-09T12:38:36.883Z,177064071688300
"River: Q♥, 2♦, 8♠, 2♥ [9♣]",2026-02-09T12:38:34.084Z,177064071408400
