entry,at,order
"The player ""Guest @ fXxZKORuuu"" passed the room ownership to ""takatony @ j_3joKfzS9"".",2026-02-09T14:05:25.658Z,177064592565800
"The player ""するたん @ vVo9VdBVBm"" quits the game with a stack of 2230.",2026-02-09T14:02:50.364Z,177064577036402
"The player ""Noram @ DZezvMNAJy"" quits the game with a stack of 2420.",2026-02-09T14:02:50.364Z,177064577036401
"The player ""RYOTA @ SrJdWlcNBY"" quits the game with a stack of 3107.",2026-02-09T14:02:50.364Z,177064577036400
"-- ending hand #78 --",2026-02-09T14:02:44.315Z,177064576431503
"""らねおか @ l218j9GUvI"" collected 1560 from pot with Pair, K's (combination: 10♦, J♣, Q♠, K♠, K♣)",2026-02-09T14:02:44.315Z,177064576431502
"""らねおか @ l218j9GUvI"" shows a Q♠, K♠.",2026-02-09T14:02:44.315Z,177064576431501
"""Hinano @ WeOKnoOueQ"" shows a Q♣, Q♦.",2026-02-09T14:02:44.315Z,177064576431500
"""らねおか @ l218j9GUvI"" checks",2026-02-09T14:02:43.474Z,177064576347400
"""Hinano @ WeOKnoOueQ"" checks",2026-02-09T14:02:41.397Z,177064576139700
"River: K♣, 10♦, 8♥, J♣ [2♦]",2026-02-09T14:02:26.430Z,177064574643000
"""らねおか @ l218j9GUvI"" calls 440",2026-02-09T14:02:25.614Z,177064574561400
"""Hinano @ WeOKnoOueQ"" bets 440",2026-02-09T14:00:52.534Z,177064565253400
"Turn: K♣, 10♦, 8♥ [J♣]",2026-02-09T14:00:33.855Z,177064563385500
"""らねおか @ l218j9GUvI"" calls 115",2026-02-09T14:00:33.004Z,177064563300400
"The admin ""Guest @ fXxZKORuuu"" enqueued the game stop on next hand.",2026-02-09T14:00:18.629Z,177064561862900
"""Hinano @ WeOKnoOueQ"" bets 115",2026-02-09T14:00:15.020Z,177064561502000
"Flop:  [K♣, 10♦, 8♥]",2026-02-09T14:00:06.603Z,177064560660300
"""らねおか @ l218j9GUvI"" calls 220",2026-02-09T14:00:05.735Z,177064560573500
"""Hinano @ WeOKnoOueQ"" raises to 220",2026-02-09T13:59:43.685Z,177064558368500
"""takatony @ j_3joKfzS9"" folds",2026-02-09T13:59:34.469Z,177064557446900
"""らねおか @ l218j9GUvI"" raises to 50",2026-02-09T13:59:20.152Z,177064556015200
"""Noram @ DZezvMNAJy"" folds",2026-02-09T13:59:17.098Z,177064555709800
"""RYOTA @ SrJdWlcNBY"" folds",2026-02-09T13:59:16.082Z,177064555608200
"""するたん @ vVo9VdBVBm"" folds",2026-02-09T13:59:13.976Z,177064555397600
"""Hinano @ WeOKnoOueQ"" posts a big blind of 20",2026-02-09T13:59:12.229Z,177064555222909
"""takatony @ j_3joKfzS9"" posts a small blind of 10",2026-02-09T13:59:12.229Z,177064555222908
"Player stacks: #2 ""らねおか @ l218j9GUvI"" (2157) | #3 ""takatony @ j_3joKfzS9"" (3115) | #4 ""Hinano @ WeOKnoOueQ"" (2968) | #5 ""するたん @ vVo9VdBVBm"" (2230) | #8 ""RYOTA @ SrJdWlcNBY"" (3107) | #10 ""Noram @ DZezvMNAJy"" (2420)",2026-02-09T13:59:12.229Z,177064555222901
"-- starting hand #78 (id: qjsj70it80gl)  No Limit Texas Hold'em (dealer: ""らねおか @ l218j9GUvI"") --",2026-02-09T13:59:12.229Z,177064555222900
"-- ending hand #77 --",2026-02-09T13:59:09.325Z,177064554932502
"""Hinano @ WeOKnoOueQ"" collected 160 from pot",2026-02-09T13:59:09.325Z,177064554932501
"Uncalled bet of 120 returned to ""Hinano @ WeOKnoOueQ""",2026-02-09T13:59:09.325Z,177064554932500
"""takatony @ j_3joKfzS9"" folds",2026-02-09T13:59:08.517Z,177064554851700
"""Hinano @ WeOKnoOueQ"" bets 120",2026-02-09T13:59:06.935Z,177064554693500
"""takatony @ j_3joKfzS9"" checks",2026-02-09T13:58:55.163Z,177064553516300
"River: 5♠, 10♦, 10♠, 7♦ [Q♥]",2026-02-09T13:58:49.739Z,177064552973900
"""Hinano @ WeOKnoOueQ"" checks",2026-02-09T13:58:48.906Z,177064552890600
"""takatony @ j_3joKfzS9"" checks",2026-02-09T13:58:36.945Z,177064551694500
"Turn: 5♠, 10♦, 10♠ [7♦]",2026-02-09T13:58:35.413Z,177064551541300
"""takatony @ j_3joKfzS9"" calls 30",2026-02-09T13:58:34.609Z,177064551460900
