entry,at,order
"The player ""Jongo @ fkdSdH_cyU"" canceled the seat request.",2026-02-09T12:35:21.685Z,177064052168500
"The player ""kyntama @ EhpMamj_1G"" quits the game with a stack of 3250.",2026-02-09T12:35:08.572Z,177064050857203
"The player ""hanzo @ DKe5W54dl3"" quits the game with a stack of 3530.",2026-02-09T12:35:08.572Z,177064050857202
"The player ""takatony @ j_3joKfzS9"" quits the game with a stack of 3465.",2026-02-09T12:35:08.572Z,177064050857201
"The player ""kyntama @ EhpMamj_1G"" stand up with the stack of 3250.",2026-02-09T12:35:08.572Z,177064050857200
"-- ending hand #116 --",2026-02-09T12:35:05.630Z,177064050563002
"""kyntama @ EhpMamj_1G"" collected 20 from pot",2026-02-09T12:35:05.630Z,177064050563001
"Uncalled bet of 10 returned to ""kyntama @ EhpMamj_1G""",2026-02-09T12:35:05.630Z,177064050563000
"""takatony @ j_3joKfzS9"" folds",2026-02-09T12:35:04.781Z,177064050478100
"""kyntama @ EhpMamj_1G"" posts a big blind of 20",2026-02-09T12:34:56.907Z,177064049690706
"""takatony @ j_3joKfzS9"" posts a small blind of 10",2026-02-09T12:34:56.907Z,177064049690705
"Player stacks: #2 ""kyntama @ EhpMamj_1G"" (3240) | #9 ""takatony @ j_3joKfzS9"" (3475)",2026-02-09T12:34:56.907Z,177064049690702
"-- starting hand #116 (id: jczyx1nbp012)  No Limit Texas Hold'em (dealer: ""takatony @ j_3joKfzS9"") --",2026-02-09T12:34:56.907Z,177064049690701
"The player ""hanzo @ DKe5W54dl3"" stand up with the stack of 3530.",2026-02-09T12:34:56.907Z,177064049690700
"-- ending hand #115 --",2026-02-09T12:34:53.981Z,177064049398102
"""kyntama @ EhpMamj_1G"" collected 50 from pot",2026-02-09T12:34:53.981Z,177064049398101
"Uncalled bet of 30 returned to ""kyntama @ EhpMamj_1G""",2026-02-09T12:34:53.981Z,177064049398100
"""takatony @ j_3joKfzS9"" folds",2026-02-09T12:34:53.114Z,177064049311400
"""hanzo @ DKe5W54dl3"" folds",2026-02-09T12:34:08.081Z,177064044808100
"""kyntama @ EhpMamj_1G"" raises to 50",2026-02-09T12:34:05.319Z,177064044531900
"""takatony @ j_3joKfzS9"" posts a big blind of 20",2026-02-09T12:34:01.883Z,177064044188306
"""hanzo @ DKe5W54dl3"" posts a small blind of 10",2026-02-09T12:34:01.883Z,177064044188305
"Player stacks: #2 ""kyntama @ EhpMamj_1G"" (3210) | #5 ""hanzo @ DKe5W54dl3"" (3540) | #9 ""takatony @ j_3joKfzS9"" (3495)",2026-02-09T12:34:01.883Z,177064044188301
"-- starting hand #115 (id: rlq2onjkwy9n)  No Limit Texas Hold'em (dealer: ""kyntama @ EhpMamj_1G"") --",2026-02-09T12:34:01.883Z,177064044188300
"-- ending hand #114 --",2026-02-09T12:33:58.912Z,177064043891202
"""kyntama @ EhpMamj_1G"" collected 40 from pot",2026-02-09T12:33:58.912Z,177064043891201
"Uncalled bet of 40 returned to ""kyntama @ EhpMamj_1G""",2026-02-09T12:33:58.912Z,177064043891200
"""hanzo @ DKe5W54dl3"" folds",2026-02-09T12:33:58.063Z,177064043806300
"""kyntama @ EhpMamj_1G"" raises to 60",2026-02-09T12:33:55.109Z,177064043510900
"The player ""Jongo @ fkdSdH_cyU"" requested a seat.",2026-02-09T12:33:54.616Z,177064043461600
"""takatony @ j_3joKfzS9"" folds",2026-02-09T12:33:51.798Z,177064043179800
"""hanzo @ DKe5W54dl3"" posts a big blind of 20",2026-02-09T12:33:43.478Z,177064042347807
"""kyntama @ EhpMamj_1G"" posts a small blind of 10",2026-02-09T12:33:43.478Z,177064042347806
"Player stacks: #2 ""kyntama @ EhpMamj_1G"" (3190) | #5 ""hanzo @ DKe5W54dl3"" (3560) | #9 ""takatony @ j_3joKfzS9"" (3495)",2026-02-09T12:33:43.478Z,177064042347802
"-- starting hand #114 (id: pcl0uvs5mz5k)  No Limit Texas Hold'em (dead button) --",2026-02-09T12:33:43.478Z,177064042347801
"The player ""Jongo @ fkdSdH_cyU"" quits the game with a stack of 1238.",2026-02-09T12:33:43.478Z,177064042347800
"-- ending hand #113 --",2026-02-09T12:33:40.548Z,177064042054802
