entry,at,order
"The player ""Guest @ fXxZKORuuu"" passed the room ownership to ""るも @ -oGa09aPpM"".",2026-02-09T14:04:59.257Z,177064589925700
"The player ""27 @ YkRLv6Nf7r"" quits the game with a stack of 2990.",2026-02-09T14:01:59.187Z,177064571918700
"The player ""shunsuke11 @ CmPBhvSXqk"" quits the game with a stack of 3264.",2026-02-09T14:00:50.312Z,177064565031201
"The admin updated the player ""konasho @ 5Bj_LObl5K"" stack from 2020 to 2000.",2026-02-09T14:00:50.312Z,177064565031200
"-- ending hand #87 --",2026-02-09T14:00:47.371Z,177064564737102
"""konasho @ 5Bj_LObl5K"" collected 40 from pot",2026-02-09T14:00:47.371Z,177064564737101
"Uncalled bet of 40 returned to ""konasho @ 5Bj_LObl5K""",2026-02-09T14:00:47.371Z,177064564737100
"""27 @ YkRLv6Nf7r"" folds",2026-02-09T14:00:46.550Z,177064564655000
"""konasho @ 5Bj_LObl5K"" raises to 60",2026-02-09T14:00:44.836Z,177064564483600
"""るも @ -oGa09aPpM"" folds",2026-02-09T14:00:39.231Z,177064563923100
"""shunsuke11 @ CmPBhvSXqk"" folds",2026-02-09T14:00:38.158Z,177064563815800
"The admin ""Guest @ fXxZKORuuu"" enqueued the game stop on next hand.",2026-02-09T14:00:21.130Z,177064562113000
"""naruko @ W_OnerqyAy"" folds",2026-02-09T14:00:20.064Z,177064562006400
"WARNING: the admin queued the stack change for the player ""konasho @ 5Bj_LObl5K"" reseting to 2000 chips in the next hand.",2026-02-09T14:00:19.945Z,177064561994500
"""27 @ YkRLv6Nf7r"" posts a big blind of 20",2026-02-09T14:00:17.646Z,177064561764609
"""konasho @ 5Bj_LObl5K"" posts a small blind of 10",2026-02-09T14:00:17.646Z,177064561764608
"Player stacks: #2 ""27 @ YkRLv6Nf7r"" (3010) | #6 ""naruko @ W_OnerqyAy"" (2536) | #7 ""shunsuke11 @ CmPBhvSXqk"" (3264) | #9 ""るも @ -oGa09aPpM"" (2794) | #10 ""konasho @ 5Bj_LObl5K"" (2000)",2026-02-09T14:00:17.646Z,177064561764602
