entry,at,order
"The player ""Guest @ fXxZKORuuu"" passed the room ownership to ""Rabbit900 @ yEOnuJcBZo"".",2026-02-09T14:05:25.139Z,177064592513900
"The player ""alfort @ FIVt2CQpXU"" quits the game with a stack of 2355.",2026-02-09T14:02:37.620Z,177064575762000
"The admin updated the player ""arash! @ PB93yGRdRr"" stack from 1990 to 2000.",2026-02-09T14:02:33.792Z,177064575379200
"-- ending hand #58 --",2026-02-09T14:02:30.833Z,177064575083302
"""sigma @ yHZrsG6l5j"" collected 790 from pot",2026-02-09T14:02:30.833Z,177064575083301
"Uncalled bet of 592 returned to ""sigma @ yHZrsG6l5j""",2026-02-09T14:02:30.833Z,177064575083300
"""GIL RAIM @ dPnVkST7ll"" folds",2026-02-09T14:02:30.014Z,177064575001400
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-02-09T14:02:28.937Z,177064574893700
"""sigma @ yHZrsG6l5j"" bets 592",2026-02-09T14:02:25.120Z,177064574512000
"River: Q♥, A♦, J♠, 8♦ [9♠]",2026-02-09T14:01:46.869Z,177064570686900
"""GIL RAIM @ dPnVkST7ll"" calls 180",2026-02-09T14:01:46.043Z,177064570604300
"""Rabbit900 @ yEOnuJcBZo"" calls 180",2026-02-09T14:01:44.856Z,177064570485600
"""sigma @ yHZrsG6l5j"" bets 180",2026-02-09T14:01:05.267Z,177064566526700
"Turn: Q♥, A♦, J♠ [8♦]",2026-02-09T14:00:40.858Z,177064564085800
"""GIL RAIM @ dPnVkST7ll"" calls 40",2026-02-09T14:00:40.006Z,177064564000600
"""Rabbit900 @ yEOnuJcBZo"" calls 40",2026-02-09T14:00:37.201Z,177064563720100
"""sigma @ yHZrsG6l5j"" bets 40",2026-02-09T14:00:30.524Z,177064563052400
"Flop:  [Q♥, A♦, J♠]",2026-02-09T14:00:13.431Z,177064561343100
"""sigma @ yHZrsG6l5j"" calls 40",2026-02-09T14:00:12.582Z,177064561258200
"""arash! @ PB93yGRdRr"" folds",2026-02-09T14:00:06.971Z,177064560697100
"The admin ""Guest @ fXxZKORuuu"" enqueued the game stop on next hand.",2026-02-09T14:00:05.973Z,177064560597300
"""GIL RAIM @ dPnVkST7ll"" calls 40",2026-02-09T14:00:05.931Z,177064560593100
"""Rabbit900 @ yEOnuJcBZo"" raises to 40",2026-02-09T14:00:01.855Z,177064560185500
"""alfort @ FIVt2CQpXU"" folds",2026-02-09T13:59:57.411Z,177064559741100
"WARNING: the admin queued the stack change for the player ""arash! @ PB93yGRdRr"" reseting to 2000 chips in the next hand.",2026-02-09T13:57:31.178Z,177064545117800
"""sigma @ yHZrsG6l5j"" posts a big blind of 20",2026-02-09T13:57:27.372Z,177064544737209
"""arash! @ PB93yGRdRr"" posts a small blind of 10",2026-02-09T13:57:27.372Z,177064544737208
"Player stacks: #1 ""alfort @ FIVt2CQpXU"" (2355) | #2 ""Rabbit900 @ yEOnuJcBZo"" (2266) | #6 ""GIL RAIM @ dPnVkST7ll"" (3558) | #7 ""arash! @ PB93yGRdRr"" (2000) | #10 ""sigma @ yHZrsG6l5j"" (2150)",2026-02-09T13:57:27.372Z,177064544737202
"-- starting hand #58 (id: 7buuqmpsmif7)  No Limit Texas Hold'em (dealer: ""GIL RAIM @ dPnVkST7ll"") --",2026-02-09T13:57:27.372Z,177064544737201
"The admin updated the player ""arash! @ PB93yGRdRr"" stack from 1860 to 2000.",2026-02-09T13:57:27.372Z,177064544737200
"-- ending hand #57 --",2026-02-09T13:57:24.420Z,177064544442002
"""GIL RAIM @ dPnVkST7ll"" collected 40 from pot",2026-02-09T13:57:24.420Z,177064544442001
"Uncalled bet of 60 returned to ""GIL RAIM @ dPnVkST7ll""",2026-02-09T13:57:24.420Z,177064544442000
"""arash! @ PB93yGRdRr"" folds",2026-02-09T13:57:23.591Z,177064544359100
"""GIL RAIM @ dPnVkST7ll"" raises to 80",2026-02-09T13:57:20.294Z,177064544029400
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-02-09T13:57:11.211Z,177064543121100
"""alfort @ FIVt2CQpXU"" folds",2026-02-09T13:57:10.189Z,177064543018900
"WARNING: the admin queued the stack change for the player ""arash! @ PB93yGRdRr"" reseting to 2000 chips in the next hand.",2026-02-09T13:57:09.881Z,177064542988100
"""sigma @ yHZrsG6l5j"" folds",2026-02-09T13:57:09.018Z,177064542901800
"""arash! @ PB93yGRdRr"" posts a big blind of 20",2026-02-09T13:57:06.891Z,177064542689108
"""GIL RAIM @ dPnVkST7ll"" posts a small blind of 10",2026-02-09T13:57:06.891Z,177064542689107
"Player stacks: #1 ""alfort @ FIVt2CQpXU"" (2355) | #2 ""Rabbit900 @ yEOnuJcBZo"" (2266) | #6 ""GIL RAIM @ dPnVkST7ll"" (3538) | #7 ""arash! @ PB93yGRdRr"" (1880) | #10 ""sigma @ yHZrsG6l5j"" (2150)",2026-02-09T13:57:06.891Z,177064542689101
"-- starting hand #57 (id: yf3lyulbut5e)  No Limit Texas Hold'em (dealer: ""Rabbit900 @ yEOnuJcBZo"") --",2026-02-09T13:57:06.891Z,177064542689100
