entry,at,order
"The player ""Guest @ fXxZKORuuu"" passed the room ownership to ""UMAUMA @ iKNrGrbUkg"".",2026-02-09T14:04:33.969Z,177064587396900
"The player ""北ふくろー @ nxKtWVcmeY"" quits the game with a stack of 2000.",2026-02-09T14:01:35.790Z,177064569579000
"The player ""ころり @ n0s1KAOIRL"" quits the game with a stack of 3485.",2026-02-09T14:01:33.925Z,177064569392500
"The player ""SetsunaTrip @ O2b7zy1-XM"" quits the game with a stack of 2000.",2026-02-09T14:01:16.573Z,177064567657300
"The player ""hanzo @ DKe5W54dl3"" quits the game with a stack of 2000.",2026-02-09T14:01:09.708Z,177064566970803
"The player ""Lemon @ Xa_1dhYEV4"" quits the game with a stack of 3756.",2026-02-09T14:01:09.708Z,177064566970802
"The admin updated the player ""SetsunaTrip @ O2b7zy1-XM"" stack from 2100 to 2000.",2026-02-09T14:01:09.708Z,177064566970801
"The admin updated the player ""北ふくろー @ nxKtWVcmeY"" stack from 1405 to 2000.",2026-02-09T14:01:09.708Z,177064566970800
"-- ending hand #69 --",2026-02-09T14:01:03.700Z,177064566370003
"""SetsunaTrip @ O2b7zy1-XM"" collected 200 from pot with Pair, K's (combination: 9♣, 10♦, A♥, K♣, K♥)",2026-02-09T14:01:03.700Z,177064566370002
"""SetsunaTrip @ O2b7zy1-XM"" shows a K♣, 9♣.",2026-02-09T14:01:03.700Z,177064566370001
"""UMAUMA @ iKNrGrbUkg"" shows a Q♠, 8♦.",2026-02-09T14:01:03.700Z,177064566370000
"""SetsunaTrip @ O2b7zy1-XM"" calls 40",2026-02-09T14:01:02.839Z,177064566283900
"""UMAUMA @ iKNrGrbUkg"" bets 40",2026-02-09T14:01:00.309Z,177064566030900
"River: 10♦, A♥, 5♣, K♥ [7♣]",2026-02-09T14:00:50.313Z,177064565031300
"""SetsunaTrip @ O2b7zy1-XM"" checks",2026-02-09T14:00:49.492Z,177064564949200
"""UMAUMA @ iKNrGrbUkg"" checks",2026-02-09T14:00:46.682Z,177064564668200
"Turn: 10♦, A♥, 5♣ [K♥]",2026-02-09T14:00:31.197Z,177064563119700
"""SetsunaTrip @ O2b7zy1-XM"" checks",2026-02-09T14:00:30.394Z,177064563039400
"""UMAUMA @ iKNrGrbUkg"" checks",2026-02-09T14:00:26.528Z,177064562652800
"The admin ""Guest @ fXxZKORuuu"" enqueued the game stop on next hand.",2026-02-09T14:00:25.953Z,177064562595300
"Flop:  [10♦, A♥, 5♣]",2026-02-09T14:00:21.253Z,177064562125300
"""SetsunaTrip @ O2b7zy1-XM"" calls 60",2026-02-09T14:00:20.408Z,177064562040800
"""UMAUMA @ iKNrGrbUkg"" raises to 60",2026-02-09T14:00:16.613Z,177064561661300
"""北ふくろー @ nxKtWVcmeY"" folds",2026-02-09T14:00:12.753Z,177064561275300
"""Lemon @ Xa_1dhYEV4"" folds",2026-02-09T14:00:11.741Z,177064561174100
"""hanzo @ DKe5W54dl3"" folds",2026-02-09T14:00:10.690Z,177064561069000
"WARNING: the admin queued the stack change for the player ""SetsunaTrip @ O2b7zy1-XM"" reseting to 2000 chips in the next hand.",2026-02-09T14:00:09.384Z,177064560938400
"WARNING: the admin queued the stack change for the player ""北ふくろー @ nxKtWVcmeY"" reseting to 2000 chips in the next hand.",2026-02-09T14:00:07.635Z,177064560763500
"""ころり @ n0s1KAOIRL"" folds",2026-02-09T14:00:07.350Z,177064560735000
"""SetsunaTrip @ O2b7zy1-XM"" posts a big blind of 20",2026-02-09T14:00:03.749Z,177064560374910
"""UMAUMA @ iKNrGrbUkg"" posts a small blind of 10",2026-02-09T14:00:03.749Z,177064560374909
"Player stacks: #1 ""Lemon @ Xa_1dhYEV4"" (3756) | #2 ""北ふくろー @ nxKtWVcmeY"" (1405) | #3 ""UMAUMA @ iKNrGrbUkg"" (2228) | #4 ""SetsunaTrip @ O2b7zy1-XM"" (2000) | #5 ""ころり @ n0s1KAOIRL"" (3485) | #10 ""hanzo @ DKe5W54dl3"" (2000)",2026-02-09T14:00:03.749Z,177064560374902
"-- starting hand #69 (id: 5jwrjbhqjzg1)  No Limit Texas Hold'em (dealer: ""北ふくろー @ nxKtWVcmeY"") --",2026-02-09T14:00:03.749Z,177064560374901
"The admin updated the player ""SetsunaTrip @ O2b7zy1-XM"" stack from 1960 to 2000.",2026-02-09T14:00:03.749Z,177064560374900
"-- ending hand #68 --",2026-02-09T14:00:00.764Z,177064560076402
"""ころり @ n0s1KAOIRL"" collected 1800 from pot",2026-02-09T14:00:00.764Z,177064560076401
"Uncalled bet of 1685 returned to ""ころり @ n0s1KAOIRL""",2026-02-09T14:00:00.764Z,177064560076400
"""北ふくろー @ nxKtWVcmeY"" folds",2026-02-09T13:59:59.943Z,177064559994300
"""ころり @ n0s1KAOIRL"" raises to 2285 and go all in",2026-02-09T13:59:56.775Z,177064559677500
"""北ふくろー @ nxKtWVcmeY"" bets 600",2026-02-09T13:59:05.496Z,177064554549600
"River: J♣, 10♦, Q♦, 7♣ [J♠]",2026-02-09T13:58:57.991Z,177064553799100
"""ころり @ n0s1KAOIRL"" calls 210",2026-02-09T13:58:57.157Z,177064553715700
