entry,at,order
"The player ""Guest @ fXxZKORuuu"" passed the room ownership to ""をにぎり @ fyjEJaUFUd"".",2026-02-09T14:05:02.729Z,177064590272900
"The admin updated the player ""ヤステ @ JL0yn4eBi6"" stack from 1990 to 2000.",2026-02-09T14:02:07.112Z,177064572711200
"""APO @ XqrTiXnRSu"" shows a 8♥, J♥.",2026-02-09T14:02:05.325Z,177064572532500
"-- ending hand #51 --",2026-02-09T14:02:03.462Z,177064572346202
"""APO @ XqrTiXnRSu"" collected 145 from pot",2026-02-09T14:02:03.462Z,177064572346201
"Uncalled bet of 108 returned to ""APO @ XqrTiXnRSu""",2026-02-09T14:02:03.462Z,177064572346200
"""をにぎり @ fyjEJaUFUd"" folds",2026-02-09T14:02:02.657Z,177064572265700
"""takatony @ j_3joKfzS9"" folds",2026-02-09T14:01:35.879Z,177064569587900
"""APO @ XqrTiXnRSu"" bets 108",2026-02-09T14:01:29.317Z,177064568931700
"""をにぎり @ fyjEJaUFUd"" checks",2026-02-09T14:01:21.625Z,177064568162500
"""takatony @ j_3joKfzS9"" checks",2026-02-09T14:01:20.598Z,177064568059800
"River: A♣, 6♠, 10♥, 3♦ [9♥]",2026-02-09T14:00:55.551Z,177064565555100
"""APO @ XqrTiXnRSu"" checks",2026-02-09T14:00:54.685Z,177064565468500
"""をにぎり @ fyjEJaUFUd"" checks",2026-02-09T14:00:53.630Z,177064565363000
"""takatony @ j_3joKfzS9"" checks",2026-02-09T14:00:52.188Z,177064565218800
"Turn: A♣, 6♠, 10♥ [3♦]",2026-02-09T14:00:49.971Z,177064564997100
"""APO @ XqrTiXnRSu"" checks",2026-02-09T14:00:49.151Z,177064564915100
"""をにぎり @ fyjEJaUFUd"" checks",2026-02-09T14:00:48.048Z,177064564804800
"""takatony @ j_3joKfzS9"" checks",2026-02-09T14:00:46.745Z,177064564674500
"Flop:  [A♣, 6♠, 10♥]",2026-02-09T14:00:20.082Z,177064562008200
"""takatony @ j_3joKfzS9"" calls 45",2026-02-09T14:00:19.265Z,177064561926500
"The admin ""Guest @ fXxZKORuuu"" enqueued the game stop on next hand.",2026-02-09T14:00:16.367Z,177064561636700
"""ヤステ @ JL0yn4eBi6"" folds",2026-02-09T13:59:04.996Z,177064554499600
"""APO @ XqrTiXnRSu"" calls 45",2026-02-09T13:59:03.897Z,177064554389700
"""をにぎり @ fyjEJaUFUd"" raises to 45",2026-02-09T13:58:59.304Z,177064553930400
"WARNING: the admin queued the stack change for the player ""ヤステ @ JL0yn4eBi6"" reseting to 2000 chips in the next hand.",2026-02-09T13:58:58.389Z,177064553838900
"""takatony @ j_3joKfzS9"" posts a big blind of 20",2026-02-09T13:58:56.250Z,177064553625009
"""ヤステ @ JL0yn4eBi6"" posts a small blind of 10",2026-02-09T13:58:56.250Z,177064553625008
"Player stacks: #2 ""APO @ XqrTiXnRSu"" (3399) | #3 ""ヤステ @ JL0yn4eBi6"" (2000) | #5 ""takatony @ j_3joKfzS9"" (3740) | #8 ""をにぎり @ fyjEJaUFUd"" (2665)",2026-02-09T13:58:56.250Z,177064553625003
"-- starting hand #51 (id: yce6clkhyewy)  No Limit Texas Hold'em (dealer: ""APO @ XqrTiXnRSu"") --",2026-02-09T13:58:56.250Z,177064553625002
"The player ""cymx2724 @ Yg9-tEe5QH"" quits the game with a stack of 2720.",2026-02-09T13:58:56.250Z,177064553625001
"The admin updated the player ""ヤステ @ JL0yn4eBi6"" stack from 1940 to 2000.",2026-02-09T13:58:56.250Z,177064553625000
"-- ending hand #50 --",2026-02-09T13:58:53.341Z,177064553334102
"""takatony @ j_3joKfzS9"" collected 130 from pot",2026-02-09T13:58:53.341Z,177064553334101
"Uncalled bet of 80 returned to ""takatony @ j_3joKfzS9""",2026-02-09T13:58:53.341Z,177064553334100
"""ヤステ @ JL0yn4eBi6"" folds",2026-02-09T13:58:52.471Z,177064553247100
"""takatony @ j_3joKfzS9"" bets 80",2026-02-09T13:58:49.977Z,177064552997700
"""ヤステ @ JL0yn4eBi6"" checks",2026-02-09T13:58:36.346Z,177064551634600
"Flop:  [K♠, 10♥, 3♠]",2026-02-09T13:58:32.611Z,177064551261100
"""ヤステ @ JL0yn4eBi6"" calls 60",2026-02-09T13:58:31.787Z,177064551178700
"""APO @ XqrTiXnRSu"" folds",2026-02-09T13:58:26.987Z,177064550698700
