entry,at,order
"The player ""Guest @ fXxZKORuuu"" passed the room ownership to ""わた @ kgEmed-EEr"".",2026-02-09T14:06:37.145Z,177064599714500
"-- ending hand #54 --",2026-02-09T14:00:37.856Z,177064563785602
"""-TOMO- @ upQSzf-M-C"" collected 100 from pot",2026-02-09T14:00:37.856Z,177064563785601
"Uncalled bet of 170 returned to ""-TOMO- @ upQSzf-M-C""",2026-02-09T14:00:37.856Z,177064563785600
"""AontheRiver @ 3xNTeMox_o"" folds",2026-02-09T14:00:37.008Z,177064563700800
"""てつ @ 6DX7hOo5Ri"" folds",2026-02-09T14:00:30.141Z,177064563014100
"""-TOMO- @ upQSzf-M-C"" raises to 210",2026-02-09T14:00:29.073Z,177064562907300
"The admin ""Guest @ fXxZKORuuu"" enqueued the game stop on next hand.",2026-02-09T14:00:18.850Z,177064561885000
"""AontheRiver @ 3xNTeMox_o"" raises to 40",2026-02-09T14:00:14.640Z,177064561464000
"""Ramune @ soKGYfNQsD"" folds",2026-02-09T14:00:12.433Z,177064561243300
"""わた @ kgEmed-EEr"" folds",2026-02-09T14:00:11.362Z,177064561136200
"""Fuku @ mXg0a8r7as"" folds",2026-02-09T14:00:10.080Z,177064561008000
"""てつ @ 6DX7hOo5Ri"" posts a big blind of 20",2026-02-09T14:00:07.851Z,177064560785110
"""-TOMO- @ upQSzf-M-C"" posts a small blind of 10",2026-02-09T14:00:07.851Z,177064560785109
"Player stacks: #1 ""わた @ kgEmed-EEr"" (3330) | #4 ""Ramune @ soKGYfNQsD"" (2830) | #6 ""AontheRiver @ 3xNTeMox_o"" (2000) | #8 ""-TOMO- @ upQSzf-M-C"" (2144) | #9 ""てつ @ 6DX7hOo5Ri"" (2511) | #10 ""Fuku @ mXg0a8r7as"" (2030)",2026-02-09T14:00:07.851Z,177064560785102
"-- starting hand #54 (id: leykehpipkmx)  No Limit Texas Hold'em (dealer: ""AontheRiver @ 3xNTeMox_o"") --",2026-02-09T14:00:07.851Z,177064560785101
"The admin updated the player ""AontheRiver @ 3xNTeMox_o"" stack from 1990 to 2000.",2026-02-09T14:00:07.851Z,177064560785100
"-- ending hand #53 --",2026-02-09T14:00:04.932Z,177064560493202
"""Fuku @ mXg0a8r7as"" collected 50 from pot",2026-02-09T14:00:04.932Z,177064560493201
"Uncalled bet of 40 returned to ""Fuku @ mXg0a8r7as""",2026-02-09T14:00:04.932Z,177064560493200
"""-TOMO- @ upQSzf-M-C"" folds",2026-02-09T14:00:04.029Z,177064560402900
"""AontheRiver @ 3xNTeMox_o"" folds",2026-02-09T14:00:02.915Z,177064560291500
"""Ramune @ soKGYfNQsD"" folds",2026-02-09T13:59:57.078Z,177064559707800
"""わた @ kgEmed-EEr"" folds",2026-02-09T13:59:56.060Z,177064559606000
"""Fuku @ mXg0a8r7as"" raises to 60",2026-02-09T13:59:54.978Z,177064559497800
"WARNING: the admin queued the stack change for the player ""AontheRiver @ 3xNTeMox_o"" reseting to 2000 chips in the next hand.",2026-02-09T13:59:49.328Z,177064558932800
"""てつ @ 6DX7hOo5Ri"" folds",2026-02-09T13:59:48.426Z,177064558842600
"""-TOMO- @ upQSzf-M-C"" posts a big blind of 20",2026-02-09T13:59:45.848Z,177064558584811
