entry,at,order
"The player ""Guest @ fXxZKORuuu"" passed the room ownership to ""AontheRiver @ 3xNTeMox_o"".",2026-02-09T14:05:31.543Z,177064593154300
"The player ""Rabbit900 @ yEOnuJcBZo"" quits the game with a stack of 2122.",2026-02-09T14:02:31.469Z,177064575146900
"The player ""UMAUMA @ iKNrGrbUkg"" quits the game with a stack of 2640.",2026-02-09T14:01:53.460Z,177064571346000
"The player ""すとふぁ @ M4pyIQvfB9"" quits the game with a stack of 2810.",2026-02-09T14:01:37.055Z,177064569705501
"The player ""すとふぁ @ M4pyIQvfB9"" stand up with the stack of 2810.",2026-02-09T14:01:37.055Z,177064569705500
"-- ending hand #50 --",2026-02-09T14:01:34.117Z,177064569411702
"""Rabbit900 @ yEOnuJcBZo"" collected 224 from pot",2026-02-09T14:01:34.117Z,177064569411701
"Uncalled bet of 110 returned to ""Rabbit900 @ yEOnuJcBZo""",2026-02-09T14:01:34.117Z,177064569411700
"""UMAUMA @ iKNrGrbUkg"" folds",2026-02-09T14:01:33.286Z,177064569328600
"""Rabbit900 @ yEOnuJcBZo"" bets 110",2026-02-09T14:01:30.518Z,177064569051800
"""UMAUMA @ iKNrGrbUkg"" checks",2026-02-09T14:01:20.840Z,177064568084000
"River: J♠, 7♦, 10♥, 6♠ [6♥]",2026-02-09T14:00:31.158Z,177064563115800
"""Rabbit900 @ yEOnuJcBZo"" checks",2026-02-09T14:00:30.328Z,177064563032800
"""UMAUMA @ iKNrGrbUkg"" checks",2026-02-09T14:00:27.929Z,177064562792900
"Turn: J♠, 7♦, 10♥ [6♠]",2026-02-09T14:00:23.055Z,177064562305500
"""UMAUMA @ iKNrGrbUkg"" calls 56",2026-02-09T14:00:22.172Z,177064562217200
"The admin ""Guest @ fXxZKORuuu"" enqueued the game stop on next hand.",2026-02-09T14:00:18.146Z,177064561814600
"""Rabbit900 @ yEOnuJcBZo"" bets 56",2026-02-09T14:00:10.357Z,177064561035700
"""UMAUMA @ iKNrGrbUkg"" checks",2026-02-09T13:59:59.980Z,177064559998000
"Flop:  [J♠, 7♦, 10♥]",2026-02-09T13:59:41.923Z,177064558192300
"""やましー @ SsAkQq2Oa9"" folds",2026-02-09T13:59:41.090Z,177064558109000
"""UMAUMA @ iKNrGrbUkg"" calls 46",2026-02-09T13:59:39.625Z,177064557962500
"""AontheRiver @ 3xNTeMox_o"" folds",2026-02-09T13:59:35.436Z,177064557543600
"""Rabbit900 @ yEOnuJcBZo"" raises to 46",2026-02-09T13:59:34.416Z,177064557441600
"""すとふぁ @ M4pyIQvfB9"" folds",2026-02-09T13:59:30.281Z,177064557028100
"""teish @ v-iN-1QQsm"" folds",2026-02-09T13:59:27.438Z,177064556743800
"""やましー @ SsAkQq2Oa9"" posts a big blind of 20",2026-02-09T13:59:25.949Z,177064556594909
"""UMAUMA @ iKNrGrbUkg"" posts a small blind of 10",2026-02-09T13:59:25.949Z,177064556594908
"Player stacks: #2 ""teish @ v-iN-1QQsm"" (2000) | #3 ""すとふぁ @ M4pyIQvfB9"" (2810) | #6 ""Rabbit900 @ yEOnuJcBZo"" (2000) | #7 ""AontheRiver @ 3xNTeMox_o"" (2853) | #9 ""UMAUMA @ iKNrGrbUkg"" (2742) | #10 ""やましー @ SsAkQq2Oa9"" (2077)",2026-02-09T13:59:25.949Z,177064556594901
"-- starting hand #50 (id: bpbhsiosipsz)  No Limit Texas Hold'em (dealer: ""AontheRiver @ 3xNTeMox_o"") --",2026-02-09T13:59:25.949Z,177064556594900
"-- ending hand #49 --",2026-02-09T13:59:23.035Z,177064556303502
"""UMAUMA @ iKNrGrbUkg"" collected 20 from pot",2026-02-09T13:59:23.035Z,177064556303501
"Uncalled bet of 10 returned to ""UMAUMA @ iKNrGrbUkg""",2026-02-09T13:59:23.035Z,177064556303500
"""AontheRiver @ 3xNTeMox_o"" folds",2026-02-09T13:59:22.211Z,177064556221100
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-02-09T13:59:19.361Z,177064555936100
"""すとふぁ @ M4pyIQvfB9"" folds",2026-02-09T13:59:16.723Z,177064555672300
"""teish @ v-iN-1QQsm"" folds",2026-02-09T13:59:15.717Z,177064555571700
"""やましー @ SsAkQq2Oa9"" folds",2026-02-09T13:59:14.689Z,177064555468900
"""UMAUMA @ iKNrGrbUkg"" posts a big blind of 20",2026-02-09T13:59:13.175Z,177064555317510
"""AontheRiver @ 3xNTeMox_o"" posts a small blind of 10",2026-02-09T13:59:13.175Z,177064555317509
"Player stacks: #2 ""teish @ v-iN-1QQsm"" (2000) | #3 ""すとふぁ @ M4pyIQvfB9"" (2810) | #6 ""Rabbit900 @ yEOnuJcBZo"" (2000) | #7 ""AontheRiver @ 3xNTeMox_o"" (2863) | #9 ""UMAUMA @ iKNrGrbUkg"" (2732) | #10 ""やましー @ SsAkQq2Oa9"" (2077)",2026-02-09T13:59:13.175Z,177064555317502
"-- starting hand #49 (id: ti2tqintl6bl)  No Limit Texas Hold'em (dealer: ""Rabbit900 @ yEOnuJcBZo"") --",2026-02-09T13:59:13.175Z,177064555317501
"The admin updated the player ""Rabbit900 @ yEOnuJcBZo"" stack from 1940 to 2000.",2026-02-09T13:59:13.175Z,177064555317500
"-- ending hand #48 --",2026-02-09T13:59:10.227Z,177064555022702
"""すとふぁ @ M4pyIQvfB9"" collected 50 from pot",2026-02-09T13:59:10.227Z,177064555022701
"Uncalled bet of 30 returned to ""すとふぁ @ M4pyIQvfB9""",2026-02-09T13:59:10.227Z,177064555022700
"""AontheRiver @ 3xNTeMox_o"" folds",2026-02-09T13:59:09.389Z,177064554938900
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-02-09T13:58:57.073Z,177064553707300
"""すとふぁ @ M4pyIQvfB9"" raises to 50",2026-02-09T13:58:54.143Z,177064553414300
"""teish @ v-iN-1QQsm"" folds",2026-02-09T13:58:50.595Z,177064553059500
"""やましー @ SsAkQq2Oa9"" folds",2026-02-09T13:58:49.558Z,177064552955800
"WARNING: the admin queued the stack change for the player ""Rabbit900 @ yEOnuJcBZo"" reseting to 2000 chips in the next hand.",2026-02-09T13:58:48.623Z,177064552862300
"""UMAUMA @ iKNrGrbUkg"" folds",2026-02-09T13:58:48.459Z,177064552845900
