entry,at,order
"The player ""arash! @ PB93yGRdRr"" quits the game with a stack of 3690.",2026-02-09T14:01:22.151Z,177064568215100
"The player ""Neku @ HZmCRZd6SG"" quits the game with a stack of 2840.",2026-02-09T14:00:59.877Z,177064565987700
"The player ""engawa @ cCFXQyltQ-"" quits the game with a stack of 2040.",2026-02-09T14:00:55.921Z,177064565592100
"The player ""ゴン02（江戸犬） @ AblUkPGGlZ"" quits the game with a stack of 2753.",2026-02-09T14:00:50.775Z,177064565077500
"The player ""揚げもち @ 3liBhfdN10"" quits the game with a stack of 2225.",2026-02-09T14:00:47.002Z,177064564700202
"The player ""すとふぁ @ M4pyIQvfB9"" quits the game with a stack of 3160.",2026-02-09T14:00:47.002Z,177064564700201
"The player ""すとふぁ @ M4pyIQvfB9"" stand up with the stack of 3160.",2026-02-09T14:00:47.002Z,177064564700200
"-- ending hand #50 --",2026-02-09T14:00:41.000Z,177064564100002
"""arash! @ PB93yGRdRr"" collected 1880 from pot with Two Pair, K's & 4's (combination: J♠, 4♣, 4♦, K♣, K♦)",2026-02-09T14:00:41.000Z,177064564100001
"""arash! @ PB93yGRdRr"" shows a 4♣, K♣.",2026-02-09T14:00:41.000Z,177064564100000
"""engawa @ cCFXQyltQ-"" calls 470",2026-02-09T14:00:40.190Z,177064564019000
"""arash! @ PB93yGRdRr"" bets 470",2026-02-09T14:00:15.675Z,177064561567500
"The admin ""Guest @ fXxZKORuuu"" enqueued the game stop on next hand.",2026-02-09T14:00:07.903Z,177064560790300
"River: J♠, 4♦, K♦, 5♦ [2♠]",2026-02-09T14:00:04.713Z,177064560471300
"""engawa @ cCFXQyltQ-"" calls 235",2026-02-09T14:00:03.864Z,177064560386400
"""arash! @ PB93yGRdRr"" bets 235",2026-02-09T13:59:51.857Z,177064559185700
"Turn: J♠, 4♦, K♦ [5♦]",2026-02-09T13:59:42.754Z,177064558275400
"""engawa @ cCFXQyltQ-"" calls 190",2026-02-09T13:59:41.922Z,177064558192200
"""arash! @ PB93yGRdRr"" raises to 190",2026-02-09T13:59:23.166Z,177064556316600
"""engawa @ cCFXQyltQ-"" bets 45",2026-02-09T13:59:16.809Z,177064555680900
"""arash! @ PB93yGRdRr"" checks",2026-02-09T13:59:01.467Z,177064554146700
"Flop:  [J♠, 4♦, K♦]",2026-02-09T13:58:59.745Z,177064553974500
"""arash! @ PB93yGRdRr"" calls 40",2026-02-09T13:58:58.920Z,177064553892000
"""Neku @ HZmCRZd6SG"" folds",2026-02-09T13:58:54.633Z,177064553463300
"""engawa @ cCFXQyltQ-"" raises to 40",2026-02-09T13:58:50.996Z,177064553099600
"""すとふぁ @ M4pyIQvfB9"" folds",2026-02-09T13:58:47.458Z,177064552745800
"""揚げもち @ 3liBhfdN10"" folds",2026-02-09T13:58:46.375Z,177064552637500
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-02-09T13:58:45.277Z,177064552527700
"""arash! @ PB93yGRdRr"" posts a big blind of 20",2026-02-09T13:58:41.569Z,177064552156909
"""Neku @ HZmCRZd6SG"" posts a small blind of 10",2026-02-09T13:58:41.569Z,177064552156908
"Player stacks: #1 ""engawa @ cCFXQyltQ-"" (2975) | #2 ""Neku @ HZmCRZd6SG"" (2850) | #6 ""arash! @ PB93yGRdRr"" (2745) | #7 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (2753) | #8 ""揚げもち @ 3liBhfdN10"" (2225) | #9 ""すとふぁ @ M4pyIQvfB9"" (3160)",2026-02-09T13:58:41.569Z,177064552156901
"-- starting hand #50 (id: n9cwkemeowii)  No Limit Texas Hold'em (dealer: ""engawa @ cCFXQyltQ-"") --",2026-02-09T13:58:41.569Z,177064552156900
"-- ending hand #49 --",2026-02-09T13:58:38.652Z,177064551865202
"""Neku @ HZmCRZd6SG"" collected 110 from pot",2026-02-09T13:58:38.652Z,177064551865201
"Uncalled bet of 150 returned to ""Neku @ HZmCRZd6SG""",2026-02-09T13:58:38.652Z,177064551865200
"""すとふぁ @ M4pyIQvfB9"" folds",2026-02-09T13:58:37.846Z,177064551784600
"""Neku @ HZmCRZd6SG"" raises to 200",2026-02-09T13:58:34.603Z,177064551460300
"""engawa @ cCFXQyltQ-"" folds",2026-02-09T13:58:28.593Z,177064550859300
