entry,at,order
"The player ""Guest @ fXxZKORuuu"" passed the room ownership to ""arash! @ PB93yGRdRr"".",2026-02-09T14:06:52.986Z,177064601298600
"The player ""Kuni @ HIjaJ0Hz7_"" quits the game with a stack of 2977.",2026-02-09T14:02:52.767Z,177064577276700
"The player ""Kuni @ HIjaJ0Hz7_"" stand up with the stack of 2977.",2026-02-09T14:02:52.254Z,177064577225401
"The player ""arash! @ PB93yGRdRr"" stand up with the stack of 2500.",2026-02-09T14:02:52.254Z,177064577225400
"-- ending hand #41 --",2026-02-09T14:02:49.314Z,177064576931402
"""arash! @ PB93yGRdRr"" collected 20 from pot",2026-02-09T14:02:49.314Z,177064576931401
"Uncalled bet of 10 returned to ""arash! @ PB93yGRdRr""",2026-02-09T14:02:49.314Z,177064576931400
"""Kuni @ HIjaJ0Hz7_"" folds",2026-02-09T14:02:48.508Z,177064576850800
"""arash! @ PB93yGRdRr"" posts a big blind of 20",2026-02-09T14:02:45.409Z,177064576540909
"""Kuni @ HIjaJ0Hz7_"" posts a small blind of 10",2026-02-09T14:02:45.409Z,177064576540908
"Player stacks: #2 ""Kuni @ HIjaJ0Hz7_"" (2987) | #5 ""arash! @ PB93yGRdRr"" (2490)",2026-02-09T14:02:45.409Z,177064576540905
"-- starting hand #41 (id: x6rniwapnbbp)  No Limit Texas Hold'em (dealer: ""Kuni @ HIjaJ0Hz7_"") --",2026-02-09T14:02:45.409Z,177064576540904
"The player ""teish @ v-iN-1QQsm"" quits the game with a stack of 2090.",2026-02-09T14:02:45.409Z,177064576540903
"The player ""Futa @ JZI-nQiaw3"" quits the game with a stack of 2050.",2026-02-09T14:02:45.409Z,177064576540902
"The player ""ころり @ n0s1KAOIRL"" quits the game with a stack of 2723.",2026-02-09T14:02:45.409Z,177064576540901
"The player ""翔斗 @ 4_RBXVU9-k"" quits the game with a stack of 2200.",2026-02-09T14:02:45.409Z,177064576540900
"-- ending hand #40 --",2026-02-09T14:02:39.401Z,177064575940103
"""arash! @ PB93yGRdRr"" collected 1360 from pot with Pair, A's (combination: 9♣, 10♥, J♦, A♥, A♠)",2026-02-09T14:02:39.401Z,177064575940102
"""arash! @ PB93yGRdRr"" shows a A♥, J♦.",2026-02-09T14:02:39.401Z,177064575940101
"""Kuni @ HIjaJ0Hz7_"" shows a 8♣, 10♣.",2026-02-09T14:02:39.401Z,177064575940100
"""arash! @ PB93yGRdRr"" calls 350",2026-02-09T14:02:38.563Z,177064575856300
"""Kuni @ HIjaJ0Hz7_"" bets 350",2026-02-09T14:02:35.935Z,177064575593500
"River: 10♥, 7♦, A♠, 3♠ [9♣]",2026-02-09T14:02:19.516Z,177064573951600
"""Kuni @ HIjaJ0Hz7_"" calls 165",2026-02-09T14:02:18.700Z,177064573870000
"""arash! @ PB93yGRdRr"" bets 165",2026-02-09T14:02:17.032Z,177064573703200
"""Kuni @ HIjaJ0Hz7_"" checks",2026-02-09T14:02:11.795Z,177064573179500
"Turn: 10♥, 7♦, A♠ [3♠]",2026-02-09T14:02:08.862Z,177064572886200
"""arash! @ PB93yGRdRr"" checks",2026-02-09T14:02:08.011Z,177064572801100
"""Kuni @ HIjaJ0Hz7_"" checks",2026-02-09T14:02:07.199Z,177064572719900
"Flop:  [10♥, 7♦, A♠]",2026-02-09T14:02:04.307Z,177064572430700
"""Kuni @ HIjaJ0Hz7_"" calls 150",2026-02-09T14:02:03.500Z,177064572350000
"""翔斗 @ 4_RBXVU9-k"" folds",2026-02-09T14:01:58.683Z,177064571868300
"""teish @ v-iN-1QQsm"" folds",2026-02-09T14:01:57.858Z,177064571785800
"""arash! @ PB93yGRdRr"" raises to 150",2026-02-09T14:01:50.412Z,177064571041200
"""Kuni @ HIjaJ0Hz7_"" raises to 45",2026-02-09T14:01:39.682Z,177064569968200
"""ころり @ n0s1KAOIRL"" folds",2026-02-09T14:01:35.576Z,177064569557600
"""Futa @ JZI-nQiaw3"" folds",2026-02-09T14:01:31.613Z,177064569161300
"""翔斗 @ 4_RBXVU9-k"" posts a big blind of 20",2026-02-09T14:01:29.245Z,177064568924509
"""teish @ v-iN-1QQsm"" posts a small blind of 10",2026-02-09T14:01:29.245Z,177064568924508
"Player stacks: #1 ""ころり @ n0s1KAOIRL"" (2723) | #2 ""Kuni @ HIjaJ0Hz7_"" (3652) | #5 ""arash! @ PB93yGRdRr"" (1795) | #6 ""teish @ v-iN-1QQsm"" (2100) | #8 ""翔斗 @ 4_RBXVU9-k"" (2220) | #9 ""Futa @ JZI-nQiaw3"" (2050)",2026-02-09T14:01:29.245Z,177064568924501
"-- starting hand #40 (id: zdsi7bf9uix9)  No Limit Texas Hold'em (dealer: ""arash! @ PB93yGRdRr"") --",2026-02-09T14:01:29.245Z,177064568924500
"-- ending hand #39 --",2026-02-09T14:01:26.315Z,177064568631502
"""teish @ v-iN-1QQsm"" collected 130 from pot",2026-02-09T14:01:26.315Z,177064568631501
"Uncalled bet of 210 returned to ""teish @ v-iN-1QQsm""",2026-02-09T14:01:26.315Z,177064568631500
"""ころり @ n0s1KAOIRL"" folds",2026-02-09T14:01:25.500Z,177064568550000
"""teish @ v-iN-1QQsm"" raises to 270",2026-02-09T14:01:21.312Z,177064568131200
"""arash! @ PB93yGRdRr"" folds",2026-02-09T14:01:05.421Z,177064566542100
"""Kuni @ HIjaJ0Hz7_"" folds",2026-02-09T14:01:04.361Z,177064566436100
