entry,at,order
"The player ""27 @ YkRLv6Nf7r"" quits the game with a stack of 5597.",2026-02-09T12:39:29.294Z,177064076929400
"The player ""ほたるいか @ 6weTfFBYpF"" quits the game with a stack of 2045.",2026-02-09T12:39:20.477Z,177064076047700
"-- ending hand #139 --",2026-02-09T12:39:17.570Z,177064075757002
"""27 @ YkRLv6Nf7r"" collected 360 from pot",2026-02-09T12:39:17.570Z,177064075757001
"Uncalled bet of 270 returned to ""27 @ YkRLv6Nf7r""",2026-02-09T12:39:17.570Z,177064075757000
"""ほたるいか @ 6weTfFBYpF"" folds",2026-02-09T12:39:16.756Z,177064075675600
"""27 @ YkRLv6Nf7r"" raises to 450",2026-02-09T12:39:15.931Z,177064075593100
"""ほたるいか @ 6weTfFBYpF"" raises to 180",2026-02-09T12:38:57.617Z,177064073761700
"""27 @ YkRLv6Nf7r"" raises to 60",2026-02-09T12:38:53.151Z,177064073315100
"""ほたるいか @ 6weTfFBYpF"" posts a big blind of 20",2026-02-09T12:38:47.315Z,177064072731508
"""27 @ YkRLv6Nf7r"" posts a small blind of 10",2026-02-09T12:38:47.315Z,177064072731507
"Player stacks: #2 ""ほたるいか @ 6weTfFBYpF"" (2225) | #4 ""27 @ YkRLv6Nf7r"" (5417)",2026-02-09T12:38:47.315Z,177064072731504
"-- starting hand #139 (id: e9ys5iujukey)  No Limit Texas Hold'em (dealer: ""27 @ YkRLv6Nf7r"") --",2026-02-09T12:38:47.315Z,177064072731503
"The player ""常盤木いつき @ 0QyEE5Hc9o"" quits the game with a stack of 2054.",2026-02-09T12:38:47.315Z,177064072731502
"The player ""shunsuke11 @ CmPBhvSXqk"" quits the game with a stack of 2599.",2026-02-09T12:38:47.315Z,177064072731501
"The player ""Mazzo @ 5s6_8QwAyE"" quits the game with a stack of 3166.",2026-02-09T12:38:47.315Z,177064072731500
"-- ending hand #138 --",2026-02-09T12:38:44.391Z,177064072439102
"""27 @ YkRLv6Nf7r"" collected 460 from pot",2026-02-09T12:38:44.391Z,177064072439101
"Uncalled bet of 120 returned to ""27 @ YkRLv6Nf7r""",2026-02-09T12:38:44.391Z,177064072439100
"""ほたるいか @ 6weTfFBYpF"" folds",2026-02-09T12:38:43.543Z,177064072354300
"""27 @ YkRLv6Nf7r"" bets 120",2026-02-09T12:38:38.459Z,177064071845900
"Flop:  [4♠, 2♦, Q♠]",2026-02-09T12:38:27.906Z,177064070790600
"""ほたるいか @ 6weTfFBYpF"" calls 220",2026-02-09T12:38:27.095Z,177064070709500
"""Mazzo @ 5s6_8QwAyE"" folds",2026-02-09T12:38:24.490Z,177064070449000
"""27 @ YkRLv6Nf7r"" raises to 220",2026-02-09T12:38:22.659Z,177064070265900
"""常盤木いつき @ 0QyEE5Hc9o"" folds",2026-02-09T12:38:14.454Z,177064069445400
"""ほたるいか @ 6weTfFBYpF"" raises to 46",2026-02-09T12:38:13.581Z,177064069358100
"""shunsuke11 @ CmPBhvSXqk"" folds",2026-02-09T12:37:59.666Z,177064067966600
"""Mazzo @ 5s6_8QwAyE"" posts a big blind of 20",2026-02-09T12:37:40.369Z,177064066036908
"""27 @ YkRLv6Nf7r"" posts a small blind of 10",2026-02-09T12:37:40.369Z,177064066036907
"Player stacks: #2 ""ほたるいか @ 6weTfFBYpF"" (2445) | #3 ""常盤木いつき @ 0QyEE5Hc9o"" (2054) | #4 ""27 @ YkRLv6Nf7r"" (5177) | #7 ""Mazzo @ 5s6_8QwAyE"" (3186) | #10 ""shunsuke11 @ CmPBhvSXqk"" (2599)",2026-02-09T12:37:40.369Z,177064066036901
"-- starting hand #138 (id: oosnng6381ls)  No Limit Texas Hold'em (dealer: ""常盤木いつき @ 0QyEE5Hc9o"") --",2026-02-09T12:37:40.369Z,177064066036900
"-- ending hand #137 --",2026-02-09T12:37:34.366Z,177064065436603
"""shunsuke11 @ CmPBhvSXqk"" collected 150 from pot with Pair, J's (combination: 8♣, Q♠, A♥, J♥, J♠)",2026-02-09T12:37:34.366Z,177064065436602
"""shunsuke11 @ CmPBhvSXqk"" shows a Q♠, J♥.",2026-02-09T12:37:34.366Z,177064065436601
