entry,at,order
"The player ""tomo0428 @ 8IgjF6KI_P"" quits the game with a stack of 2710.",2026-02-09T12:56:00.097Z,177064176009701
"The player ""ころり @ n0s1KAOIRL"" stand up with the stack of 2073.",2026-02-09T12:56:00.097Z,177064176009700
"-- ending hand #95 --",2026-02-09T12:55:57.160Z,177064175716002
"""tomo0428 @ 8IgjF6KI_P"" collected 20 from pot",2026-02-09T12:55:57.160Z,177064175716001
"Uncalled bet of 10 returned to ""tomo0428 @ 8IgjF6KI_P""",2026-02-09T12:55:57.160Z,177064175716000
"""GIL RAIMU @ dPnVkST7ll"" folds",2026-02-09T12:55:56.347Z,177064175634700
"""ころり @ n0s1KAOIRL"" folds",2026-02-09T12:55:35.512Z,177064173551200
"""tomo0428 @ 8IgjF6KI_P"" posts a big blind of 20",2026-02-09T12:40:13.735Z,177064081373507
"""GIL RAIMU @ dPnVkST7ll"" posts a small blind of 10",2026-02-09T12:40:13.735Z,177064081373506
"Player stacks: #4 ""ころり @ n0s1KAOIRL"" (2073) | #6 ""GIL RAIMU @ dPnVkST7ll"" (2113) | #8 ""tomo0428 @ 8IgjF6KI_P"" (2700)",2026-02-09T12:40:13.735Z,177064081373502
"-- starting hand #95 (id: efpnweurfotb)  No Limit Texas Hold'em (dealer: ""ころり @ n0s1KAOIRL"") --",2026-02-09T12:40:13.735Z,177064081373501
"The player ""ふじ @ 6EXZrOgNuV"" quits the game with a stack of 2113.",2026-02-09T12:40:13.735Z,177064081373500
"-- ending hand #94 --",2026-02-09T12:40:10.813Z,177064081081302
"""tomo0428 @ 8IgjF6KI_P"" collected 200 from pot",2026-02-09T12:40:10.813Z,177064081081301
"Uncalled bet of 150 returned to ""tomo0428 @ 8IgjF6KI_P""",2026-02-09T12:40:10.813Z,177064081081300
"""ころり @ n0s1KAOIRL"" folds",2026-02-09T12:40:09.991Z,177064080999100
"The player ""Guest @ XeH1jmD6s_"" passed the room ownership to ""ころり @ n0s1KAOIRL"".",2026-02-09T12:40:05.569Z,177064080556901
"""tomo0428 @ 8IgjF6KI_P"" bets 150",2026-02-09T12:40:05.569Z,177064080556900
"""ころり @ n0s1KAOIRL"" checks",2026-02-09T12:39:53.407Z,177064079340700
"Turn: 6♠, Q♠, K♥ [9♥]",2026-02-09T12:39:49.678Z,177064078967800
