entry,at,order
"The player ""UMAUMA @ iKNrGrbUkg"" quits the game with a stack of 3446.",2026-02-09T13:14:24.682Z,177064286468200
"The player ""Guest @ XeH1jmD6s_"" passed the room ownership to ""UMAUMA @ iKNrGrbUkg"".",2026-02-09T12:40:19.660Z,177064081966000
"The player ""てつ @ 6DX7hOo5Ri"" quits the game with a stack of 2490.",2026-02-09T12:38:56.804Z,177064073680400
"The player ""てつ @ 6DX7hOo5Ri"" stand up with the stack of 2490.",2026-02-09T12:38:52.751Z,177064073275100
"The player ""MAX @ 7htETinMJU"" quits the game with a stack of 2580.",2026-02-09T12:38:48.285Z,177064072828501
"The player ""UMAUMA @ iKNrGrbUkg"" stand up with the stack of 3446.",2026-02-09T12:38:48.285Z,177064072828500
"-- ending hand #88 --",2026-02-09T12:38:45.292Z,177064072529202
"""てつ @ 6DX7hOo5Ri"" collected 20 from pot",2026-02-09T12:38:45.292Z,177064072529201
"Uncalled bet of 10 returned to ""てつ @ 6DX7hOo5Ri""",2026-02-09T12:38:45.292Z,177064072529200
"""UMAUMA @ iKNrGrbUkg"" folds",2026-02-09T12:38:44.486Z,177064072448600
"""MAX @ 7htETinMJU"" folds",2026-02-09T12:38:43.652Z,177064072365200
"""てつ @ 6DX7hOo5Ri"" posts a big blind of 20",2026-02-09T12:38:22.661Z,177064070266107
"""UMAUMA @ iKNrGrbUkg"" posts a small blind of 10",2026-02-09T12:38:22.661Z,177064070266106
"Player stacks: #6 ""てつ @ 6DX7hOo5Ri"" (2480) | #7 ""MAX @ 7htETinMJU"" (2580) | #8 ""UMAUMA @ iKNrGrbUkg"" (3456)",2026-02-09T12:38:22.661Z,177064070266102
"-- starting hand #88 (id: xgp3pdv9mdb6)  No Limit Texas Hold'em (dealer: ""MAX @ 7htETinMJU"") --",2026-02-09T12:38:22.661Z,177064070266101
"The player ""KAWAUSO @ TVNlFwDOoe"" quits the game with a stack of 2000.",2026-02-09T12:38:22.661Z,177064070266100
"-- ending hand #87 --",2026-02-09T12:38:19.721Z,177064069972102
"""MAX @ 7htETinMJU"" collected 120 from pot",2026-02-09T12:38:19.721Z,177064069972101
"Uncalled bet of 60 returned to ""MAX @ 7htETinMJU""",2026-02-09T12:38:19.721Z,177064069972100
"""UMAUMA @ iKNrGrbUkg"" folds",2026-02-09T12:38:18.918Z,177064069891800
"""MAX @ 7htETinMJU"" bets 60",2026-02-09T12:38:14.567Z,177064069456700
"Turn: 2♥, 10♥, 6♣ [K♠]",2026-02-09T12:37:33.325Z,177064065332500
"""UMAUMA @ iKNrGrbUkg"" checks",2026-02-09T12:37:32.487Z,177064065248700
"""MAX @ 7htETinMJU"" checks",2026-02-09T12:37:27.137Z,177064064713700
"Flop:  [2♥, 10♥, 6♣]",2026-02-09T12:37:07.706Z,177064062770600
"""UMAUMA @ iKNrGrbUkg"" calls 60",2026-02-09T12:37:06.817Z,177064062681700
"""MAX @ 7htETinMJU"" raises to 60",2026-02-09T12:37:03.031Z,177064062303100
"""てつ @ 6DX7hOo5Ri"" folds",2026-02-09T12:36:57.016Z,177064061701600
"""KAWAUSO @ TVNlFwDOoe"" folds",2026-02-09T12:36:55.911Z,177064061591100
"""UMAUMA @ iKNrGrbUkg"" posts a big blind of 20",2026-02-09T12:36:46.051Z,177064060605107
"""MAX @ 7htETinMJU"" posts a small blind of 10",2026-02-09T12:36:46.051Z,177064060605106
"Player stacks: #1 ""KAWAUSO @ TVNlFwDOoe"" (2000) | #6 ""てつ @ 6DX7hOo5Ri"" (2480) | #7 ""MAX @ 7htETinMJU"" (2520) | #8 ""UMAUMA @ iKNrGrbUkg"" (3516)",2026-02-09T12:36:46.051Z,177064060605101
"-- starting hand #87 (id: tctomjxumd9f)  No Limit Texas Hold'em (dealer: ""てつ @ 6DX7hOo5Ri"") --",2026-02-09T12:36:46.051Z,177064060605100
"-- ending hand #86 --",2026-02-09T12:36:43.141Z,177064060314102
"""MAX @ 7htETinMJU"" collected 1040 from pot",2026-02-09T12:36:43.141Z,177064060314101
"Uncalled bet of 500 returned to ""MAX @ 7htETinMJU""",2026-02-09T12:36:43.141Z,177064060314100
"""てつ @ 6DX7hOo5Ri"" folds",2026-02-09T12:36:42.336Z,177064060233600
"""MAX @ 7htETinMJU"" bets 500",2026-02-09T12:36:40.397Z,177064060039700
"""てつ @ 6DX7hOo5Ri"" checks",2026-02-09T12:36:10.549Z,177064057054900
"Turn: 3♦, 5♣, 4♥ [8♠]",2026-02-09T12:36:07.717Z,177064056771700
"""てつ @ 6DX7hOo5Ri"" calls 260",2026-02-09T12:36:06.883Z,177064056688300
"""MAX @ 7htETinMJU"" bets 260",2026-02-09T12:36:01.999Z,177064056199900
"""てつ @ 6DX7hOo5Ri"" checks",2026-02-09T12:35:33.437Z,177064053343700
"Flop:  [3♦, 5♣, 4♥]",2026-02-09T12:35:30.332Z,177064053033200
"""てつ @ 6DX7hOo5Ri"" calls 260",2026-02-09T12:35:29.468Z,177064052946800
"""MAX @ 7htETinMJU"" raises to 260",2026-02-09T12:35:26.985Z,177064052698500
"""てつ @ 6DX7hOo5Ri"" raises to 80",2026-02-09T12:35:13.580Z,177064051358000
"""KAWAUSO @ TVNlFwDOoe"" folds",2026-02-09T12:35:06.885Z,177064050688500
"""UMAUMA @ iKNrGrbUkg"" folds",2026-02-09T12:35:05.705Z,177064050570500
"""MAX @ 7htETinMJU"" posts a big blind of 20",2026-02-09T12:35:03.570Z,177064050357010
"""てつ @ 6DX7hOo5Ri"" posts a small blind of 10",2026-02-09T12:35:03.570Z,177064050357009
"Player stacks: #1 ""KAWAUSO @ TVNlFwDOoe"" (2000) | #6 ""てつ @ 6DX7hOo5Ri"" (3000) | #7 ""MAX @ 7htETinMJU"" (2000) | #8 ""UMAUMA @ iKNrGrbUkg"" (3516)",2026-02-09T12:35:03.570Z,177064050357004
"-- starting hand #86 (id: k9uzjdgyw49t)  No Limit Texas Hold'em (dealer: ""KAWAUSO @ TVNlFwDOoe"") --",2026-02-09T12:35:03.570Z,177064050357003
"The player ""揚げもち @ 3liBhfdN10"" quits the game with a stack of 2529.",2026-02-09T12:35:03.570Z,177064050357002
"The admin updated the player ""てつ @ 6DX7hOo5Ri"" stack from 4050 to 3000.",2026-02-09T12:35:03.570Z,177064050357001
"The admin updated the player ""KAWAUSO @ TVNlFwDOoe"" stack from 1920 to 2000.",2026-02-09T12:35:03.570Z,177064050357000
"-- ending hand #85 --",2026-02-09T12:35:00.642Z,177064050064202
"""てつ @ 6DX7hOo5Ri"" collected 20 from pot",2026-02-09T12:35:00.642Z,177064050064201
"Uncalled bet of 10 returned to ""てつ @ 6DX7hOo5Ri""",2026-02-09T12:35:00.642Z,177064050064200
"""KAWAUSO @ TVNlFwDOoe"" folds",2026-02-09T12:34:59.839Z,177064049983900
"""揚げもち @ 3liBhfdN10"" folds",2026-02-09T12:34:58.828Z,177064049882800
"""UMAUMA @ iKNrGrbUkg"" folds",2026-02-09T12:34:58.007Z,177064049800700
"WARNING: the admin queued the stack change for the player ""てつ @ 6DX7hOo5Ri"" reseting to 3000 chips in the next hand.",2026-02-09T12:34:55.293Z,177064049529300
"""MAX @ 7htETinMJU"" folds",2026-02-09T12:34:53.630Z,177064049363000
"WARNING: the admin queued the stack change for the player ""KAWAUSO @ TVNlFwDOoe"" reseting to 2000 chips in the next hand.",2026-02-09T12:34:53.399Z,177064049339900
"""てつ @ 6DX7hOo5Ri"" posts a big blind of 20",2026-02-09T12:34:51.904Z,177064049190408
"""KAWAUSO @ TVNlFwDOoe"" posts a small blind of 10",2026-02-09T12:34:51.904Z,177064049190407
"Player stacks: #1 ""KAWAUSO @ TVNlFwDOoe"" (1930) | #6 ""てつ @ 6DX7hOo5Ri"" (4040) | #7 ""MAX @ 7htETinMJU"" (2000) | #8 ""UMAUMA @ iKNrGrbUkg"" (3516) | #9 ""揚げもち @ 3liBhfdN10"" (2529)",2026-02-09T12:34:51.904Z,177064049190401
"-- starting hand #85 (id: kfsih2mujjnm)  No Limit Texas Hold'em (dealer: ""揚げもち @ 3liBhfdN10"") --",2026-02-09T12:34:51.904Z,177064049190400
"-- ending hand #84 --",2026-02-09T12:34:45.900Z,177064048590003
"""てつ @ 6DX7hOo5Ri"" collected 210 from pot with Pair, 10's (combination: 8♦, 9♣, Q♣, 10♦, 10♠)",2026-02-09T12:34:45.900Z,177064048590002
"""てつ @ 6DX7hOo5Ri"" shows a 10♦, 8♦.",2026-02-09T12:34:45.900Z,177064048590001
"""KAWAUSO @ TVNlFwDOoe"" shows a A♥, 7♠.",2026-02-09T12:34:45.900Z,177064048590000
"""てつ @ 6DX7hOo5Ri"" checks",2026-02-09T12:34:45.057Z,177064048505700
"""KAWAUSO @ TVNlFwDOoe"" checks",2026-02-09T12:34:42.451Z,177064048245100
"River: Q♣, 10♠, 2♠, 6♦ [9♣]",2026-02-09T12:34:38.692Z,177064047869200
"""てつ @ 6DX7hOo5Ri"" checks",2026-02-09T12:34:37.885Z,177064047788500
"""KAWAUSO @ TVNlFwDOoe"" checks",2026-02-09T12:34:35.935Z,177064047593500
