player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"utos",g0yui9LXM4,2026-02-16T12:32:36.534Z,2026-02-16T14:02:10.128Z,3000,907,0,-2093
"翔斗",4_RBXVU9-k,2026-02-16T12:29:21.640Z,2026-02-16T14:02:13.594Z,3000,6010,0,3010
"翔斗",4_RBXVU9-k,2026-02-16T12:25:10.548Z,2026-02-16T12:28:56.833Z,3000,0,0,-3000
"kenyu",-QE9uKlHEU,2026-02-16T12:23:58.300Z,2026-02-16T14:00:17.967Z,4818,3019,0,-1799
"konishi",rhUBwDuHCf,2026-02-16T12:10:19.745Z,2026-02-16T14:00:09.635Z,3000,5836,0,2836
"tknsn",gEdtsiCEzz,2026-02-16T11:10:40.527Z,2026-02-16T12:14:56.544Z,3000,3313,0,313
"揚げもち",3liBhfdN10,2026-02-16T11:09:23.553Z,2026-02-16T14:00:09.627Z,4586,2350,0,-2236
"翔斗",4_RBXVU9-k,2026-02-16T11:07:12.354Z,2026-02-16T12:23:58.297Z,3000,1047,0,-1953
"Hinano",WeOKnoOueQ,2026-02-16T10:59:47.638Z,2026-02-16T13:53:00.577Z,6431,11714,0,5283
"arash!",l3SxQz5YLq,2026-02-16T10:52:29.659Z,2026-02-16T11:01:02.127Z,2060,2060,0,0
"Futa",JZI-nQiaw3,2026-02-16T10:52:29.665Z,2026-02-16T11:55:32.492Z,2605,5581,0,2976
"ワイエム",yOGROR9-hE,2026-02-16T10:52:29.661Z,2026-02-16T12:28:56.837Z,6501,3164,0,-3337
