entry,at,order
"The player ""翔斗 @ 4_RBXVU9-k"" quits the game with a stack of 6010.",2026-02-16T14:02:13.590Z,177125053359000
"The player ""utos @ g0yui9LXM4"" quits the game with a stack of 907.",2026-02-16T14:02:10.120Z,177125053012000
"-- ending hand #225 --",2026-02-16T14:02:04.118Z,177125052411803
"""utos @ g0yui9LXM4"" shows a K♥, 4♣.",2026-02-16T14:02:04.118Z,177125052411802
"""翔斗 @ 4_RBXVU9-k"" collected 6010 from pot with Three of a Kind, 8's (combination: K♣, A♦, 8♣, 8♠, 8♦)",2026-02-16T14:02:04.118Z,177125052411801
"""翔斗 @ 4_RBXVU9-k"" shows a 8♣, 8♠.",2026-02-16T14:02:04.118Z,177125052411800
"""utos @ g0yui9LXM4"" calls 2055",2026-02-16T14:02:03.292Z,177125052329200
"""翔斗 @ 4_RBXVU9-k"" bets 2055 and go all in",2026-02-16T14:02:00.120Z,177125052012000
"River: 7♥, 3♠, K♣, 8♦ [A♦]",2026-02-16T14:01:33.855Z,177125049385500
"""utos @ g0yui9LXM4"" calls 700",2026-02-16T14:01:33.044Z,177125049304400
"""翔斗 @ 4_RBXVU9-k"" bets 700",2026-02-16T14:01:30.452Z,177125049045200
"Turn: 7♥, 3♠, K♣ [8♦]",2026-02-16T14:01:06.578Z,177125046657800
"""utos @ g0yui9LXM4"" calls 100",2026-02-16T14:01:05.751Z,177125046575100
"""翔斗 @ 4_RBXVU9-k"" bets 100",2026-02-16T14:00:54.722Z,177125045472200
"Flop:  [7♥, 3♠, K♣]",2026-02-16T14:00:45.642Z,177125044564200
"""utos @ g0yui9LXM4"" calls 150",2026-02-16T14:00:44.777Z,177125044477700
"""翔斗 @ 4_RBXVU9-k"" raises to 150",2026-02-16T14:00:40.878Z,177125044087800
"""utos @ g0yui9LXM4"" raises to 50",2026-02-16T14:00:26.405Z,177125042640500
"""翔斗 @ 4_RBXVU9-k"" posts a big blind of 20",2026-02-16T14:00:17.962Z,177125041796206
"""utos @ g0yui9LXM4"" posts a small blind of 10",2026-02-16T14:00:17.962Z,177125041796205
"Player stacks: #2 ""翔斗 @ 4_RBXVU9-k"" (3005) | #7 ""utos @ g0yui9LXM4"" (3912)",2026-02-16T14:00:17.962Z,177125041796202
"-- starting hand #225 (id: ejoirxukfylq)  No Limit Texas Hold'em (dealer: ""utos @ g0yui9LXM4"") --",2026-02-16T14:00:17.962Z,177125041796201
