player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"運営",GgfRhPuspx,,2026-02-16T13:46:32.977Z,1,1,0,0
"sultan.",vVo9VdBVBm,2026-02-16T13:25:01.538Z,2026-02-16T14:01:28.652Z,2000,5046,0,3046
"Tommy",xS6UcJwLsG,2026-02-16T13:24:23.918Z,2026-02-16T13:54:57.128Z,3000,0,0,-3000
"ノガード",GgfRhPuspx,2026-02-16T12:07:52.920Z,2026-02-16T12:09:41.918Z,2000,2000,0,0
"Lemon",Xa_1dhYEV4,2026-02-16T11:33:17.437Z,2026-02-16T14:01:28.647Z,3000,2755,0,-245
"Kuni",HIjaJ0Hz7_,2026-02-16T11:23:09.923Z,2026-02-16T13:11:47.308Z,6164,2223,0,-3941
"それいゆ るな",s_7Utr4tDi,2026-02-16T11:15:56.541Z,2026-02-16T13:43:19.288Z,3000,3498,0,498
"すとふぁ",M4pyIQvfB9,2026-02-16T11:15:14.609Z,2026-02-16T14:02:17.292Z,2568,5701,0,3133
"teish",v-iN-1QQsm,2026-02-16T11:15:14.611Z,,4481,285,4096,-100
"takatony",j_3joKfzS9,2026-02-16T11:15:14.614Z,2026-02-16T13:19:49.538Z,3139,3748,0,609
