player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"massan",FaQTC0bwNd,2026-02-16T13:55:46.249Z,2026-02-16T14:08:32.652Z,3000,1723,0,-1277
"ノガード",GgfRhPuspx,,,2000,,2000,0
"運営",GgfRhPuspx,,2026-02-16T13:39:51.469Z,2000,2000,0,0
"をにぎり",fyjEJaUFUd,2026-02-16T13:33:29.010Z,2026-02-16T13:34:32.793Z,3000,0,0,-3000
"utos",g0yui9LXM4,2026-02-16T13:28:28.786Z,2026-02-16T14:07:49.686Z,3000,4162,0,1162
"をにぎり",fyjEJaUFUd,2026-02-16T13:22:27.861Z,2026-02-16T13:32:09.530Z,4400,2212,0,-2188
"ElNino",byYrvu0Qdy,2026-02-16T12:54:25.312Z,2026-02-16T14:07:59.225Z,2390,7163,0,4773
"utos",g0yui9LXM4,2026-02-16T12:42:36.751Z,2026-02-16T13:27:21.564Z,3074,4045,0,971
"ノガード",GgfRhPuspx,,2026-02-16T12:15:28.774Z,2000,2000,0,0
"らねおか",l218j9GUvI,2026-02-16T11:58:11.892Z,,3253,3314,1970,2031
"ノガード",GgfRhPuspx,2026-02-16T11:26:19.320Z,2026-02-16T11:47:54.617Z,2675,2090,0,-585
"Yu.",1UXbmlVx8V,2026-02-16T11:21:38.954Z,2026-02-16T14:07:49.003Z,3717,4065,0,348
"Hinano",WeOKnoOueQ,2026-02-16T11:20:35.835Z,2026-02-16T13:51:13.298Z,5452,5113,0,-339
"ElNino",byYrvu0Qdy,2026-02-16T11:20:35.837Z,2026-02-16T12:52:52.273Z,2473,2485,0,12
"をにぎり",fyjEJaUFUd,2026-02-16T11:20:35.833Z,2026-02-16T13:21:56.846Z,3368,1460,0,-1908
