entry,at,order
"The player ""massan @ FaQTC0bwNd"" quits the game with a stack of 1723.",2026-02-16T14:08:32.648Z,177125091264800
"The player ""ElNino @ byYrvu0Qdy"" quits the game with a stack of 3125.",2026-02-16T14:07:59.221Z,177125087922100
"The player ""utos @ g0yui9LXM4"" quits the game with a stack of 4162.",2026-02-16T14:07:49.680Z,177125086968000
"The player ""Yu. @ 1UXbmlVx8V"" quits the game with a stack of 3955.",2026-02-16T14:07:48.998Z,177125086899800
"-- ending hand #184 --",2026-02-16T14:07:46.057Z,177125086605702
"""utos @ g0yui9LXM4"" collected 2464 from pot",2026-02-16T14:07:46.057Z,177125086605701
"Uncalled bet of 1698 returned to ""utos @ g0yui9LXM4""",2026-02-16T14:07:46.057Z,177125086605700
"""massan @ FaQTC0bwNd"" folds",2026-02-16T14:07:45.226Z,177125086522600
"""utos @ g0yui9LXM4"" raises to 2710 and go all in",2026-02-16T14:07:19.959Z,177125083995900
"""massan @ FaQTC0bwNd"" raises to 1012",2026-02-16T14:05:53.202Z,177125075320200
"""utos @ g0yui9LXM4"" bets 396",2026-02-16T14:04:26.073Z,177125066607300
"River: 7♦, Q♣, 6♥, 9♦ [5♥]",2026-02-16T14:02:21.200Z,177125054120000
"""massan @ FaQTC0bwNd"" checks",2026-02-16T14:02:20.365Z,177125054036500
"""utos @ g0yui9LXM4"" checks",2026-02-16T14:01:48.891Z,177125050889100
"Turn: 7♦, Q♣, 6♥ [9♦]",2026-02-16T14:01:28.202Z,177125048820200
"""massan @ FaQTC0bwNd"" calls 165",2026-02-16T14:01:27.320Z,177125048732000
"The admin ""ノガード @ GgfRhPuspx"" enqueued the game stop on next hand.",2026-02-16T14:01:13.511Z,177125047351100
"""utos @ g0yui9LXM4"" raises to 165",2026-02-16T14:01:04.534Z,177125046453400
"""massan @ FaQTC0bwNd"" bets 55",2026-02-16T14:00:50.016Z,177125045001600
"""utos @ g0yui9LXM4"" checks",2026-02-16T14:00:31.290Z,177125043129000
"Flop:  [7♦, Q♣, 6♥]",2026-02-16T14:00:30.166Z,177125043016600
"""utos @ g0yui9LXM4"" calls 50",2026-02-16T14:00:29.332Z,177125042933200
"""ElNino @ byYrvu0Qdy"" folds",2026-02-16T13:59:44.519Z,177125038451900
"""Yu. @ 1UXbmlVx8V"" folds",2026-02-16T13:59:39.682Z,177125037968200
"""らねおか @ l218j9GUvI"" folds",2026-02-16T13:59:38.559Z,177125037855900
"""massan @ FaQTC0bwNd"" raises to 50",2026-02-16T13:59:36.618Z,177125037661800
"""utos @ g0yui9LXM4"" posts a big blind of 20",2026-02-16T13:59:28.820Z,177125036882008
"""ElNino @ byYrvu0Qdy"" posts a small blind of 10",2026-02-16T13:59:28.820Z,177125036882007
"Player stacks: #1 ""massan @ FaQTC0bwNd"" (2950) | #3 ""らねおか @ l218j9GUvI"" (1970) | #4 ""Yu. @ 1UXbmlVx8V"" (3955) | #6 ""ElNino @ byYrvu0Qdy"" (3135) | #7 ""utos @ g0yui9LXM4"" (2925)",2026-02-16T13:59:28.820Z,177125036882001
"-- starting hand #184 (id: gsxqp1wphjgm)  No Limit Texas Hold'em (dealer: ""Yu. @ 1UXbmlVx8V"") --",2026-02-16T13:59:28.820Z,177125036882000
"-- ending hand #183 --",2026-02-16T13:59:25.851Z,177125036585102
"""ElNino @ byYrvu0Qdy"" collected 20 from pot",2026-02-16T13:59:25.851Z,177125036585101
"Uncalled bet of 10 returned to ""ElNino @ byYrvu0Qdy""",2026-02-16T13:59:25.851Z,177125036585100
"""Yu. @ 1UXbmlVx8V"" folds",2026-02-16T13:59:25.034Z,177125036503400
"""らねおか @ l218j9GUvI"" folds",2026-02-16T13:59:24.039Z,177125036403900
"""massan @ FaQTC0bwNd"" folds",2026-02-16T13:59:23.027Z,177125036302700
"""utos @ g0yui9LXM4"" folds",2026-02-16T13:59:21.895Z,177125036189500
"""ElNino @ byYrvu0Qdy"" posts a big blind of 20",2026-02-16T13:59:16.047Z,177125035604708
"""Yu. @ 1UXbmlVx8V"" posts a small blind of 10",2026-02-16T13:59:16.047Z,177125035604707
"Player stacks: #1 ""massan @ FaQTC0bwNd"" (2950) | #3 ""らねおか @ l218j9GUvI"" (1970) | #4 ""Yu. @ 1UXbmlVx8V"" (3965) | #6 ""ElNino @ byYrvu0Qdy"" (3125) | #7 ""utos @ g0yui9LXM4"" (2925)",2026-02-16T13:59:16.047Z,177125035604701
"-- starting hand #183 (id: y6gajvdql6jq)  No Limit Texas Hold'em (dealer: ""らねおか @ l218j9GUvI"") --",2026-02-16T13:59:16.047Z,177125035604700
"-- ending hand #182 --",2026-02-16T13:59:13.131Z,177125035313102
"""Yu. @ 1UXbmlVx8V"" collected 20 from pot",2026-02-16T13:59:13.131Z,177125035313101
"Uncalled bet of 10 returned to ""Yu. @ 1UXbmlVx8V""",2026-02-16T13:59:13.131Z,177125035313100
"""らねおか @ l218j9GUvI"" folds",2026-02-16T13:59:12.321Z,177125035232100
"""massan @ FaQTC0bwNd"" folds",2026-02-16T13:59:11.305Z,177125035130500
"""utos @ g0yui9LXM4"" folds",2026-02-16T13:59:05.423Z,177125034542300
"""ElNino @ byYrvu0Qdy"" folds",2026-02-16T13:59:04.352Z,177125034435200
"""Yu. @ 1UXbmlVx8V"" posts a big blind of 20",2026-02-16T13:58:59.421Z,177125033942108
"""らねおか @ l218j9GUvI"" posts a small blind of 10",2026-02-16T13:58:59.421Z,177125033942107
"Player stacks: #1 ""massan @ FaQTC0bwNd"" (2950) | #3 ""らねおか @ l218j9GUvI"" (1980) | #4 ""Yu. @ 1UXbmlVx8V"" (3955) | #6 ""ElNino @ byYrvu0Qdy"" (3125) | #7 ""utos @ g0yui9LXM4"" (2925)",2026-02-16T13:58:59.421Z,177125033942101
"-- starting hand #182 (id: jig3kla7pbs1)  No Limit Texas Hold'em (dealer: ""massan @ FaQTC0bwNd"") --",2026-02-16T13:58:59.421Z,177125033942100
"-- ending hand #181 --",2026-02-16T13:58:56.510Z,177125033651002
"""utos @ g0yui9LXM4"" collected 50 from pot",2026-02-16T13:58:56.510Z,177125033651001
"Uncalled bet of 30 returned to ""utos @ g0yui9LXM4""",2026-02-16T13:58:56.510Z,177125033651000
"""らねおか @ l218j9GUvI"" folds",2026-02-16T13:58:55.689Z,177125033568900
"""massan @ FaQTC0bwNd"" folds",2026-02-16T13:58:50.602Z,177125033060200
"""utos @ g0yui9LXM4"" raises to 50",2026-02-16T13:58:38.083Z,177125031808300
"""ElNino @ byYrvu0Qdy"" folds",2026-02-16T13:58:33.399Z,177125031339900
"""Yu. @ 1UXbmlVx8V"" folds",2026-02-16T13:58:32.394Z,177125031239400
"""らねおか @ l218j9GUvI"" posts a big blind of 20",2026-02-16T13:58:29.204Z,177125030920408
"""massan @ FaQTC0bwNd"" posts a small blind of 10",2026-02-16T13:58:29.204Z,177125030920407
