player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"okbokujo",7rBUr1jNCU,2026-02-16T12:45:39.735Z,2026-02-16T13:36:30.800Z,2512,2100,0,-412
"Kuni",HIjaJ0Hz7_,2026-02-16T12:27:48.277Z,2026-02-16T13:12:28.985Z,5258,198,0,-5060
"それいゆ るな",s_7Utr4tDi,2026-02-16T12:24:36.217Z,2026-02-16T13:32:35.281Z,3000,3170,0,170
"ノガード",GgfRhPuspx,,2026-02-16T12:13:01.933Z,1,1,0,0
"Fuku",mXg0a8r7as,2026-02-16T12:07:09.538Z,2026-02-16T13:33:25.121Z,2400,6361,0,3961
"実力の若林",BZCdwuhpMU,2026-02-16T11:39:46.781Z,2026-02-16T12:04:49.840Z,2220,1210,0,-1010
"zozo",I42BI18xq3,2026-02-16T11:40:51.959Z,2026-02-16T12:18:07.354Z,3000,3055,0,55
"Kuni",HIjaJ0Hz7_,2026-02-16T11:38:28.655Z,2026-02-16T12:23:36.854Z,3000,1240,0,-1760
"Lemon",Xa_1dhYEV4,2026-02-16T11:38:28.649Z,2026-02-16T13:36:18.816Z,3679,5049,0,1370
"ばどえあー",Ji_JkhdQ8C,2026-02-16T11:38:28.652Z,2026-02-16T13:35:27.789Z,2020,4706,0,2686
