entry,at,order
"The player ""okbokujo @ 7rBUr1jNCU"" quits the game with a stack of 2080.",2026-02-16T13:36:30.798Z,177124899079800
"The player ""Lemon @ Xa_1dhYEV4"" quits the game with a stack of 1920.",2026-02-16T13:36:18.813Z,177124897881300
"-- ending hand #111 --",2026-02-16T13:36:12.810Z,177124897281002
"""okbokujo @ 7rBUr1jNCU"" collected 160 from pot with Two Pair, 5's & 3's (combination: K♦, 3♣, 3♦, 5♦, 5♣)",2026-02-16T13:36:12.810Z,177124897281001
"""okbokujo @ 7rBUr1jNCU"" shows a 5♦, 10♠.",2026-02-16T13:36:12.810Z,177124897281000
"""Lemon @ Xa_1dhYEV4"" checks",2026-02-16T13:36:11.999Z,177124897199900
"""okbokujo @ 7rBUr1jNCU"" checks",2026-02-16T13:36:10.095Z,177124897009500
"River: 5♣, 3♣, 6♣, 3♦ [K♦]",2026-02-16T13:36:05.198Z,177124896519800
"""Lemon @ Xa_1dhYEV4"" checks",2026-02-16T13:36:04.384Z,177124896438400
"""okbokujo @ 7rBUr1jNCU"" checks",2026-02-16T13:36:02.792Z,177124896279200
"Turn: 5♣, 3♣, 6♣ [3♦]",2026-02-16T13:35:56.696Z,177124895669600
"""okbokujo @ 7rBUr1jNCU"" calls 20",2026-02-16T13:35:55.853Z,177124895585300
"""Lemon @ Xa_1dhYEV4"" bets 20",2026-02-16T13:35:53.476Z,177124895347600
"""okbokujo @ 7rBUr1jNCU"" checks",2026-02-16T13:35:45.021Z,177124894502100
"Flop:  [5♣, 3♣, 6♣]",2026-02-16T13:35:42.386Z,177124894238600
"""okbokujo @ 7rBUr1jNCU"" calls 60",2026-02-16T13:35:41.547Z,177124894154700
"""Lemon @ Xa_1dhYEV4"" raises to 60",2026-02-16T13:35:37.269Z,177124893726900
"""okbokujo @ 7rBUr1jNCU"" posts a big blind of 20",2026-02-16T13:35:33.452Z,177124893345207
"""Lemon @ Xa_1dhYEV4"" posts a small blind of 10",2026-02-16T13:35:33.452Z,177124893345206
"Player stacks: #2 ""Lemon @ Xa_1dhYEV4"" (2000) | #6 ""okbokujo @ 7rBUr1jNCU"" (2000)",2026-02-16T13:35:33.452Z,177124893345203
"-- starting hand #111 (id: tsg8ntgazpjt)  No Limit Texas Hold'em (dealer: ""Lemon @ Xa_1dhYEV4"") --",2026-02-16T13:35:33.452Z,177124893345202
"The admin updated the player ""okbokujo @ 7rBUr1jNCU"" stack from 1990 to 2000.",2026-02-16T13:35:33.452Z,177124893345201
"The admin updated the player ""Lemon @ Xa_1dhYEV4"" stack from 2010 to 2000.",2026-02-16T13:35:33.452Z,177124893345200
"WARNING: the admin queued the stack change for the player ""okbokujo @ 7rBUr1jNCU"" reseting to 2000 chips in the next hand.",2026-02-16T13:35:32.094Z,177124893209400
"-- ending hand #110 --",2026-02-16T13:35:30.541Z,177124893054102
"""Lemon @ Xa_1dhYEV4"" collected 20 from pot",2026-02-16T13:35:30.541Z,177124893054101
"Uncalled bet of 10 returned to ""Lemon @ Xa_1dhYEV4""",2026-02-16T13:35:30.541Z,177124893054100
"WARNING: the admin queued the stack change for the player ""Lemon @ Xa_1dhYEV4"" reseting to 2000 chips in the next hand.",2026-02-16T13:35:30.482Z,177124893048200
"""okbokujo @ 7rBUr1jNCU"" folds",2026-02-16T13:35:29.725Z,177124892972500
"""Lemon @ Xa_1dhYEV4"" posts a big blind of 20",2026-02-16T13:35:27.775Z,177124892777508
"""okbokujo @ 7rBUr1jNCU"" posts a small blind of 10",2026-02-16T13:35:27.775Z,177124892777507
"Player stacks: #2 ""Lemon @ Xa_1dhYEV4"" (2000) | #6 ""okbokujo @ 7rBUr1jNCU"" (2000)",2026-02-16T13:35:27.775Z,177124892777504
"-- starting hand #110 (id: pdvekkdogyqo)  No Limit Texas Hold'em (dealer: ""okbokujo @ 7rBUr1jNCU"") --",2026-02-16T13:35:27.775Z,177124892777503
"The player ""ばどえあー @ Ji_JkhdQ8C"" quits the game with a stack of 3110.",2026-02-16T13:35:27.775Z,177124892777502
"The admin updated the player ""okbokujo @ 7rBUr1jNCU"" stack from 1970 to 2000.",2026-02-16T13:35:27.775Z,177124892777501
"The admin updated the player ""Lemon @ Xa_1dhYEV4"" stack from 1980 to 2000.",2026-02-16T13:35:27.775Z,177124892777500
"-- ending hand #109 --",2026-02-16T13:35:24.843Z,177124892484302
"""okbokujo @ 7rBUr1jNCU"" collected 120 from pot",2026-02-16T13:35:24.843Z,177124892484301
"Uncalled bet of 150 returned to ""okbokujo @ 7rBUr1jNCU""",2026-02-16T13:35:24.843Z,177124892484300
"""ばどえあー @ Ji_JkhdQ8C"" folds",2026-02-16T13:35:24.014Z,177124892401400
"""Lemon @ Xa_1dhYEV4"" folds",2026-02-16T13:35:23.187Z,177124892318700
"""okbokujo @ 7rBUr1jNCU"" raises to 200",2026-02-16T13:35:18.915Z,177124891891500
"""ばどえあー @ Ji_JkhdQ8C"" raises to 50",2026-02-16T13:35:08.191Z,177124890819100
"WARNING: the admin queued the stack change for the player ""okbokujo @ 7rBUr1jNCU"" reseting to 2000 chips in the next hand.",2026-02-16T13:35:04.984Z,177124890498400
"WARNING: the admin queued the stack change for the player ""Lemon @ Xa_1dhYEV4"" reseting to 2000 chips in the next hand.",2026-02-16T13:35:03.986Z,177124890398600
"""Lemon @ Xa_1dhYEV4"" posts a big blind of 20",2026-02-16T13:35:00.814Z,177124890081406
"""okbokujo @ 7rBUr1jNCU"" posts a small blind of 10",2026-02-16T13:35:00.814Z,177124890081405
"Player stacks: #2 ""Lemon @ Xa_1dhYEV4"" (2000) | #4 ""ばどえあー @ Ji_JkhdQ8C"" (3160) | #6 ""okbokujo @ 7rBUr1jNCU"" (1900)",2026-02-16T13:35:00.814Z,177124890081401
"-- starting hand #109 (id: xoi8uetguabb)  No Limit Texas Hold'em (dealer: ""ばどえあー @ Ji_JkhdQ8C"") --",2026-02-16T13:35:00.814Z,177124890081400
"-- ending hand #108 --",2026-02-16T13:34:54.809Z,177124889480902
