entry,at,order
"The player ""翔斗 @ 4_RBXVU9-k"" quits the game with a stack of 2587.",2026-02-16T14:02:16.795Z,177125053679500
"The player ""piro @ Bvxa5VV39S"" quits the game with a stack of 2713.",2026-02-16T14:01:55.459Z,177125051545900
"The admin ""らねおか @ l218j9GUvI"" enqueued the game stop on next hand.",2026-02-16T14:01:50.064Z,177125051006400
"-- ending hand #170 --",2026-02-16T14:01:41.517Z,177125050151702
"""piro @ Bvxa5VV39S"" collected 20 from pot",2026-02-16T14:01:41.517Z,177125050151701
"Uncalled bet of 10 returned to ""piro @ Bvxa5VV39S""",2026-02-16T14:01:41.517Z,177125050151700
"""らねおか @ l218j9GUvI"" folds",2026-02-16T14:01:40.700Z,177125050070000
"""piro @ Bvxa5VV39S"" posts a big blind of 20",2026-02-16T14:01:39.050Z,177125049905007
"""らねおか @ l218j9GUvI"" posts a small blind of 10",2026-02-16T14:01:39.050Z,177125049905006
"Player stacks: #2 ""らねおか @ l218j9GUvI"" (3595) | #3 ""piro @ Bvxa5VV39S"" (2703)",2026-02-16T14:01:39.050Z,177125049905003
"-- starting hand #170 (id: zdvi32wh0lgs)  No Limit Texas Hold'em (dealer: ""らねおか @ l218j9GUvI"") --",2026-02-16T14:01:39.050Z,177125049905002
"The player ""北ふくろー @ nxKtWVcmeY"" quits the game with a stack of 1950.",2026-02-16T14:01:39.050Z,177125049905001
"The player ""翔斗 @ 4_RBXVU9-k"" stand up with the stack of 2587.",2026-02-16T14:01:39.050Z,177125049905000
"-- ending hand #169 --",2026-02-16T14:01:33.045Z,177125049304503
"""翔斗 @ 4_RBXVU9-k"" collected 274 from pot with Pair, Q's (combination: 10♥, J♠, A♠, Q♦, Q♠)",2026-02-16T14:01:33.045Z,177125049304502
"""翔斗 @ 4_RBXVU9-k"" shows a Q♦, 10♥.",2026-02-16T14:01:33.045Z,177125049304501
"""piro @ Bvxa5VV39S"" shows a J♥, 8♣.",2026-02-16T14:01:33.045Z,177125049304500
"""翔斗 @ 4_RBXVU9-k"" checks",2026-02-16T14:01:32.232Z,177125049223200
"""piro @ Bvxa5VV39S"" checks",2026-02-16T14:01:25.715Z,177125048571500
"River: Q♠, J♠, 7♠, 5♥ [A♠]",2026-02-16T14:01:14.408Z,177125047440800
"""piro @ Bvxa5VV39S"" calls 82",2026-02-16T14:01:13.597Z,177125047359700
"""翔斗 @ 4_RBXVU9-k"" bets 82",2026-02-16T14:01:11.486Z,177125047148600
"""piro @ Bvxa5VV39S"" checks",2026-02-16T14:01:01.139Z,177125046113900
"Turn: Q♠, J♠, 7♠ [5♥]",2026-02-16T14:00:58.910Z,177125045891000
"""翔斗 @ 4_RBXVU9-k"" checks",2026-02-16T14:00:58.100Z,177125045810000
"""piro @ Bvxa5VV39S"" checks",2026-02-16T14:00:55.775Z,177125045577500
"Flop:  [Q♠, J♠, 7♠]",2026-02-16T14:00:53.051Z,177125045305100
"""piro @ Bvxa5VV39S"" calls 50",2026-02-16T14:00:52.236Z,177125045223600
"""らねおか @ l218j9GUvI"" folds",2026-02-16T14:00:46.305Z,177125044630500
"""北ふくろー @ nxKtWVcmeY"" folds",2026-02-16T14:00:45.247Z,177125044524700
"""翔斗 @ 4_RBXVU9-k"" raises to 50",2026-02-16T14:00:44.237Z,177125044423700
"""piro @ Bvxa5VV39S"" posts a big blind of 20",2026-02-16T14:00:34.032Z,177125043403207
"""らねおか @ l218j9GUvI"" posts a small blind of 10",2026-02-16T14:00:34.032Z,177125043403206
