entry,at,order
"The player ""tyori @ Ixt50I13Bc"" stand up with the stack of 3087.",2026-02-16T14:01:02.198Z,177125046219800
"-- ending hand #115 --",2026-02-16T14:00:59.257Z,177125045925702
"""Ramune @ soKGYfNQsD"" collected 90 from pot",2026-02-16T14:00:59.257Z,177125045925701
"Uncalled bet of 30 returned to ""Ramune @ soKGYfNQsD""",2026-02-16T14:00:59.257Z,177125045925700
"""すとふぁ @ M4pyIQvfB9"" folds",2026-02-16T14:00:58.449Z,177125045844900
"""Ramune @ soKGYfNQsD"" bets 30",2026-02-16T14:00:56.153Z,177125045615300
"""すとふぁ @ M4pyIQvfB9"" checks",2026-02-16T14:00:44.157Z,177125044415700
"Turn: 10♥, 9♥, 2♥ [4♦]",2026-02-16T14:00:42.322Z,177125044232200
"""Ramune @ soKGYfNQsD"" checks",2026-02-16T14:00:41.500Z,177125044150000
"""すとふぁ @ M4pyIQvfB9"" checks",2026-02-16T14:00:39.044Z,177125043904400
"Flop:  [10♥, 9♥, 2♥]",2026-02-16T14:00:36.370Z,177125043637000
"The admin ""arash! @ PB93yGRdRr"" enqueued the game stop on next hand.",2026-02-16T14:00:34.867Z,177125043486700
"""すとふぁ @ M4pyIQvfB9"" calls 40",2026-02-16T14:00:27.481Z,177125042748100
"""arash! @ PB93yGRdRr"" folds",2026-02-16T14:00:24.915Z,177125042491500
"""sultan. @ vVo9VdBVBm"" folds",2026-02-16T14:00:19.680Z,177125041968000
"""Ramune @ soKGYfNQsD"" raises to 40",2026-02-16T14:00:18.675Z,177125041867500
"""tyori @ Ixt50I13Bc"" folds",2026-02-16T14:00:01.194Z,177125040119400
"""すとふぁ @ M4pyIQvfB9"" posts a big blind of 20",2026-02-16T13:59:59.682Z,177125039968208
"""arash! @ PB93yGRdRr"" posts a small blind of 10",2026-02-16T13:59:59.682Z,177125039968207
"Player stacks: #1 ""tyori @ Ixt50I13Bc"" (3087) | #2 ""Ramune @ soKGYfNQsD"" (2092) | #3 ""sultan. @ vVo9VdBVBm"" (1826) | #4 ""arash! @ PB93yGRdRr"" (3810) | #5 ""すとふぁ @ M4pyIQvfB9"" (1800)",2026-02-16T13:59:59.682Z,177125039968201
"-- starting hand #115 (id: yqnxdvnbgxhs)  No Limit Texas Hold'em (dealer: ""sultan. @ vVo9VdBVBm"") --",2026-02-16T13:59:59.682Z,177125039968200
"-- ending hand #114 --",2026-02-16T13:59:56.768Z,177125039676802
"""tyori @ Ixt50I13Bc"" collected 50 from pot",2026-02-16T13:59:56.768Z,177125039676801
"Uncalled bet of 25 returned to ""tyori @ Ixt50I13Bc""",2026-02-16T13:59:56.768Z,177125039676800
"""arash! @ PB93yGRdRr"" folds",2026-02-16T13:59:55.908Z,177125039590800
"""sultan. @ vVo9VdBVBm"" folds",2026-02-16T13:59:51.263Z,177125039126300
"""Ramune @ soKGYfNQsD"" folds",2026-02-16T13:59:50.243Z,177125039024300
"""tyori @ Ixt50I13Bc"" raises to 45",2026-02-16T13:59:49.230Z,177125038923000
"""すとふぁ @ M4pyIQvfB9"" folds",2026-02-16T13:59:46.981Z,177125038698100
"""arash! @ PB93yGRdRr"" posts a big blind of 20",2026-02-16T13:59:43.663Z,177125038366308
"""sultan. @ vVo9VdBVBm"" posts a small blind of 10",2026-02-16T13:59:43.663Z,177125038366307
"Player stacks: #1 ""tyori @ Ixt50I13Bc"" (3057) | #2 ""Ramune @ soKGYfNQsD"" (2092) | #3 ""sultan. @ vVo9VdBVBm"" (1836) | #4 ""arash! @ PB93yGRdRr"" (3830) | #5 ""すとふぁ @ M4pyIQvfB9"" (1800)",2026-02-16T13:59:43.663Z,177125038366301
"-- starting hand #114 (id: txqhh4uipn5y)  No Limit Texas Hold'em (dealer: ""Ramune @ soKGYfNQsD"") --",2026-02-16T13:59:43.663Z,177125038366300
"-- ending hand #113 --",2026-02-16T13:59:40.758Z,177125038075802
"""tyori @ Ixt50I13Bc"" collected 50 from pot",2026-02-16T13:59:40.758Z,177125038075801
"Uncalled bet of 25 returned to ""tyori @ Ixt50I13Bc""",2026-02-16T13:59:40.758Z,177125038075800
"""sultan. @ vVo9VdBVBm"" folds",2026-02-16T13:59:39.908Z,177125037990800
"""Ramune @ soKGYfNQsD"" folds",2026-02-16T13:59:35.819Z,177125037581900
"""tyori @ Ixt50I13Bc"" raises to 45",2026-02-16T13:59:33.123Z,177125037312300
"""すとふぁ @ M4pyIQvfB9"" folds",2026-02-16T13:59:30.758Z,177125037075800
"""arash! @ PB93yGRdRr"" folds",2026-02-16T13:59:29.732Z,177125036973200
