player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"massan",FaQTC0bwNd,2026-02-16T13:21:21.552Z,2026-02-16T14:08:35.746Z,3000,4905,0,1905
"MIU",ZoJemq3YPE,2026-02-16T12:13:55.961Z,,6701,505,1422,-4774
"常盤木いつき",0QyEE5Hc9o,2026-02-16T11:40:17.411Z,2026-02-16T13:13:22.712Z,2705,2763,0,58
"常盤木いつき",0QyEE5Hc9o,2026-02-16T11:05:27.217Z,2026-02-16T11:39:11.518Z,2556,0,0,-2556
"常盤木いつき",0QyEE5Hc9o,2026-02-16T11:02:47.766Z,2026-02-16T11:04:33.859Z,2000,2000,0,0
"konasho",5Bj_LObl5K,2026-02-16T11:02:07.328Z,,2180,2310,2840,2970
"dots",WCz-o4BU-5,2026-02-16T10:58:33.955Z,2026-02-16T11:47:44.797Z,3639,2090,0,-1549
"takatony",j_3joKfzS9,2026-02-16T10:57:40.727Z,2026-02-16T13:23:07.940Z,3000,2720,0,-280
"shunsuke11",CmPBhvSXqk,2026-02-16T10:57:40.725Z,2026-02-16T14:02:29.806Z,2308,3414,0,1106
"なんでやねん",r1CBe6Qe79,2026-02-16T10:57:40.721Z,,3171,1851,4440,3120
