entry,at,order
"The player ""かいる @ nPiUhQEVMi"" quits the game with a stack of 2032.",2026-02-16T14:00:52.523Z,177125045252300
"The player ""SetsunaTrip @ O2b7zy1-XM"" quits the game with a stack of 2937.",2026-02-16T14:00:38.862Z,177125043886200
"The player ""Ene @ 6N30cpGlP_"" quits the game with a stack of 3210.",2026-02-16T14:00:25.662Z,177125042566200
"""かいる @ nPiUhQEVMi"" shows a A♠, A♣.",2026-02-16T14:00:21.164Z,177125042116400
"-- ending hand #196 --",2026-02-16T14:00:20.285Z,177125042028502
"""かいる @ nPiUhQEVMi"" collected 40 from pot",2026-02-16T14:00:20.285Z,177125042028501
"Uncalled bet of 40 returned to ""かいる @ nPiUhQEVMi""",2026-02-16T14:00:20.285Z,177125042028500
"""Ene @ 6N30cpGlP_"" folds",2026-02-16T14:00:19.423Z,177125041942300
"""かいる @ nPiUhQEVMi"" raises to 60",2026-02-16T14:00:14.845Z,177125041484500
"The admin ""waho @ Oc04ITRF7i"" enqueued the game stop on next hand.",2026-02-16T14:00:14.289Z,177125041428900
"""waho @ Oc04ITRF7i"" folds",2026-02-16T14:00:11.457Z,177125041145700
"""SetsunaTrip @ O2b7zy1-XM"" folds",2026-02-16T14:00:07.550Z,177125040755000
"""arash! @ PB93yGRdRr"" folds",2026-02-16T14:00:06.392Z,177125040639200
"""Ene @ 6N30cpGlP_"" posts a big blind of 20",2026-02-16T14:00:02.773Z,177125040277308
"""かいる @ nPiUhQEVMi"" posts a small blind of 10",2026-02-16T14:00:02.773Z,177125040277307
"Player stacks: #1 ""Ene @ 6N30cpGlP_"" (3230) | #2 ""arash! @ PB93yGRdRr"" (2699) | #3 ""SetsunaTrip @ O2b7zy1-XM"" (2937) | #7 ""waho @ Oc04ITRF7i"" (2176) | #8 ""かいる @ nPiUhQEVMi"" (2012)",2026-02-16T14:00:02.773Z,177125040277301
"-- starting hand #196 (id: bldfyzemefru)  No Limit Texas Hold'em (dealer: ""waho @ Oc04ITRF7i"") --",2026-02-16T14:00:02.773Z,177125040277300
"-- ending hand #195 --",2026-02-16T13:59:59.847Z,177125039984702
"""waho @ Oc04ITRF7i"" collected 120 from pot",2026-02-16T13:59:59.847Z,177125039984701
"Uncalled bet of 170 returned to ""waho @ Oc04ITRF7i""",2026-02-16T13:59:59.847Z,177125039984700
"""SetsunaTrip @ O2b7zy1-XM"" folds",2026-02-16T13:59:59.026Z,177125039902600
"""かいる @ nPiUhQEVMi"" folds",2026-02-16T13:59:55.621Z,177125039562100
"""waho @ Oc04ITRF7i"" raises to 220",2026-02-16T13:59:54.274Z,177125039427400
"""SetsunaTrip @ O2b7zy1-XM"" raises to 50",2026-02-16T13:59:35.528Z,177125037552800
"""arash! @ PB93yGRdRr"" folds",2026-02-16T13:59:28.930Z,177125036893000
"""Ene @ 6N30cpGlP_"" folds",2026-02-16T13:59:21.110Z,177125036111000
"""かいる @ nPiUhQEVMi"" posts a big blind of 20",2026-02-16T13:59:18.797Z,177125035879708
"""waho @ Oc04ITRF7i"" posts a small blind of 10",2026-02-16T13:59:18.797Z,177125035879707
"Player stacks: #1 ""Ene @ 6N30cpGlP_"" (3230) | #2 ""arash! @ PB93yGRdRr"" (2699) | #3 ""SetsunaTrip @ O2b7zy1-XM"" (2987) | #7 ""waho @ Oc04ITRF7i"" (2106) | #8 ""かいる @ nPiUhQEVMi"" (2032)",2026-02-16T13:59:18.797Z,177125035879701
"-- starting hand #195 (id: ilbetgrobf0r)  No Limit Texas Hold'em (dealer: ""SetsunaTrip @ O2b7zy1-XM"") --",2026-02-16T13:59:18.797Z,177125035879700
"-- ending hand #194 --",2026-02-16T13:59:15.848Z,177125035584802
"""SetsunaTrip @ O2b7zy1-XM"" collected 108 from pot",2026-02-16T13:59:15.848Z,177125035584801
"Uncalled bet of 30 returned to ""SetsunaTrip @ O2b7zy1-XM""",2026-02-16T13:59:15.848Z,177125035584800
"""waho @ Oc04ITRF7i"" folds",2026-02-16T13:59:15.030Z,177125035503000
"""SetsunaTrip @ O2b7zy1-XM"" bets 30",2026-02-16T13:59:09.346Z,177125034934600
"River: 2♦, Q♠, J♦, Q♥ [J♠]",2026-02-16T13:58:50.581Z,177125033058100
"""SetsunaTrip @ O2b7zy1-XM"" calls 24",2026-02-16T13:58:49.775Z,177125032977500
"""arash! @ PB93yGRdRr"" folds",2026-02-16T13:58:44.944Z,177125032494400
"""waho @ Oc04ITRF7i"" bets 24",2026-02-16T13:58:39.415Z,177125031941500
"""SetsunaTrip @ O2b7zy1-XM"" checks",2026-02-16T13:58:22.109Z,177125030210900
"Turn: 2♦, Q♠, J♦ [Q♥]",2026-02-16T13:58:17.714Z,177125029771400
"""arash! @ PB93yGRdRr"" checks",2026-02-16T13:58:16.905Z,177125029690500
"""waho @ Oc04ITRF7i"" checks",2026-02-16T13:58:11.180Z,177125029118000
"""SetsunaTrip @ O2b7zy1-XM"" checks",2026-02-16T13:58:03.746Z,177125028374600
"Flop:  [2♦, Q♠, J♦]",2026-02-16T13:58:01.047Z,177125028104700
"""waho @ Oc04ITRF7i"" checks",2026-02-16T13:58:00.157Z,177125028015700
"""SetsunaTrip @ O2b7zy1-XM"" calls 20",2026-02-16T13:57:48.682Z,177125026868200
"""arash! @ PB93yGRdRr"" calls 20",2026-02-16T13:57:42.380Z,177125026238000
"""Ene @ 6N30cpGlP_"" folds",2026-02-16T13:57:41.363Z,177125026136300
"""かいる @ nPiUhQEVMi"" folds",2026-02-16T13:57:40.271Z,177125026027100
"""waho @ Oc04ITRF7i"" posts a big blind of 20",2026-02-16T13:57:33.627Z,177125025362708
"""SetsunaTrip @ O2b7zy1-XM"" posts a small blind of 10",2026-02-16T13:57:33.627Z,177125025362707
"Player stacks: #1 ""Ene @ 6N30cpGlP_"" (3230) | #2 ""arash! @ PB93yGRdRr"" (2719) | #3 ""SetsunaTrip @ O2b7zy1-XM"" (2923) | #7 ""waho @ Oc04ITRF7i"" (2150) | #8 ""かいる @ nPiUhQEVMi"" (2032)",2026-02-16T13:57:33.627Z,177125025362701
"-- starting hand #194 (id: 7lxn2hp5ao32)  No Limit Texas Hold'em (dealer: ""arash! @ PB93yGRdRr"") --",2026-02-16T13:57:33.627Z,177125025362700
"-- ending hand #193 --",2026-02-16T13:57:27.620Z,177125024762003
"""SetsunaTrip @ O2b7zy1-XM"" collected 450 from pot with Pair, K's (combination: 6♣, 7♣, Q♥, K♦, K♠)",2026-02-16T13:57:27.620Z,177125024762002
"""SetsunaTrip @ O2b7zy1-XM"" shows a Q♥, K♦.",2026-02-16T13:57:27.620Z,177125024762001
"""かいる @ nPiUhQEVMi"" shows a Q♠, J♠.",2026-02-16T13:57:27.620Z,177125024762000
"""SetsunaTrip @ O2b7zy1-XM"" calls 135",2026-02-16T13:57:26.786Z,177125024678600
"""かいる @ nPiUhQEVMi"" bets 135",2026-02-16T13:57:09.344Z,177125022934400
"""SetsunaTrip @ O2b7zy1-XM"" checks",2026-02-16T13:56:18.828Z,177125017882800
"River: 6♣, 2♣, 3♥, K♠ [7♣]",2026-02-16T13:56:16.277Z,177125017627700
"""SetsunaTrip @ O2b7zy1-XM"" calls 45",2026-02-16T13:56:15.459Z,177125017545900
"""かいる @ nPiUhQEVMi"" bets 45",2026-02-16T13:56:06.512Z,177125016651200
"""SetsunaTrip @ O2b7zy1-XM"" checks",2026-02-16T13:55:38.076Z,177125013807600
"Turn: 6♣, 2♣, 3♥ [K♠]",2026-02-16T13:55:33.720Z,177125013372000
"""かいる @ nPiUhQEVMi"" checks",2026-02-16T13:55:32.857Z,177125013285700
"""SetsunaTrip @ O2b7zy1-XM"" checks",2026-02-16T13:55:26.813Z,177125012681300
"Flop:  [6♣, 2♣, 3♥]",2026-02-16T13:55:23.917Z,177125012391700
"""SetsunaTrip @ O2b7zy1-XM"" calls 40",2026-02-16T13:55:23.044Z,177125012304400
