entry,at,order
"The player ""ゴン02（江戸犬） @ AblUkPGGlZ"" quits the game with a stack of 2432.",2026-02-16T14:00:26.490Z,177125042649000
"""りく @ z2lKOiJnrt"" shows a 8♥.",2026-02-16T14:00:24.111Z,177125042411100
"-- ending hand #171 --",2026-02-16T14:00:22.829Z,177125042282902
"""りく @ z2lKOiJnrt"" collected 120 from pot",2026-02-16T14:00:22.829Z,177125042282901
"Uncalled bet of 80 returned to ""りく @ z2lKOiJnrt""",2026-02-16T14:00:22.829Z,177125042282900
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-02-16T14:00:21.992Z,177125042199200
"""りく @ z2lKOiJnrt"" bets 80",2026-02-16T13:59:59.105Z,177125039910500
"""ゴン02（江戸犬） @ AblUkPGGlZ"" checks",2026-02-16T13:59:53.025Z,177125039302500
"Turn: 8♠, A♦, 4♣ [8♦]",2026-02-16T13:59:44.632Z,177125038463200
"""りく @ z2lKOiJnrt"" checks",2026-02-16T13:59:43.768Z,177125038376800
"""ゴン02（江戸犬） @ AblUkPGGlZ"" checks",2026-02-16T13:59:41.388Z,177125038138800
"Flop:  [8♠, A♦, 4♣]",2026-02-16T13:59:29.879Z,177125036987900
"""ゴン02（江戸犬） @ AblUkPGGlZ"" calls 60",2026-02-16T13:59:29.067Z,177125036906700
"""りく @ z2lKOiJnrt"" raises to 60",2026-02-16T13:59:21.421Z,177125036142100
"""ゴン02（江戸犬） @ AblUkPGGlZ"" posts a big blind of 20",2026-02-16T13:59:19.449Z,177125035944905
"""りく @ z2lKOiJnrt"" posts a small blind of 10",2026-02-16T13:59:19.449Z,177125035944904
"Player stacks: #5 ""りく @ z2lKOiJnrt"" (5044) | #9 ""ゴン02（江戸犬） @ AblUkPGGlZ"" (2492)",2026-02-16T13:59:19.449Z,177125035944901
"-- starting hand #171 (id: trnyv3j6ktve)  No Limit Texas Hold'em (dealer: ""りく @ z2lKOiJnrt"") --",2026-02-16T13:59:19.449Z,177125035944900
"-- ending hand #170 --",2026-02-16T13:59:16.530Z,177125035653002
"""りく @ z2lKOiJnrt"" collected 20 from pot",2026-02-16T13:59:16.530Z,177125035653001
"Uncalled bet of 10 returned to ""りく @ z2lKOiJnrt""",2026-02-16T13:59:16.530Z,177125035653000
"""ゴン02（江戸犬） @ AblUkPGGlZ"" folds",2026-02-16T13:59:15.694Z,177125035569400
"""りく @ z2lKOiJnrt"" posts a big blind of 20",2026-02-16T13:59:12.632Z,177125035263205
"""ゴン02（江戸犬） @ AblUkPGGlZ"" posts a small blind of 10",2026-02-16T13:59:12.632Z,177125035263204
