entry,at,order
"The player ""とーち @ xV3KBDal40"" stand up with the stack of 3302.",2026-02-16T14:01:15.807Z,177125047580700
"The admin ""Ramune @ soKGYfNQsD"" enqueued the game stop on next hand.",2026-02-16T14:01:14.184Z,177125047418400
"-- ending hand #182 --",2026-02-16T14:01:12.886Z,177125047288602
"""とーち @ xV3KBDal40"" collected 50 from pot",2026-02-16T14:01:12.886Z,177125047288601
"Uncalled bet of 30 returned to ""とーち @ xV3KBDal40""",2026-02-16T14:01:12.886Z,177125047288600
"""27 @ YkRLv6Nf7r"" folds",2026-02-16T14:01:12.073Z,177125047207300
"""alfort @ TkMT4agdsh"" folds",2026-02-16T14:00:59.248Z,177125045924800
"""とーち @ xV3KBDal40"" raises to 50",2026-02-16T14:00:58.022Z,177125045802200
"""waho @ Oc04ITRF7i"" folds",2026-02-16T14:00:53.053Z,177125045305300
"""Ramune @ soKGYfNQsD"" folds",2026-02-16T14:00:49.849Z,177125044984900
"""27 @ YkRLv6Nf7r"" posts a big blind of 20",2026-02-16T14:00:41.842Z,177125044184208
"""alfort @ TkMT4agdsh"" posts a small blind of 10",2026-02-16T14:00:41.842Z,177125044184207
"Player stacks: #1 ""alfort @ TkMT4agdsh"" (3479) | #3 ""27 @ YkRLv6Nf7r"" (2070) | #8 ""Ramune @ soKGYfNQsD"" (3985) | #9 ""waho @ Oc04ITRF7i"" (2160) | #10 ""とーち @ xV3KBDal40"" (3272)",2026-02-16T14:00:41.842Z,177125044184201
"-- starting hand #182 (id: rbchjsoeluuf)  No Limit Texas Hold'em (dealer: ""とーち @ xV3KBDal40"") --",2026-02-16T14:00:41.842Z,177125044184200
"-- ending hand #181 --",2026-02-16T14:00:38.920Z,177125043892002
"""27 @ YkRLv6Nf7r"" collected 90 from pot",2026-02-16T14:00:38.920Z,177125043892001
"Uncalled bet of 120 returned to ""27 @ YkRLv6Nf7r""",2026-02-16T14:00:38.920Z,177125043892000
"""alfort @ TkMT4agdsh"" folds",2026-02-16T14:00:38.097Z,177125043809700
"""27 @ YkRLv6Nf7r"" bets 120",2026-02-16T14:00:36.402Z,177125043640200
"""alfort @ TkMT4agdsh"" checks",2026-02-16T14:00:29.468Z,177125042946800
"Flop:  [10♣, 2♥, 9♠]",2026-02-16T14:00:27.092Z,177125042709200
"""alfort @ TkMT4agdsh"" calls 40",2026-02-16T14:00:26.229Z,177125042622900
"""とーち @ xV3KBDal40"" folds",2026-02-16T14:00:22.245Z,177125042224500
"""waho @ Oc04ITRF7i"" folds",2026-02-16T14:00:21.185Z,177125042118500
"""Ramune @ soKGYfNQsD"" folds",2026-02-16T14:00:16.659Z,177125041665900
"""27 @ YkRLv6Nf7r"" raises to 40",2026-02-16T14:00:07.734Z,177125040773400
"""alfort @ TkMT4agdsh"" posts a big blind of 20",2026-02-16T14:00:02.012Z,177125040201208
"""とーち @ xV3KBDal40"" posts a small blind of 10",2026-02-16T14:00:02.012Z,177125040201207
"Player stacks: #1 ""alfort @ TkMT4agdsh"" (3519) | #3 ""27 @ YkRLv6Nf7r"" (2020) | #8 ""Ramune @ soKGYfNQsD"" (3985) | #9 ""waho @ Oc04ITRF7i"" (2160) | #10 ""とーち @ xV3KBDal40"" (3282)",2026-02-16T14:00:02.012Z,177125040201201
"-- starting hand #181 (id: jkkrprqinba5)  No Limit Texas Hold'em (dealer: ""waho @ Oc04ITRF7i"") --",2026-02-16T14:00:02.012Z,177125040201200
"-- ending hand #180 --",2026-02-16T13:59:59.045Z,177125039904502
"""Ramune @ soKGYfNQsD"" collected 130 from pot",2026-02-16T13:59:59.045Z,177125039904501
"Uncalled bet of 104 returned to ""Ramune @ soKGYfNQsD""",2026-02-16T13:59:59.045Z,177125039904500
"""27 @ YkRLv6Nf7r"" folds",2026-02-16T13:59:58.170Z,177125039817000
"""とーち @ xV3KBDal40"" folds",2026-02-16T13:59:56.664Z,177125039666400
"""waho @ Oc04ITRF7i"" folds",2026-02-16T13:59:55.664Z,177125039566400
"""Ramune @ soKGYfNQsD"" raises to 154",2026-02-16T13:59:45.815Z,177125038581500
"""27 @ YkRLv6Nf7r"" raises to 50",2026-02-16T13:59:40.809Z,177125038080900
"""alfort @ TkMT4agdsh"" folds",2026-02-16T13:59:32.029Z,177125037202900
"""とーち @ xV3KBDal40"" posts a big blind of 20",2026-02-16T13:59:30.337Z,177125037033708
"""waho @ Oc04ITRF7i"" posts a small blind of 10",2026-02-16T13:59:30.337Z,177125037033707
"Player stacks: #1 ""alfort @ TkMT4agdsh"" (3519) | #3 ""27 @ YkRLv6Nf7r"" (2070) | #8 ""Ramune @ soKGYfNQsD"" (3905) | #9 ""waho @ Oc04ITRF7i"" (2170) | #10 ""とーち @ xV3KBDal40"" (3302)",2026-02-16T13:59:30.337Z,177125037033701
"-- starting hand #180 (id: i2o4i0pvsfoj)  No Limit Texas Hold'em (dealer: ""Ramune @ soKGYfNQsD"") --",2026-02-16T13:59:30.337Z,177125037033700
"-- ending hand #179 --",2026-02-16T13:59:27.420Z,177125036742002
"""とーち @ xV3KBDal40"" collected 50 from pot",2026-02-16T13:59:27.420Z,177125036742001
"Uncalled bet of 20 returned to ""とーち @ xV3KBDal40""",2026-02-16T13:59:27.420Z,177125036742000
"""waho @ Oc04ITRF7i"" folds",2026-02-16T13:59:26.554Z,177125036655400
"""Ramune @ soKGYfNQsD"" folds",2026-02-16T13:59:23.335Z,177125036333500
"""27 @ YkRLv6Nf7r"" folds",2026-02-16T13:59:22.283Z,177125036228300
"""alfort @ TkMT4agdsh"" folds",2026-02-16T13:59:19.607Z,177125035960700
"""とーち @ xV3KBDal40"" raises to 40",2026-02-16T13:59:16.458Z,177125035645800
"""waho @ Oc04ITRF7i"" posts a big blind of 20",2026-02-16T13:59:10.645Z,177125035064508
"""Ramune @ soKGYfNQsD"" posts a small blind of 10",2026-02-16T13:59:10.645Z,177125035064507
"Player stacks: #1 ""alfort @ TkMT4agdsh"" (3519) | #3 ""27 @ YkRLv6Nf7r"" (2070) | #8 ""Ramune @ soKGYfNQsD"" (3915) | #9 ""waho @ Oc04ITRF7i"" (2190) | #10 ""とーち @ xV3KBDal40"" (3272)",2026-02-16T13:59:10.645Z,177125035064501
"-- starting hand #179 (id: twrcqwk1tmm8)  No Limit Texas Hold'em (dealer: ""27 @ YkRLv6Nf7r"") --",2026-02-16T13:59:10.645Z,177125035064500
"-- ending hand #178 --",2026-02-16T13:59:04.629Z,177125034462904
"""Ramune @ soKGYfNQsD"" collected 100 from pot with Two Pair, 9's & 7's (combination: A♦, 7♦, 7♣, 9♥, 9♠)",2026-02-16T13:59:04.629Z,177125034462903
"""27 @ YkRLv6Nf7r"" collected 100 from pot with Two Pair, 9's & 7's (combination: A♠, 7♦, 7♣, 9♥, 9♠)",2026-02-16T13:59:04.629Z,177125034462902
"""Ramune @ soKGYfNQsD"" shows a A♦, 10♣.",2026-02-16T13:59:04.629Z,177125034462901
"""27 @ YkRLv6Nf7r"" shows a J♠, A♠.",2026-02-16T13:59:04.629Z,177125034462900
"""Ramune @ soKGYfNQsD"" checks",2026-02-16T13:59:03.811Z,177125034381100
"""27 @ YkRLv6Nf7r"" checks",2026-02-16T13:59:02.055Z,177125034205500
"River: 7♦, 9♥, 9♠, 7♣ [K♦]",2026-02-16T13:58:48.959Z,177125032895900
"""Ramune @ soKGYfNQsD"" checks",2026-02-16T13:58:48.151Z,177125032815100
"""27 @ YkRLv6Nf7r"" checks",2026-02-16T13:58:36.303Z,177125031630300
"Turn: 7♦, 9♥, 9♠ [7♣]",2026-02-16T13:58:26.915Z,177125030691500
"""Ramune @ soKGYfNQsD"" calls 40",2026-02-16T13:58:26.106Z,177125030610600
"""27 @ YkRLv6Nf7r"" bets 40",2026-02-16T13:58:19.365Z,177125029936500
"Flop:  [7♦, 9♥, 9♠]",2026-02-16T13:58:02.666Z,177125028266600
"""Ramune @ soKGYfNQsD"" calls 60",2026-02-16T13:58:01.798Z,177125028179800
"""27 @ YkRLv6Nf7r"" raises to 60",2026-02-16T13:57:54.677Z,177125027467700
"""alfort @ TkMT4agdsh"" folds",2026-02-16T13:57:49.662Z,177125026966200
"""とーち @ xV3KBDal40"" folds",2026-02-16T13:57:48.227Z,177125026822700
"""waho @ Oc04ITRF7i"" folds",2026-02-16T13:57:47.224Z,177125026722400
"""Ramune @ soKGYfNQsD"" posts a big blind of 20",2026-02-16T13:57:44.682Z,177125026468208
"""27 @ YkRLv6Nf7r"" posts a small blind of 10",2026-02-16T13:57:44.682Z,177125026468207
"Player stacks: #1 ""alfort @ TkMT4agdsh"" (3519) | #3 ""27 @ YkRLv6Nf7r"" (2070) | #8 ""Ramune @ soKGYfNQsD"" (3915) | #9 ""waho @ Oc04ITRF7i"" (2190) | #10 ""とーち @ xV3KBDal40"" (3272)",2026-02-16T13:57:44.682Z,177125026468201
"-- starting hand #178 (id: 2tapminootfv)  No Limit Texas Hold'em (dealer: ""alfort @ TkMT4agdsh"") --",2026-02-16T13:57:44.682Z,177125026468200
"-- ending hand #177 --",2026-02-16T13:57:41.741Z,177125026174102
"""Ramune @ soKGYfNQsD"" collected 50 from pot",2026-02-16T13:57:41.741Z,177125026174101
