entry,at,order
"The player ""翔斗 @ 4_RBXVU9-k"" quits the game with a stack of 3599.",2026-02-16T14:02:35.028Z,177125055502800
"-- ending hand #170 --",2026-02-16T14:02:28.735Z,177125054873502
"""teish @ v-iN-1QQsm"" collected 40 from pot",2026-02-16T14:02:28.735Z,177125054873501
"Uncalled bet of 1960 returned to ""teish @ v-iN-1QQsm""",2026-02-16T14:02:28.735Z,177125054873500
"""roi @ ZzPjBrJeSm"" folds",2026-02-16T14:02:27.895Z,177125054789500
"The admin ""Ramune @ soKGYfNQsD"" enqueued the game stop on next hand.",2026-02-16T14:02:19.428Z,177125053942800
"""teish @ v-iN-1QQsm"" raises to 1980 and go all in",2026-02-16T14:00:41.980Z,177125044198000
"""Ramune @ soKGYfNQsD"" folds",2026-02-16T14:00:32.508Z,177125043250800
"""翔斗 @ 4_RBXVU9-k"" folds",2026-02-16T14:00:12.071Z,177125041207100
"""roi @ ZzPjBrJeSm"" posts a big blind of 20",2026-02-16T14:00:08.025Z,177125040802507
"""teish @ v-iN-1QQsm"" posts a small blind of 10",2026-02-16T14:00:08.025Z,177125040802506
"Player stacks: #3 ""翔斗 @ 4_RBXVU9-k"" (3599) | #5 ""Ramune @ soKGYfNQsD"" (2543) | #7 ""teish @ v-iN-1QQsm"" (1980) | #9 ""roi @ ZzPjBrJeSm"" (2605)",2026-02-16T14:00:08.025Z,177125040802501
"-- starting hand #170 (id: 2fwekjpbn93m)  No Limit Texas Hold'em (dealer: ""Ramune @ soKGYfNQsD"") --",2026-02-16T14:00:08.025Z,177125040802500
"-- ending hand #169 --",2026-02-16T14:00:05.056Z,177125040505602
"""翔斗 @ 4_RBXVU9-k"" collected 50 from pot",2026-02-16T14:00:05.056Z,177125040505601
"Uncalled bet of 30 returned to ""翔斗 @ 4_RBXVU9-k""",2026-02-16T14:00:05.056Z,177125040505600
"""teish @ v-iN-1QQsm"" folds",2026-02-16T14:00:04.185Z,177125040418500
"""Ramune @ soKGYfNQsD"" folds",2026-02-16T14:00:01.986Z,177125040198600
"""翔斗 @ 4_RBXVU9-k"" raises to 50",2026-02-16T14:00:00.905Z,177125040090500
"""roi @ ZzPjBrJeSm"" folds",2026-02-16T13:59:56.668Z,177125039666800
"""teish @ v-iN-1QQsm"" posts a big blind of 20",2026-02-16T13:58:11.661Z,177125029166107
"""Ramune @ soKGYfNQsD"" posts a small blind of 10",2026-02-16T13:58:11.661Z,177125029166106
"Player stacks: #3 ""翔斗 @ 4_RBXVU9-k"" (3569) | #5 ""Ramune @ soKGYfNQsD"" (2553) | #7 ""teish @ v-iN-1QQsm"" (2000) | #9 ""roi @ ZzPjBrJeSm"" (2605)",2026-02-16T13:58:11.661Z,177125029166101
"-- starting hand #169 (id: og4haq84fazw)  No Limit Texas Hold'em (dealer: ""翔斗 @ 4_RBXVU9-k"") --",2026-02-16T13:58:11.661Z,177125029166100
"-- ending hand #168 --",2026-02-16T13:58:08.713Z,177125028871302
"""teish @ v-iN-1QQsm"" collected 50 from pot",2026-02-16T13:58:08.713Z,177125028871301
"Uncalled bet of 25 returned to ""teish @ v-iN-1QQsm""",2026-02-16T13:58:08.713Z,177125028871300
"""Ramune @ soKGYfNQsD"" folds",2026-02-16T13:58:07.905Z,177125028790500
"""翔斗 @ 4_RBXVU9-k"" folds",2026-02-16T13:58:06.871Z,177125028687100
"""roi @ ZzPjBrJeSm"" folds",2026-02-16T13:58:05.794Z,177125028579400
"""teish @ v-iN-1QQsm"" raises to 45",2026-02-16T13:56:19.908Z,177125017990800
"""Ramune @ soKGYfNQsD"" posts a big blind of 20",2026-02-16T13:56:12.041Z,177125017204107
"""翔斗 @ 4_RBXVU9-k"" posts a small blind of 10",2026-02-16T13:56:12.041Z,177125017204106
"Player stacks: #3 ""翔斗 @ 4_RBXVU9-k"" (3579) | #5 ""Ramune @ soKGYfNQsD"" (2573) | #7 ""teish @ v-iN-1QQsm"" (1970) | #9 ""roi @ ZzPjBrJeSm"" (2605)",2026-02-16T13:56:12.041Z,177125017204101
"-- starting hand #168 (id: q0shjyij0dws)  No Limit Texas Hold'em (dealer: ""roi @ ZzPjBrJeSm"") --",2026-02-16T13:56:12.041Z,177125017204100
"-- ending hand #167 --",2026-02-16T13:56:09.083Z,177125016908302
"""翔斗 @ 4_RBXVU9-k"" collected 20 from pot",2026-02-16T13:56:09.083Z,177125016908301
"Uncalled bet of 10 returned to ""翔斗 @ 4_RBXVU9-k""",2026-02-16T13:56:09.083Z,177125016908300
"The player ""Guest @ UwTKsId05i"" passed the room ownership to ""Ramune @ soKGYfNQsD"".",2026-02-16T13:56:08.272Z,177125016827201
"""roi @ ZzPjBrJeSm"" folds",2026-02-16T13:56:08.272Z,177125016827200
"""teish @ v-iN-1QQsm"" folds",2026-02-16T13:54:12.424Z,177125005242400
"""Ramune @ soKGYfNQsD"" folds",2026-02-16T13:54:06.741Z,177125004674100
"""翔斗 @ 4_RBXVU9-k"" posts a big blind of 20",2026-02-16T13:54:04.965Z,177125004496507
"""roi @ ZzPjBrJeSm"" posts a small blind of 10",2026-02-16T13:54:04.965Z,177125004496506
"Player stacks: #3 ""翔斗 @ 4_RBXVU9-k"" (3569) | #5 ""Ramune @ soKGYfNQsD"" (2573) | #7 ""teish @ v-iN-1QQsm"" (1970) | #9 ""roi @ ZzPjBrJeSm"" (2615)",2026-02-16T13:54:04.965Z,177125004496501
