entry,at,order
"The player ""そふとくりーむ @ 9W903vxPw_"" quits the game with a stack of 2180.",2026-02-16T14:00:19.366Z,177125041936600
"The player ""shunsuke11 @ CmPBhvSXqk"" quits the game with a stack of 2578.",2026-02-16T14:00:14.082Z,177125041408200
"-- ending hand #208 --",2026-02-16T14:00:11.160Z,177125041116002
"""そふとくりーむ @ 9W903vxPw_"" collected 20 from pot",2026-02-16T14:00:11.160Z,177125041116001
"Uncalled bet of 10 returned to ""そふとくりーむ @ 9W903vxPw_""",2026-02-16T14:00:11.160Z,177125041116000
"""shunsuke11 @ CmPBhvSXqk"" folds",2026-02-16T14:00:10.300Z,177125041030000
"""そふとくりーむ @ 9W903vxPw_"" posts a big blind of 20",2026-02-16T14:00:05.258Z,177125040525805
"""shunsuke11 @ CmPBhvSXqk"" posts a small blind of 10",2026-02-16T14:00:05.258Z,177125040525804
"Player stacks: #2 ""そふとくりーむ @ 9W903vxPw_"" (2170) | #5 ""shunsuke11 @ CmPBhvSXqk"" (2588)",2026-02-16T14:00:05.258Z,177125040525801
"-- starting hand #208 (id: jgdi33wnwhfs)  No Limit Texas Hold'em (dealer: ""shunsuke11 @ CmPBhvSXqk"") --",2026-02-16T14:00:05.258Z,177125040525800
"-- ending hand #207 --",2026-02-16T14:00:02.342Z,177125040234202
"""shunsuke11 @ CmPBhvSXqk"" collected 20 from pot",2026-02-16T14:00:02.342Z,177125040234201
"Uncalled bet of 10 returned to ""shunsuke11 @ CmPBhvSXqk""",2026-02-16T14:00:02.342Z,177125040234200
"""そふとくりーむ @ 9W903vxPw_"" folds",2026-02-16T14:00:01.183Z,177125040118300
"""shunsuke11 @ CmPBhvSXqk"" posts a big blind of 20",2026-02-16T13:59:59.168Z,177125039916806
"""そふとくりーむ @ 9W903vxPw_"" posts a small blind of 10",2026-02-16T13:59:59.168Z,177125039916805
"Player stacks: #2 ""そふとくりーむ @ 9W903vxPw_"" (2180) | #5 ""shunsuke11 @ CmPBhvSXqk"" (2578)",2026-02-16T13:59:59.168Z,177125039916802
"-- starting hand #207 (id: bk5wr0ndxvb4)  No Limit Texas Hold'em (dealer: ""そふとくりーむ @ 9W903vxPw_"") --",2026-02-16T13:59:59.168Z,177125039916801
"The player ""Yu. @ 1UXbmlVx8V"" quits the game with a stack of 3277.",2026-02-16T13:59:59.168Z,177125039916800
"-- ending hand #206 --",2026-02-16T13:59:56.236Z,177125039623602
"""shunsuke11 @ CmPBhvSXqk"" collected 20 from pot",2026-02-16T13:59:56.236Z,177125039623601
"Uncalled bet of 10 returned to ""shunsuke11 @ CmPBhvSXqk""",2026-02-16T13:59:56.236Z,177125039623600
"""そふとくりーむ @ 9W903vxPw_"" folds",2026-02-16T13:59:55.390Z,177125039539000
"""Yu. @ 1UXbmlVx8V"" folds",2026-02-16T13:59:53.247Z,177125039324700
"""shunsuke11 @ CmPBhvSXqk"" posts a big blind of 20",2026-02-16T13:59:46.965Z,177125038696507
"""そふとくりーむ @ 9W903vxPw_"" posts a small blind of 10",2026-02-16T13:59:46.965Z,177125038696506
"Player stacks: #2 ""そふとくりーむ @ 9W903vxPw_"" (2190) | #5 ""shunsuke11 @ CmPBhvSXqk"" (2568) | #8 ""Yu. @ 1UXbmlVx8V"" (3277)",2026-02-16T13:59:46.965Z,177125038696502
