entry,at,order
"The player ""Guest @ bxHeKDrVfJ"" passed the room ownership to ""そふとくりーむ @ 9W903vxPw_"".",2026-02-23T14:06:23.843Z,177185558384300
"The admin updated the player ""そふとくりーむ @ 9W903vxPw_"" stack from 1960 to 2000.",2026-02-23T14:00:29.755Z,177185522975501
"The admin updated the player ""ノガード @ GgfRhPuspx"" stack from 1910 to 2000.",2026-02-23T14:00:29.755Z,177185522975500
"""らねおか @ l218j9GUvI"" shows a 10♦, 8♠.",2026-02-23T14:00:27.128Z,177185522712800
"-- ending hand #83 --",2026-02-23T14:00:26.095Z,177185522609502
"""らねおか @ l218j9GUvI"" collected 120 from pot",2026-02-23T14:00:26.095Z,177185522609501
"Uncalled bet of 40 returned to ""らねおか @ l218j9GUvI""",2026-02-23T14:00:26.095Z,177185522609500
"""そふとくりーむ @ 9W903vxPw_"" folds",2026-02-23T14:00:25.269Z,177185522526900
"""Futa @ kVKTrcl3ld"" folds",2026-02-23T14:00:23.818Z,177185522381800
"The admin ""Guest @ bxHeKDrVfJ"" enqueued the game stop on next hand.",2026-02-23T14:00:03.574Z,177185520357400
"""らねおか @ l218j9GUvI"" bets 40",2026-02-23T14:00:02.855Z,177185520285500
"""そふとくりーむ @ 9W903vxPw_"" checks",2026-02-23T14:00:00.350Z,177185520035000
"""Futa @ kVKTrcl3ld"" checks",2026-02-23T13:59:59.082Z,177185519908200
"Flop:  [A♣, 7♣, Q♦]",2026-02-23T13:59:38.875Z,177185517887500
"""そふとくりーむ @ 9W903vxPw_"" calls 40",2026-02-23T13:59:38.056Z,177185517805600
"""Futa @ kVKTrcl3ld"" calls 40",2026-02-23T13:59:33.811Z,177185517381100
"""らねおか @ l218j9GUvI"" raises to 40",2026-02-23T13:59:16.071Z,177185515607100
"""utos @ g0yui9LXM4"" folds",2026-02-23T13:59:13.625Z,177185515362500
"WARNING: the admin queued the stack change for the player ""そふとくりーむ @ 9W903vxPw_"" reseting to 2000 chips in the next hand.",2026-02-23T13:59:12.764Z,177185515276400
"""ノガード @ GgfRhPuspx"" folds",2026-02-23T13:59:12.513Z,177185515251300
"""とーち @ xV3KBDal40"" folds",2026-02-23T13:59:11.479Z,177185515147900
"WARNING: the admin queued the stack change for the player ""ノガード @ GgfRhPuspx"" reseting to 2000 chips in the next hand.",2026-02-23T13:59:10.815Z,177185515081500
"""そふとくりーむ @ 9W903vxPw_"" posts a big blind of 20",2026-02-23T13:59:07.860Z,177185514786009
"""Futa @ kVKTrcl3ld"" posts a small blind of 10",2026-02-23T13:59:07.860Z,177185514786008
"Your hand is 9♣, J♥",2026-02-23T13:59:07.860Z,177185514786002
"Player stacks: #2 ""ノガード @ GgfRhPuspx"" (1910) | #3 ""utos @ g0yui9LXM4"" (2050) | #4 ""らねおか @ l218j9GUvI"" (3500) | #5 ""Futa @ kVKTrcl3ld"" (2014) | #8 ""そふとくりーむ @ 9W903vxPw_"" (2000) | #10 ""とーち @ xV3KBDal40"" (2419)",2026-02-23T13:59:07.860Z,177185514786001
"-- starting hand #83 (id: vfpo4tacs59q)  No Limit Texas Hold'em (dealer: ""らねおか @ l218j9GUvI"") --",2026-02-23T13:59:07.860Z,177185514786000
"""ノガード @ GgfRhPuspx"" shows a 9♥, 9♠.",2026-02-23T13:59:05.853Z,177185514585300
"""らねおか @ l218j9GUvI"" shows a A♦, A♠.",2026-02-23T13:59:04.161Z,177185514416100
"-- ending hand #82 --",2026-02-23T13:59:03.507Z,177185514350702
"""らねおか @ l218j9GUvI"" collected 960 from pot",2026-02-23T13:59:03.507Z,177185514350701
"Uncalled bet of 720 returned to ""らねおか @ l218j9GUvI""",2026-02-23T13:59:03.507Z,177185514350700
"""ノガード @ GgfRhPuspx"" folds",2026-02-23T13:59:02.704Z,177185514270400
"""らねおか @ l218j9GUvI"" bets 720",2026-02-23T13:58:59.687Z,177185513968700
"Turn: J♣, 6♦, 6♣ [5♠]",2026-02-23T13:58:57.400Z,177185513740000
"""ノガード @ GgfRhPuspx"" calls 240",2026-02-23T13:58:56.583Z,177185513658300
"""らねおか @ l218j9GUvI"" bets 240",2026-02-23T13:58:47.898Z,177185512789800
"Flop:  [J♣, 6♦, 6♣]",2026-02-23T13:58:43.619Z,177185512361900
"""ノガード @ GgfRhPuspx"" calls 230",2026-02-23T13:58:42.797Z,177185512279700
"""Futa @ kVKTrcl3ld"" folds",2026-02-23T13:58:36.497Z,177185511649700
"""らねおか @ l218j9GUvI"" raises to 230",2026-02-23T13:58:34.070Z,177185511407000
"""utos @ g0yui9LXM4"" folds",2026-02-23T13:58:29.960Z,177185510996000
"""ノガード @ GgfRhPuspx"" raises to 50",2026-02-23T13:58:28.212Z,177185510821200
"""とーち @ xV3KBDal40"" folds",2026-02-23T13:58:22.901Z,177185510290100
"""そふとくりーむ @ 9W903vxPw_"" folds",2026-02-23T13:58:19.541Z,177185509954100
"""Futa @ kVKTrcl3ld"" posts a big blind of 20",2026-02-23T13:58:16.923Z,177185509692309
"""らねおか @ l218j9GUvI"" posts a small blind of 10",2026-02-23T13:58:16.923Z,177185509692308
"Your hand is 9♥, 9♠",2026-02-23T13:58:16.923Z,177185509692302
"Player stacks: #2 ""ノガード @ GgfRhPuspx"" (2380) | #3 ""utos @ g0yui9LXM4"" (2050) | #4 ""らねおか @ l218j9GUvI"" (3010) | #5 ""Futa @ kVKTrcl3ld"" (2034) | #8 ""そふとくりーむ @ 9W903vxPw_"" (2000) | #10 ""とーち @ xV3KBDal40"" (2419)",2026-02-23T13:58:16.923Z,177185509692301
