entry,at,order
"The player ""Kay @ 5v7PwEvIAz"" quits the game with a stack of 3259.",2026-02-23T14:00:24.188Z,177185522418800
"The player ""SetsunaTrip @ O2b7zy1-XM"" quits the game with a stack of 3060.",2026-02-23T14:00:22.454Z,177185522245402
"The player ""Shinngo2 @ 9o1jneL_Ei"" quits the game with a stack of 2000.",2026-02-23T14:00:22.454Z,177185522245401
"The admin updated the player ""Shinngo2 @ 9o1jneL_Ei"" stack from 2020 to 2000.",2026-02-23T14:00:22.454Z,177185522245400
"-- ending hand #230 --",2026-02-23T14:00:19.546Z,177185521954602
"""Shinngo2 @ 9o1jneL_Ei"" collected 20 from pot",2026-02-23T14:00:19.546Z,177185521954601
"Uncalled bet of 10 returned to ""Shinngo2 @ 9o1jneL_Ei""",2026-02-23T14:00:19.546Z,177185521954600
"""Kay @ 5v7PwEvIAz"" folds",2026-02-23T14:00:18.695Z,177185521869500
"WARNING: the admin queued the stack change for the player ""Shinngo2 @ 9o1jneL_Ei"" reseting to 2000 chips in the next hand.",2026-02-23T14:00:08.028Z,177185520802800
"""SetsunaTrip @ O2b7zy1-XM"" folds",2026-02-23T14:00:03.738Z,177185520373800
"""Shinngo2 @ 9o1jneL_Ei"" posts a big blind of 20",2026-02-23T14:00:03.035Z,177185520303507
"""Kay @ 5v7PwEvIAz"" posts a small blind of 10",2026-02-23T14:00:03.035Z,177185520303506
"Player stacks: #3 ""Shinngo2 @ 9o1jneL_Ei"" (2010) | #9 ""SetsunaTrip @ O2b7zy1-XM"" (3060) | #10 ""Kay @ 5v7PwEvIAz"" (3269)",2026-02-23T14:00:03.035Z,177185520303502
"-- starting hand #230 (id: ohglirpnfjbn)  No Limit Texas Hold'em (dealer: ""SetsunaTrip @ O2b7zy1-XM"") --",2026-02-23T14:00:03.035Z,177185520303501
"The player ""ゆうま @ MI-fYAoFiY"" quits the game with a stack of 3462.",2026-02-23T14:00:03.035Z,177185520303500
"-- ending hand #229 --",2026-02-23T13:59:59.897Z,177185519989702
"""SetsunaTrip @ O2b7zy1-XM"" collected 140 from pot",2026-02-23T13:59:59.897Z,177185519989701
"Uncalled bet of 220 returned to ""SetsunaTrip @ O2b7zy1-XM""",2026-02-23T13:59:59.897Z,177185519989700
"""Shinngo2 @ 9o1jneL_Ei"" folds",2026-02-23T13:59:59.052Z,177185519905200
"""Kay @ 5v7PwEvIAz"" folds",2026-02-23T13:59:56.060Z,177185519606000
"""SetsunaTrip @ O2b7zy1-XM"" raises to 280",2026-02-23T13:59:52.066Z,177185519206600
"""ゆうま @ MI-fYAoFiY"" folds",2026-02-23T13:59:40.043Z,177185518004300
"""Shinngo2 @ 9o1jneL_Ei"" raises to 60",2026-02-23T13:59:37.593Z,177185517759300
"""Kay @ 5v7PwEvIAz"" posts a big blind of 20",2026-02-23T13:59:28.938Z,177185516893808
"""SetsunaTrip @ O2b7zy1-XM"" posts a small blind of 10",2026-02-23T13:59:28.938Z,177185516893807
