entry,at,order
"The player ""Guest @ bxHeKDrVfJ"" passed the room ownership to ""GIL RAIM @ dPnVkST7ll"".",2026-02-23T14:04:18.212Z,177185545821200
"-- ending hand #196 --",2026-02-23T14:01:30.977Z,177185529097702
"""すとふぁ @ M4pyIQvfB9"" collected 285 from pot",2026-02-23T14:01:30.977Z,177185529097701
"Uncalled bet of 330 returned to ""すとふぁ @ M4pyIQvfB9""",2026-02-23T14:01:30.977Z,177185529097700
"""TNT @ DXrWVNkdav"" folds",2026-02-23T14:01:30.168Z,177185529016800
"""GIL RAIM @ dPnVkST7ll"" folds",2026-02-23T14:01:25.590Z,177185528559000
"""すとふぁ @ M4pyIQvfB9"" bets 330",2026-02-23T14:01:17.058Z,177185527705800
"""TNT @ DXrWVNkdav"" checks",2026-02-23T14:01:09.221Z,177185526922100
"""GIL RAIM @ dPnVkST7ll"" checks",2026-02-23T14:01:05.922Z,177185526592200
"Turn: K♥, J♠, 3♦ [10♦]",2026-02-23T14:00:59.284Z,177185525928400
"""TNT @ DXrWVNkdav"" calls 45",2026-02-23T14:00:58.453Z,177185525845300
"""GIL RAIM @ dPnVkST7ll"" calls 45",2026-02-23T14:00:50.687Z,177185525068700
"""すとふぁ @ M4pyIQvfB9"" bets 45",2026-02-23T14:00:37.973Z,177185523797300
"""TNT @ DXrWVNkdav"" checks",2026-02-23T14:00:29.370Z,177185522937000
"""GIL RAIM @ dPnVkST7ll"" checks",2026-02-23T14:00:26.734Z,177185522673400
"Flop:  [K♥, J♠, 3♦]",2026-02-23T14:00:21.430Z,177185522143000
"""TNT @ DXrWVNkdav"" calls 50",2026-02-23T14:00:20.602Z,177185522060200
"""GIL RAIM @ dPnVkST7ll"" calls 50",2026-02-23T14:00:13.628Z,177185521362800
"The admin ""Guest @ bxHeKDrVfJ"" enqueued the game stop on next hand.",2026-02-23T14:00:12.191Z,177185521219100
"""すとふぁ @ M4pyIQvfB9"" raises to 50",2026-02-23T14:00:11.033Z,177185521103300
"""AontheRiver @ 3xNTeMox_o"" folds",2026-02-23T13:59:56.390Z,177185519639000
"""TNT @ DXrWVNkdav"" posts a big blind of 20",2026-02-23T13:59:54.630Z,177185519463007
"""GIL RAIM @ dPnVkST7ll"" posts a small blind of 10",2026-02-23T13:59:54.630Z,177185519463006
"Player stacks: #1 ""GIL RAIM @ dPnVkST7ll"" (3102) | #4 ""TNT @ DXrWVNkdav"" (3574) | #7 ""AontheRiver @ 3xNTeMox_o"" (3310) | #10 ""すとふぁ @ M4pyIQvfB9"" (2166)",2026-02-23T13:59:54.630Z,177185519463001
"-- starting hand #196 (id: hpnt8udsukuv)  No Limit Texas Hold'em (dealer: ""すとふぁ @ M4pyIQvfB9"") --",2026-02-23T13:59:54.630Z,177185519463000
"-- ending hand #195 --",2026-02-23T13:59:51.712Z,177185519171202
"""GIL RAIM @ dPnVkST7ll"" collected 130 from pot",2026-02-23T13:59:51.712Z,177185519171201
"Uncalled bet of 60 returned to ""GIL RAIM @ dPnVkST7ll""",2026-02-23T13:59:51.712Z,177185519171200
"""TNT @ DXrWVNkdav"" folds",2026-02-23T13:59:50.908Z,177185519090800
"""GIL RAIM @ dPnVkST7ll"" raises to 120",2026-02-23T13:59:35.103Z,177185517510300
"""すとふぁ @ M4pyIQvfB9"" folds",2026-02-23T13:59:22.378Z,177185516237800
"""AontheRiver @ 3xNTeMox_o"" folds",2026-02-23T13:59:17.658Z,177185515765800
"""TNT @ DXrWVNkdav"" raises to 60",2026-02-23T13:59:15.347Z,177185515534700
"""GIL RAIM @ dPnVkST7ll"" posts a big blind of 20",2026-02-23T13:59:11.862Z,177185515186207
"""すとふぁ @ M4pyIQvfB9"" posts a small blind of 10",2026-02-23T13:59:11.862Z,177185515186206
"Player stacks: #1 ""GIL RAIM @ dPnVkST7ll"" (3032) | #4 ""TNT @ DXrWVNkdav"" (3634) | #7 ""AontheRiver @ 3xNTeMox_o"" (3310) | #10 ""すとふぁ @ M4pyIQvfB9"" (2176)",2026-02-23T13:59:11.862Z,177185515186201
"-- starting hand #195 (id: f3uzphcvf2t5)  No Limit Texas Hold'em (dealer: ""AontheRiver @ 3xNTeMox_o"") --",2026-02-23T13:59:11.862Z,177185515186200
"-- ending hand #194 --",2026-02-23T13:59:08.909Z,177185514890902
