entry,at,order
"The player ""takatony @ j_3joKfzS9"" quits the game with a stack of 3145.",2026-02-23T14:07:14.955Z,177185563495500
"The player ""Guest @ bxHeKDrVfJ"" passed the room ownership to ""Hinano @ WeOKnoOueQ"".",2026-02-23T14:06:28.017Z,177185558801700
"The player ""konishi @ rhUBwDuHCf"" quits the game with a stack of 2100.",2026-02-23T14:00:30.858Z,177185523085801
"The player ""Rabbit900 @ yEOnuJcBZo"" quits the game with a stack of 3124.",2026-02-23T14:00:30.858Z,177185523085800
"-- ending hand #204 --",2026-02-23T14:00:27.953Z,177185522795302
"""すとふぁ @ M4pyIQvfB9"" collected 50 from pot",2026-02-23T14:00:27.953Z,177185522795301
"Uncalled bet of 30 returned to ""すとふぁ @ M4pyIQvfB9""",2026-02-23T14:00:27.953Z,177185522795300
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-02-23T14:00:27.098Z,177185522709800
"""Hinano @ WeOKnoOueQ"" folds",2026-02-23T14:00:26.270Z,177185522627000
"""takatony @ j_3joKfzS9"" folds",2026-02-23T14:00:20.419Z,177185522041900
"""konishi @ rhUBwDuHCf"" folds",2026-02-23T14:00:14.570Z,177185521457000
"""すとふぁ @ M4pyIQvfB9"" raises to 50",2026-02-23T14:00:13.762Z,177185521376200
"The admin ""Guest @ bxHeKDrVfJ"" enqueued the game stop on next hand.",2026-02-23T14:00:07.608Z,177185520760800
"""Rabbit900 @ yEOnuJcBZo"" posts a big blind of 20",2026-02-23T14:00:04.681Z,177185520468108
"""Hinano @ WeOKnoOueQ"" posts a small blind of 10",2026-02-23T14:00:04.681Z,177185520468107
"Player stacks: #2 ""konishi @ rhUBwDuHCf"" (2100) | #4 ""takatony @ j_3joKfzS9"" (3145) | #7 ""Hinano @ WeOKnoOueQ"" (3443) | #8 ""Rabbit900 @ yEOnuJcBZo"" (3144) | #9 ""すとふぁ @ M4pyIQvfB9"" (2337)",2026-02-23T14:00:04.681Z,177185520468101
"-- starting hand #204 (id: vfjchp2vmcza)  No Limit Texas Hold'em (dealer: ""takatony @ j_3joKfzS9"") --",2026-02-23T14:00:04.681Z,177185520468100
"-- ending hand #203 --",2026-02-23T14:00:01.719Z,177185520171902
"""konishi @ rhUBwDuHCf"" collected 50 from pot",2026-02-23T14:00:01.719Z,177185520171901
"Uncalled bet of 30 returned to ""konishi @ rhUBwDuHCf""",2026-02-23T14:00:01.719Z,177185520171900
"""Hinano @ WeOKnoOueQ"" folds",2026-02-23T14:00:00.858Z,177185520085800
"""takatony @ j_3joKfzS9"" folds",2026-02-23T13:59:57.664Z,177185519766400
"""konishi @ rhUBwDuHCf"" raises to 50",2026-02-23T13:59:56.168Z,177185519616800
"""すとふぁ @ M4pyIQvfB9"" folds",2026-02-23T13:59:49.000Z,177185518900000
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-02-23T13:59:47.912Z,177185518791200
"""Hinano @ WeOKnoOueQ"" posts a big blind of 20",2026-02-23T13:59:43.743Z,177185518374308
"""takatony @ j_3joKfzS9"" posts a small blind of 10",2026-02-23T13:59:43.743Z,177185518374307
"Player stacks: #2 ""konishi @ rhUBwDuHCf"" (2070) | #4 ""takatony @ j_3joKfzS9"" (3155) | #7 ""Hinano @ WeOKnoOueQ"" (3463) | #8 ""Rabbit900 @ yEOnuJcBZo"" (3144) | #9 ""すとふぁ @ M4pyIQvfB9"" (2337)",2026-02-23T13:59:43.743Z,177185518374301
"-- starting hand #203 (id: jvjowwixpsfz)  No Limit Texas Hold'em (dealer: ""konishi @ rhUBwDuHCf"") --",2026-02-23T13:59:43.743Z,177185518374300
"-- ending hand #202 --",2026-02-23T13:59:40.824Z,177185518082402
"""Hinano @ WeOKnoOueQ"" collected 280 from pot",2026-02-23T13:59:40.824Z,177185518082401
"Uncalled bet of 260 returned to ""Hinano @ WeOKnoOueQ""",2026-02-23T13:59:40.824Z,177185518082400
"""すとふぁ @ M4pyIQvfB9"" folds",2026-02-23T13:59:40.014Z,177185518001400
"""Hinano @ WeOKnoOueQ"" raises to 340",2026-02-23T13:59:31.869Z,177185517186900
"""すとふぁ @ M4pyIQvfB9"" bets 80",2026-02-23T13:59:05.468Z,177185514546800
"""Hinano @ WeOKnoOueQ"" checks",2026-02-23T13:58:59.612Z,177185513961200
"Turn: 4♥, 7♠, K♥ [6♥]",2026-02-23T13:58:50.620Z,177185513062000
"""すとふぁ @ M4pyIQvfB9"" checks",2026-02-23T13:58:49.806Z,177185512980600
"""Hinano @ WeOKnoOueQ"" checks",2026-02-23T13:58:47.113Z,177185512711300
"Flop:  [4♥, 7♠, K♥]",2026-02-23T13:58:42.770Z,177185512277000
"""takatony @ j_3joKfzS9"" folds",2026-02-23T13:58:41.930Z,177185512193000
"""konishi @ rhUBwDuHCf"" folds",2026-02-23T13:58:39.725Z,177185511972500
"""すとふぁ @ M4pyIQvfB9"" calls 45",2026-02-23T13:58:38.605Z,177185511860500
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-02-23T13:58:36.652Z,177185511665200
"""Hinano @ WeOKnoOueQ"" raises to 45",2026-02-23T13:58:34.824Z,177185511482400
