entry,at,order
"The player ""Guest @ bxHeKDrVfJ"" passed the room ownership to ""Hinano @ WeOKnoOueQ"".",2026-02-23T14:04:51.891Z,177185549189100
"-- ending hand #165 --",2026-02-23T14:01:52.713Z,177185531271302
"""わた @ kgEmed-EEr"" collected 820 from pot",2026-02-23T14:01:52.713Z,177185531271301
"Uncalled bet of 615 returned to ""わた @ kgEmed-EEr""",2026-02-23T14:01:52.713Z,177185531271300
"""ElNino @ byYrvu0Qdy"" folds",2026-02-23T14:01:51.864Z,177185531186400
"""わた @ kgEmed-EEr"" bets 615",2026-02-23T14:01:25.811Z,177185528581100
"""ElNino @ byYrvu0Qdy"" checks",2026-02-23T14:01:17.718Z,177185527771800
"Turn: Q♥, 7♥, J♦ [6♠]",2026-02-23T14:01:13.548Z,177185527354800
"""わた @ kgEmed-EEr"" calls 200",2026-02-23T14:01:12.741Z,177185527274100
"""ElNino @ byYrvu0Qdy"" bets 200",2026-02-23T14:00:54.069Z,177185525406900
"Flop:  [Q♥, 7♥, J♦]",2026-02-23T14:00:41.102Z,177185524110200
"""わた @ kgEmed-EEr"" calls 200",2026-02-23T14:00:40.278Z,177185524027800
"""Hinano @ WeOKnoOueQ"" folds",2026-02-23T14:00:38.554Z,177185523855400
"""ElNino @ byYrvu0Qdy"" raises to 200",2026-02-23T14:00:34.249Z,177185523424900
"The admin ""Guest @ bxHeKDrVfJ"" enqueued the game stop on next hand.",2026-02-23T14:00:27.955Z,177185522795500
"""わた @ kgEmed-EEr"" raises to 40",2026-02-23T14:00:23.590Z,177185522359000
"""Hinano @ WeOKnoOueQ"" posts a big blind of 20",2026-02-23T14:00:21.547Z,177185522154708
"""ElNino @ byYrvu0Qdy"" posts a small blind of 10",2026-02-23T14:00:21.547Z,177185522154707
"Player stacks: #1 ""Hinano @ WeOKnoOueQ"" (2257) | #7 ""わた @ kgEmed-EEr"" (2000) | #9 ""ElNino @ byYrvu0Qdy"" (3367)",2026-02-23T14:00:21.547Z,177185522154703
"-- starting hand #165 (id: cb5mzy6dmlev)  No Limit Texas Hold'em (dealer: ""わた @ kgEmed-EEr"") --",2026-02-23T14:00:21.547Z,177185522154702
"The player ""Rabbit900 @ yEOnuJcBZo"" quits the game with a stack of 3395.",2026-02-23T14:00:21.547Z,177185522154701
"The admin updated the player ""わた @ kgEmed-EEr"" stack from 1420 to 2000.",2026-02-23T14:00:21.547Z,177185522154700
"-- ending hand #164 --",2026-02-23T14:00:15.540Z,177185521554003
"""ElNino @ byYrvu0Qdy"" collected 270 from pot with Pair, K's (combination: 8♥, 10♠, A♣, K♥, K♠)",2026-02-23T14:00:15.540Z,177185521554002
"""ElNino @ byYrvu0Qdy"" shows a 8♥, K♥.",2026-02-23T14:00:15.540Z,177185521554001
"""わた @ kgEmed-EEr"" shows a 9♦, 7♦.",2026-02-23T14:00:15.540Z,177185521554000
"""Hinano @ WeOKnoOueQ"" checks",2026-02-23T14:00:14.708Z,177185521470800
"""ElNino @ byYrvu0Qdy"" checks",2026-02-23T14:00:10.497Z,177185521049700
"""わた @ kgEmed-EEr"" checks",2026-02-23T13:59:38.171Z,177185517817100
"River: K♠, 7♥, A♣, 6♠ [10♠]",2026-02-23T13:59:35.474Z,177185517547400
"""Hinano @ WeOKnoOueQ"" checks",2026-02-23T13:59:34.646Z,177185517464600
"""ElNino @ byYrvu0Qdy"" checks",2026-02-23T13:59:28.754Z,177185516875400
"""わた @ kgEmed-EEr"" checks",2026-02-23T13:59:27.071Z,177185516707100
"Turn: K♠, 7♥, A♣ [6♠]",2026-02-23T13:59:24.614Z,177185516461400
"""ElNino @ byYrvu0Qdy"" calls 45",2026-02-23T13:59:23.746Z,177185516374600
"""わた @ kgEmed-EEr"" calls 45",2026-02-23T13:59:11.418Z,177185515141800
"""Hinano @ WeOKnoOueQ"" bets 45",2026-02-23T13:59:09.484Z,177185514948400
"""ElNino @ byYrvu0Qdy"" checks",2026-02-23T13:59:02.805Z,177185514280500
"""わた @ kgEmed-EEr"" checks",2026-02-23T13:59:00.706Z,177185514070600
"Flop:  [K♠, 7♥, A♣]",2026-02-23T13:58:59.005Z,177185513900500
"""ElNino @ byYrvu0Qdy"" calls 45",2026-02-23T13:58:58.189Z,177185513818900
"""わた @ kgEmed-EEr"" calls 45",2026-02-23T13:58:48.797Z,177185512879700
"""Rabbit900 @ yEOnuJcBZo"" folds",2026-02-23T13:58:43.502Z,177185512350200
"""Hinano @ WeOKnoOueQ"" raises to 45",2026-02-23T13:58:40.878Z,177185512087800
"WARNING: the admin queued the stack change for the player ""わた @ kgEmed-EEr"" reseting to 2000 chips in the next hand.",2026-02-23T13:58:39.209Z,177185511920900
"""ElNino @ byYrvu0Qdy"" posts a big blind of 20",2026-02-23T13:58:35.568Z,177185511556807
"""わた @ kgEmed-EEr"" posts a small blind of 10",2026-02-23T13:58:35.568Z,177185511556806
