player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Kuni",HIjaJ0Hz7_,2026-02-23T13:11:23.208Z,2026-02-23T14:00:33.556Z,3000,4022,0,1022
"cymx2724",Yg9-tEe5QH,2026-02-23T12:36:39.304Z,2026-02-23T13:52:22.379Z,2878,3729,0,851
"A.",Pfn3NeXS10,2026-02-23T12:33:08.092Z,2026-02-23T12:35:31.549Z,2000,0,0,-2000
"ゆうま",MI-fYAoFiY,2026-02-23T12:29:19.800Z,2026-02-23T14:00:22.157Z,2120,4150,0,2030
"ノガード",GgfRhPuspx,2026-02-23T12:23:14.111Z,2026-02-23T12:26:45.604Z,2010,2056,0,46
"ばどえあー",Ji_JkhdQ8C,2026-02-23T12:08:46.220Z,2026-02-23T13:59:13.520Z,2400,2880,0,480
"tknsn",gEdtsiCEzz,2026-02-23T11:52:22.710Z,2026-02-23T13:02:39.687Z,5128,2030,0,-3098
"Kuni",SjaMjI_Tdg,2026-02-23T11:46:20.968Z,2026-02-23T12:23:14.107Z,3000,3155,0,155
"それいゆ るな",s_7Utr4tDi,2026-02-23T11:35:31.130Z,2026-02-23T12:15:47.555Z,5144,2370,0,-2774
"ノガード",GgfRhPuspx,2026-02-23T11:31:26.766Z,2026-02-23T11:46:41.079Z,2100,2040,0,-60
"粗茶",bpqBqMLbP8,2026-02-23T11:31:26.763Z,2026-02-23T13:50:28.865Z,2221,2730,0,509
"粗茶",bpqBqMLbP8,,2026-02-23T11:31:02.770Z,2000,2000,0,0
"Noram",DZezvMNAJy,2026-02-23T11:31:26.761Z,2026-02-23T14:00:22.153Z,3619,6458,0,2839
