entry,at,order
"The player ""Kuni @ HIjaJ0Hz7_"" quits the game with a stack of 2941.",2026-02-23T14:00:33.551Z,177185523355100
"The player ""Kuni @ HIjaJ0Hz7_"" stand up with the stack of 2941.",2026-02-23T14:00:28.939Z,177185522893900
"The player ""ゆうま @ MI-fYAoFiY"" quits the game with a stack of 2940.",2026-02-23T14:00:22.147Z,177185522214702
"The player ""Noram @ DZezvMNAJy"" quits the game with a stack of 2000.",2026-02-23T14:00:22.147Z,177185522214701
"The admin updated the player ""Noram @ DZezvMNAJy"" stack from 1960 to 2000.",2026-02-23T14:00:22.147Z,177185522214700
"-- ending hand #165 --",2026-02-23T14:00:19.228Z,177185521922802
"""Noram @ DZezvMNAJy"" collected 20 from pot",2026-02-23T14:00:19.228Z,177185521922801
"Uncalled bet of 10 returned to ""Noram @ DZezvMNAJy""",2026-02-23T14:00:19.228Z,177185521922800
"""ゆうま @ MI-fYAoFiY"" folds",2026-02-23T14:00:18.384Z,177185521838400
"The admin ""Guest @ bxHeKDrVfJ"" enqueued the game stop on next hand.",2026-02-23T14:00:16.204Z,177185521620400
"""Kuni @ HIjaJ0Hz7_"" folds",2026-02-23T14:00:15.978Z,177185521597800
"WARNING: the admin queued the stack change for the player ""Noram @ DZezvMNAJy"" reseting to 2000 chips in the next hand.",2026-02-23T14:00:14.834Z,177185521483400
"""Noram @ DZezvMNAJy"" posts a big blind of 20",2026-02-23T14:00:12.939Z,177185521293906
"""ゆうま @ MI-fYAoFiY"" posts a small blind of 10",2026-02-23T14:00:12.939Z,177185521293905
"Player stacks: #3 ""Noram @ DZezvMNAJy"" (1950) | #5 ""Kuni @ HIjaJ0Hz7_"" (2941) | #9 ""ゆうま @ MI-fYAoFiY"" (2950)",2026-02-23T14:00:12.939Z,177185521293901
"-- starting hand #165 (id: j8d3bpqhibwm)  No Limit Texas Hold'em (dealer: ""Kuni @ HIjaJ0Hz7_"") --",2026-02-23T14:00:12.939Z,177185521293900
"-- ending hand #164 --",2026-02-23T14:00:06.891Z,177185520689102
"""Kuni @ HIjaJ0Hz7_"" collected 120 from pot with Pair, K's (combination: 7♠, 10♠, Q♠, K♣, K♦)",2026-02-23T14:00:06.891Z,177185520689101
"""Kuni @ HIjaJ0Hz7_"" shows a K♣, 3♣.",2026-02-23T14:00:06.891Z,177185520689100
"""Noram @ DZezvMNAJy"" checks",2026-02-23T14:00:06.028Z,177185520602800
"""Kuni @ HIjaJ0Hz7_"" checks",2026-02-23T14:00:04.963Z,177185520496300
"River: Q♠, 7♠, 10♠, K♦ [6♠]",2026-02-23T14:00:03.161Z,177185520316100
"""Noram @ DZezvMNAJy"" checks",2026-02-23T14:00:02.057Z,177185520205700
"""Kuni @ HIjaJ0Hz7_"" checks",2026-02-23T13:59:56.366Z,177185519636600
"Turn: Q♠, 7♠, 10♠ [K♦]",2026-02-23T13:59:55.152Z,177185519515200
"""Noram @ DZezvMNAJy"" checks",2026-02-23T13:59:54.329Z,177185519432900
"""Kuni @ HIjaJ0Hz7_"" checks",2026-02-23T13:59:46.637Z,177185518663700
"Flop:  [Q♠, 7♠, 10♠]",2026-02-23T13:59:44.344Z,177185518434400
"""ゆうま @ MI-fYAoFiY"" folds",2026-02-23T13:59:43.537Z,177185518353700
"""Kuni @ HIjaJ0Hz7_"" calls 50",2026-02-23T13:59:40.697Z,177185518069700
"""Noram @ DZezvMNAJy"" raises to 50",2026-02-23T13:59:38.713Z,177185517871300
"""ゆうま @ MI-fYAoFiY"" posts a big blind of 20",2026-02-23T13:59:35.019Z,177185517501907
"""Kuni @ HIjaJ0Hz7_"" posts a small blind of 10",2026-02-23T13:59:35.019Z,177185517501906
"Player stacks: #3 ""Noram @ DZezvMNAJy"" (2000) | #5 ""Kuni @ HIjaJ0Hz7_"" (2871) | #9 ""ゆうま @ MI-fYAoFiY"" (2970)",2026-02-23T13:59:35.019Z,177185517501902
"-- starting hand #164 (id: jzl5lhioo9lg)  No Limit Texas Hold'em (dealer: ""Noram @ DZezvMNAJy"") --",2026-02-23T13:59:35.019Z,177185517501901
"The admin updated the player ""Noram @ DZezvMNAJy"" stack from 1940 to 2000.",2026-02-23T13:59:35.019Z,177185517501900
"-- ending hand #163 --",2026-02-23T13:59:32.070Z,177185517207002
"""Kuni @ HIjaJ0Hz7_"" collected 120 from pot",2026-02-23T13:59:32.070Z,177185517207001
"Uncalled bet of 120 returned to ""Kuni @ HIjaJ0Hz7_""",2026-02-23T13:59:32.070Z,177185517207000
"""Noram @ DZezvMNAJy"" folds",2026-02-23T13:59:31.222Z,177185517122200
"""Kuni @ HIjaJ0Hz7_"" raises to 180",2026-02-23T13:59:29.396Z,177185516939600
"""Noram @ DZezvMNAJy"" raises to 60",2026-02-23T13:59:22.221Z,177185516222100
"""ゆうま @ MI-fYAoFiY"" folds",2026-02-23T13:59:18.721Z,177185515872100
"WARNING: the admin queued the stack change for the player ""Noram @ DZezvMNAJy"" reseting to 2000 chips in the next hand.",2026-02-23T13:59:16.703Z,177185515670300
"""Kuni @ HIjaJ0Hz7_"" posts a big blind of 20",2026-02-23T13:59:13.513Z,177185515351308
"""Noram @ DZezvMNAJy"" posts a small blind of 10",2026-02-23T13:59:13.513Z,177185515351307
"Player stacks: #3 ""Noram @ DZezvMNAJy"" (2000) | #5 ""Kuni @ HIjaJ0Hz7_"" (2811) | #9 ""ゆうま @ MI-fYAoFiY"" (2970)",2026-02-23T13:59:13.513Z,177185515351303
"-- starting hand #163 (id: ycagxfxkymg7)  No Limit Texas Hold'em (dealer: ""ゆうま @ MI-fYAoFiY"") --",2026-02-23T13:59:13.513Z,177185515351302
"The player ""ばどえあー @ Ji_JkhdQ8C"" quits the game with a stack of 2560.",2026-02-23T13:59:13.513Z,177185515351301
"The admin updated the player ""Noram @ DZezvMNAJy"" stack from 1980 to 2000.",2026-02-23T13:59:13.513Z,177185515351300
"-- ending hand #162 --",2026-02-23T13:59:10.603Z,177185515060302
"""ゆうま @ MI-fYAoFiY"" collected 40 from pot",2026-02-23T13:59:10.603Z,177185515060301
"Uncalled bet of 40 returned to ""ゆうま @ MI-fYAoFiY""",2026-02-23T13:59:10.603Z,177185515060300
