player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"らねおか",l218j9GUvI,2026-02-23T13:55:16.031Z,,3000,,2900,-100
"すとふぁ",M4pyIQvfB9,2026-02-23T13:48:42.690Z,2026-02-23T14:00:23.257Z,2805,2020,0,-785
"utos",g0yui9LXM4,2026-02-23T12:33:24.907Z,,3237,,2654,-583
"コロリ",n0s1KAOIRL,2026-02-23T11:53:37.377Z,2026-02-23T13:31:49.413Z,3158,2386,0,-772
"Sky",Lx-JfyAGSv,2026-02-23T11:53:10.686Z,2026-02-23T12:29:30.269Z,4006,2151,0,-1855
"takatobi",4GTkR8PieQ,2026-02-23T11:50:40.760Z,2026-02-23T13:41:26.246Z,2688,3560,0,872
"Futa",JZI-nQiaw3,2026-02-23T11:50:40.756Z,2026-02-23T12:36:26.367Z,2080,3756,0,1676
"Fuku",mXg0a8r7as,2026-02-23T11:50:40.753Z,2026-02-23T13:41:07.035Z,6455,2205,0,-4250
"AontheRiver",3xNTeMox_o,2026-02-23T11:50:40.758Z,,2400,5453,2744,5797
"ノガード",GgfRhPuspx,,2026-02-23T11:50:05.743Z,2000,2000,0,0
