player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"mo'",HvUX-t1f2L,2026-03-02T12:41:08.858Z,2026-03-02T13:34:12.630Z,2500,3471,0,971
"mp'",HvUX-t1f2L,2026-03-02T12:38:19.301Z,2026-03-02T12:40:50.837Z,2500,2500,0,0
"sigma",yHZrsG6l5j,2026-03-02T12:08:42.023Z,2026-03-02T12:33:09.907Z,2150,2030,0,-120
"piro",S7w-gVAZS7,2026-03-02T12:07:20.664Z,2026-03-02T13:12:44.931Z,4055,2000,0,-2055
"Hinano",WeOKnoOueQ,2026-03-02T11:58:30.284Z,2026-03-02T13:50:02.064Z,3053,6189,0,3136
"takatony",j_3joKfzS9,2026-03-02T11:38:57.306Z,2026-03-02T13:50:23.946Z,4080,5365,0,1285
"すとふぁ",M4pyIQvfB9,2026-03-02T11:01:46.369Z,2026-03-02T12:04:41.991Z,2123,1470,0,-653
"はやと",FVa3nV5RVl,2026-03-02T11:01:46.367Z,2026-03-02T12:00:19.567Z,3120,2150,0,-970
"揚げもち",3liBhfdN10,2026-03-02T10:58:33.452Z,2026-03-02T13:46:14.588Z,3489,5933,0,2444
"roi",nipvI-vlJZ,2026-03-02T10:55:39.345Z,2026-03-02T22:51:30.476Z,7151,3245,0,-3906
"タナカ",4WtCZIPG2x,2026-03-02T10:51:29.163Z,2026-03-02T11:34:13.122Z,2030,3096,0,1066
"イナズマKすけ",3hUaqLSXt3,2026-03-02T10:51:29.161Z,2026-03-02T11:50:55.297Z,3475,2347,0,-1128
"はやと",FVa3nV5RVl,2026-03-02T10:51:29.158Z,2026-03-02T11:01:17.798Z,2080,2010,0,-70
