entry,at,order
"The player ""roi @ nipvI-vlJZ"" quits the game with a stack of 2005.",2026-03-02T22:51:30.470Z,177249189047000
"The player ""Guest @ JTos4d2uJO"" passed the room ownership to ""roi @ nipvI-vlJZ"".",2026-03-02T14:04:58.197Z,177246029819700
"The player ""takatony @ j_3joKfzS9"" quits the game with a stack of 3165.",2026-03-02T13:50:23.941Z,177245942394100
"The player ""Hinano @ WeOKnoOueQ"" quits the game with a stack of 2055.",2026-03-02T13:50:01.991Z,177245940199101
"The player ""roi @ nipvI-vlJZ"" stand up with the stack of 2005.",2026-03-02T13:50:01.991Z,177245940199100
"-- ending hand #192 --",2026-03-02T13:49:58.829Z,177245939882902
"""Hinano @ WeOKnoOueQ"" collected 40 from pot",2026-03-02T13:49:58.829Z,177245939882901
"Uncalled bet of 20 returned to ""Hinano @ WeOKnoOueQ""",2026-03-02T13:49:58.829Z,177245939882900
"""roi @ nipvI-vlJZ"" folds",2026-03-02T13:49:58.006Z,177245939800600
"""Hinano @ WeOKnoOueQ"" raises to 40",2026-03-02T13:48:47.452Z,177245932745200
"""takatony @ j_3joKfzS9"" folds",2026-03-02T13:48:44.804Z,177245932480400
"""roi @ nipvI-vlJZ"" posts a big blind of 20",2026-03-02T13:48:43.346Z,177245932334606
"""Hinano @ WeOKnoOueQ"" posts a small blind of 10",2026-03-02T13:48:43.346Z,177245932334605
"Player stacks: #1 ""Hinano @ WeOKnoOueQ"" (2035) | #4 ""roi @ nipvI-vlJZ"" (2025) | #8 ""takatony @ j_3joKfzS9"" (3165)",2026-03-02T13:48:43.346Z,177245932334601
"-- starting hand #192 (id: plsh7rozdlok)  No Limit Texas Hold'em (dealer: ""takatony @ j_3joKfzS9"") --",2026-03-02T13:48:43.346Z,177245932334600
"-- ending hand #191 --",2026-03-02T13:48:40.345Z,177245932034502
"""takatony @ j_3joKfzS9"" collected 40 from pot",2026-03-02T13:48:40.345Z,177245932034501
"Uncalled bet of 60 returned to ""takatony @ j_3joKfzS9""",2026-03-02T13:48:40.345Z,177245932034500
"""Hinano @ WeOKnoOueQ"" folds",2026-03-02T13:48:39.455Z,177245931945500
"""takatony @ j_3joKfzS9"" raises to 80",2026-03-02T13:48:36.068Z,177245931606800
"""roi @ nipvI-vlJZ"" folds",2026-03-02T13:47:59.621Z,177245927962100
"""Hinano @ WeOKnoOueQ"" posts a big blind of 20",2026-03-02T13:46:14.582Z,177245917458207
"""takatony @ j_3joKfzS9"" posts a small blind of 10",2026-03-02T13:46:14.582Z,177245917458206
"Player stacks: #1 ""Hinano @ WeOKnoOueQ"" (2055) | #4 ""roi @ nipvI-vlJZ"" (2025) | #8 ""takatony @ j_3joKfzS9"" (3145)",2026-03-02T13:46:14.582Z,177245917458202
"-- starting hand #191 (id: xptc84enxskn)  No Limit Texas Hold'em (dealer: ""roi @ nipvI-vlJZ"") --",2026-03-02T13:46:14.582Z,177245917458201
"The player ""揚げもち @ 3liBhfdN10"" quits the game with a stack of 2588.",2026-03-02T13:46:14.582Z,177245917458200
"-- ending hand #190 --",2026-03-02T13:46:11.675Z,177245917167502
"""Hinano @ WeOKnoOueQ"" collected 100 from pot",2026-03-02T13:46:11.675Z,177245917167501
"Uncalled bet of 100 returned to ""Hinano @ WeOKnoOueQ""",2026-03-02T13:46:11.675Z,177245917167500
"""takatony @ j_3joKfzS9"" folds",2026-03-02T13:46:10.852Z,177245917085200
"""Hinano @ WeOKnoOueQ"" bets 100",2026-03-02T13:46:04.029Z,177245916402900
"""takatony @ j_3joKfzS9"" checks",2026-03-02T13:45:55.213Z,177245915521300
"River: 7♦, 8♣, 10♦, K♥ [7♣]",2026-03-02T13:45:53.136Z,177245915313600
"""Hinano @ WeOKnoOueQ"" checks",2026-03-02T13:45:52.321Z,177245915232100
"""takatony @ j_3joKfzS9"" checks",2026-03-02T13:45:44.525Z,177245914452500
"Turn: 7♦, 8♣, 10♦ [K♥]",2026-03-02T13:45:22.861Z,177245912286100
"""Hinano @ WeOKnoOueQ"" checks",2026-03-02T13:45:22.054Z,177245912205400
"""takatony @ j_3joKfzS9"" checks",2026-03-02T13:45:12.924Z,177245911292400
"Flop:  [7♦, 8♣, 10♦]",2026-03-02T13:45:11.100Z,177245911110000
"""takatony @ j_3joKfzS9"" calls 45",2026-03-02T13:45:10.293Z,177245911029300
"""roi @ nipvI-vlJZ"" folds",2026-03-02T13:45:05.640Z,177245910564000
"""Hinano @ WeOKnoOueQ"" raises to 45",2026-03-02T13:43:19.787Z,177245899978700
"""揚げもち @ 3liBhfdN10"" folds",2026-03-02T13:43:12.240Z,177245899224000
"""takatony @ j_3joKfzS9"" posts a big blind of 20",2026-03-02T13:43:09.154Z,177245898915408
"""roi @ nipvI-vlJZ"" posts a small blind of 10",2026-03-02T13:43:09.154Z,177245898915407
"Player stacks: #1 ""Hinano @ WeOKnoOueQ"" (2000) | #4 ""roi @ nipvI-vlJZ"" (2035) | #8 ""takatony @ j_3joKfzS9"" (3190) | #9 ""揚げもち @ 3liBhfdN10"" (2588)",2026-03-02T13:43:09.154Z,177245898915402
"-- starting hand #190 (id: tgrqbriaraeh)  No Limit Texas Hold'em (dealer: ""Hinano @ WeOKnoOueQ"") --",2026-03-02T13:43:09.154Z,177245898915401
"The admin updated the player ""Hinano @ WeOKnoOueQ"" stack from 2020 to 2000.",2026-03-02T13:43:09.154Z,177245898915400
"-- ending hand #189 --",2026-03-02T13:43:06.217Z,177245898621702
"""Hinano @ WeOKnoOueQ"" collected 40 from pot",2026-03-02T13:43:06.217Z,177245898621701
"Uncalled bet of 20 returned to ""Hinano @ WeOKnoOueQ""",2026-03-02T13:43:06.217Z,177245898621700
"""roi @ nipvI-vlJZ"" folds",2026-03-02T13:43:05.353Z,177245898535300
"""Hinano @ WeOKnoOueQ"" raises to 40",2026-03-02T13:40:34.509Z,177245883450900
"""揚げもち @ 3liBhfdN10"" folds",2026-03-02T13:40:30.658Z,177245883065800
"""takatony @ j_3joKfzS9"" folds",2026-03-02T13:40:29.575Z,177245882957500
"WARNING: the admin queued the stack change for the player ""Hinano @ WeOKnoOueQ"" reseting to 2000 chips in the next hand.",2026-03-02T13:39:53.576Z,177245879357600
"""roi @ nipvI-vlJZ"" posts a big blind of 20",2026-03-02T13:39:51.936Z,177245879193608
"""Hinano @ WeOKnoOueQ"" posts a small blind of 10",2026-03-02T13:39:51.936Z,177245879193607
"Player stacks: #1 ""Hinano @ WeOKnoOueQ"" (2000) | #4 ""roi @ nipvI-vlJZ"" (2055) | #8 ""takatony @ j_3joKfzS9"" (3190) | #9 ""揚げもち @ 3liBhfdN10"" (2588)",2026-03-02T13:39:51.936Z,177245879193602
"-- starting hand #189 (id: qivhlfh0ujbi)  No Limit Texas Hold'em (dealer: ""揚げもち @ 3liBhfdN10"") --",2026-03-02T13:39:51.936Z,177245879193601
"The admin updated the player ""Hinano @ WeOKnoOueQ"" stack from 2010 to 2000.",2026-03-02T13:39:51.936Z,177245879193600
"-- ending hand #188 --",2026-03-02T13:39:48.966Z,177245878896602
"""Hinano @ WeOKnoOueQ"" collected 20 from pot",2026-03-02T13:39:48.966Z,177245878896601
"Uncalled bet of 10 returned to ""Hinano @ WeOKnoOueQ""",2026-03-02T13:39:48.966Z,177245878896600
"""揚げもち @ 3liBhfdN10"" folds",2026-03-02T13:39:48.162Z,177245878816200
"""takatony @ j_3joKfzS9"" folds",2026-03-02T13:39:47.037Z,177245878703700
"""roi @ nipvI-vlJZ"" folds",2026-03-02T13:39:45.948Z,177245878594800
"WARNING: the admin queued the stack change for the player ""Hinano @ WeOKnoOueQ"" reseting to 2000 chips in the next hand.",2026-03-02T13:39:29.243Z,177245876924300
"""Hinano @ WeOKnoOueQ"" posts a big blind of 20",2026-03-02T13:39:25.917Z,177245876591707
"""揚げもち @ 3liBhfdN10"" posts a small blind of 10",2026-03-02T13:39:25.917Z,177245876591706
"Player stacks: #1 ""Hinano @ WeOKnoOueQ"" (2000) | #4 ""roi @ nipvI-vlJZ"" (2055) | #8 ""takatony @ j_3joKfzS9"" (3190) | #9 ""揚げもち @ 3liBhfdN10"" (2598)",2026-03-02T13:39:25.917Z,177245876591701
"-- starting hand #188 (id: nufuyarbl8vk)  No Limit Texas Hold'em (dealer: ""takatony @ j_3joKfzS9"") --",2026-03-02T13:39:25.917Z,177245876591700
"-- ending hand #187 --",2026-03-02T13:39:22.992Z,177245876299202
"""takatony @ j_3joKfzS9"" collected 40 from pot",2026-03-02T13:39:22.992Z,177245876299201
"Uncalled bet of 40 returned to ""takatony @ j_3joKfzS9""",2026-03-02T13:39:22.992Z,177245876299200
"""揚げもち @ 3liBhfdN10"" folds",2026-03-02T13:39:22.153Z,177245876215300
"""takatony @ j_3joKfzS9"" raises to 60",2026-03-02T13:39:21.008Z,177245876100800
"""roi @ nipvI-vlJZ"" folds",2026-03-02T13:39:14.925Z,177245875492500
"""Hinano @ WeOKnoOueQ"" folds",2026-03-02T13:39:07.352Z,177245874735200
