player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ElNino",byYrvu0Qdy,2026-03-02T13:51:10.414Z,2026-03-02T14:00:47.774Z,2130,2010,0,-120
"sultan.",vVo9VdBVBm,2026-03-02T13:29:06.276Z,,2010,1865,2685,2540
"APO",XqrTiXnRSu,2026-03-02T11:44:20.709Z,2026-03-02T13:34:37.584Z,3625,1075,0,-2550
"arash!",PB93yGRdRr,2026-03-02T11:39:31.147Z,2026-03-02T13:00:51.339Z,3000,3370,0,370
"takatony",j_3joKfzS9,2026-03-02T11:37:30.109Z,2026-03-02T14:01:25.689Z,3000,3490,0,490
"つー",bqEtnO6wX9,2026-03-02T11:35:46.541Z,2026-03-02T14:03:35.695Z,3742,3015,0,-727
"なんでやねん",r1CBe6Qe79,2026-03-02T11:34:12.593Z,2026-03-02T13:05:30.942Z,2613,2046,0,-567
"ElNino",byYrvu0Qdy,2026-03-02T11:34:12.595Z,2026-03-02T13:25:56.592Z,2614,3330,0,716
"ノガード",GgfRhPuspx,2026-03-02T11:34:12.597Z,2026-03-02T11:42:49.696Z,2500,2348,0,-152
"ノガード",GgfRhPuspx,,2026-03-02T11:31:06.271Z,2500,2500,0,0
