entry,at,order
"The player ""Guest @ JTos4d2uJO"" passed the room ownership to ""sultan. @ vVo9VdBVBm"".",2026-03-02T14:06:35.734Z,177246039573400
"The player ""つー @ bqEtnO6wX9"" quits the game with a stack of 2020.",2026-03-02T14:03:35.692Z,177246021569200
"The player ""takatony @ j_3joKfzS9"" quits the game with a stack of 3490.",2026-03-02T14:01:25.685Z,177246008568500
"The player ""ElNino @ byYrvu0Qdy"" quits the game with a stack of 2000.",2026-03-02T14:00:47.771Z,177246004777100
"The admin updated the player ""ElNino @ byYrvu0Qdy"" stack from 1980 to 2000.",2026-03-02T14:00:28.852Z,177246002885200
"The admin ""Guest @ JTos4d2uJO"" enqueued the game stop on next hand.",2026-03-02T14:00:26.819Z,177246002681900
"-- ending hand #174 --",2026-03-02T14:00:25.901Z,177246002590102
"""takatony @ j_3joKfzS9"" collected 50 from pot",2026-03-02T14:00:25.901Z,177246002590101
"Uncalled bet of 40 returned to ""takatony @ j_3joKfzS9""",2026-03-02T14:00:25.901Z,177246002590100
"""ElNino @ byYrvu0Qdy"" folds",2026-03-02T14:00:25.094Z,177246002509400
"""sultan. @ vVo9VdBVBm"" folds",2026-03-02T14:00:24.069Z,177246002406900
"""takatony @ j_3joKfzS9"" raises to 60",2026-03-02T14:00:23.010Z,177246002301000
"""つー @ bqEtnO6wX9"" folds",2026-03-02T14:00:17.940Z,177246001794000
"WARNING: the admin queued the stack change for the player ""ElNino @ byYrvu0Qdy"" reseting to 2000 chips in the next hand.",2026-03-02T14:00:17.683Z,177246001768300
"""ElNino @ byYrvu0Qdy"" posts a big blind of 20",2026-03-02T14:00:15.367Z,177246001536708
"""sultan. @ vVo9VdBVBm"" posts a small blind of 10",2026-03-02T14:00:15.367Z,177246001536707
"Player stacks: #1 ""つー @ bqEtnO6wX9"" (2020) | #5 ""takatony @ j_3joKfzS9"" (3460) | #6 ""sultan. @ vVo9VdBVBm"" (2695) | #7 ""ElNino @ byYrvu0Qdy"" (2000)",2026-03-02T14:00:15.367Z,177246001536702
"-- starting hand #174 (id: xfseo8kgcglj)  No Limit Texas Hold'em (dealer: ""takatony @ j_3joKfzS9"") --",2026-03-02T14:00:15.367Z,177246001536701
"The admin updated the player ""ElNino @ byYrvu0Qdy"" stack from 1900 to 2000.",2026-03-02T14:00:15.367Z,177246001536700
"-- ending hand #173 --",2026-03-02T14:00:09.359Z,177246000935902
"""sultan. @ vVo9VdBVBm"" collected 170 from pot with Pair, 4's (combination: 7♣, 8♥, A♣, 4♠, 4♣)",2026-03-02T14:00:09.359Z,177246000935901
"""sultan. @ vVo9VdBVBm"" shows a 4♠, 5♠.",2026-03-02T14:00:09.359Z,177246000935900
"""ElNino @ byYrvu0Qdy"" checks",2026-03-02T14:00:08.515Z,177246000851500
"""sultan. @ vVo9VdBVBm"" checks",2026-03-02T14:00:07.041Z,177246000704100
"River: 4♣, 3♦, 7♣, A♣ [8♥]",2026-03-02T13:59:59.030Z,177245999903000
"""ElNino @ byYrvu0Qdy"" checks",2026-03-02T13:59:58.222Z,177245999822200
"""sultan. @ vVo9VdBVBm"" checks",2026-03-02T13:59:49.389Z,177245998938900
"Turn: 4♣, 3♦, 7♣ [A♣]",2026-03-02T13:59:47.464Z,177245998746400
"""sultan. @ vVo9VdBVBm"" calls 30",2026-03-02T13:59:46.661Z,177245998666100
"""ElNino @ byYrvu0Qdy"" bets 30",2026-03-02T13:59:41.706Z,177245998170600
