player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"MIU",ZoJemq3YPE,2026-03-02T13:44:50.226Z,,2050,80,2000,30
"dots",WCz-o4BU-5,2026-03-02T13:37:36.618Z,,2170,165,2000,-5
"ねくと",ghJwIbOflM,2026-03-02T13:02:13.864Z,2026-03-02T14:01:57.495Z,3000,4684,0,1684
"ねくと",ghJwIbOflM,2026-03-02T11:59:35.703Z,2026-03-02T13:00:26.526Z,3161,2272,0,-889
"ノガード",GgfRhPuspx,2026-03-02T11:58:37.202Z,2026-03-02T12:05:07.062Z,2500,2565,0,65
"shunsuke11",CmPBhvSXqk,2026-03-02T11:58:37.200Z,2026-03-02T14:01:57.488Z,5094,2503,0,-2591
"MIU",ZoJemq3YPE,2026-03-02T11:56:30.122Z,2026-03-02T13:31:07.045Z,2235,4667,0,2432
"Hinano",WeOKnoOueQ,2026-03-02T11:55:01.762Z,2026-03-02T13:54:19.410Z,3865,3508,0,-357
"engawa",cCFXQyltQ-,2026-03-02T11:55:01.783Z,,3000,,3321,321
"ノガード",GgfRhPuspx,2026-03-02T11:55:01.807Z,2026-03-02T11:57:18.176Z,2720,2030,0,-690
