entry,at,order
"The player ""Guest @ JTos4d2uJO"" passed the room ownership to ""engawa @ cCFXQyltQ-"".",2026-03-02T14:06:49.403Z,177246040940301
"The player ""dots @ WCz-o4BU-5"" stand up with the stack of 2000.",2026-03-02T14:06:49.403Z,177246040940300
"The player ""ねくと @ ghJwIbOflM"" quits the game with a stack of 3615.",2026-03-02T14:01:57.479Z,177246011747902
"The player ""shunsuke11 @ CmPBhvSXqk"" quits the game with a stack of 2030.",2026-03-02T14:01:57.479Z,177246011747901
"The admin updated the player ""dots @ WCz-o4BU-5"" stack from 1980 to 2000.",2026-03-02T14:01:57.479Z,177246011747900
"-- ending hand #125 --",2026-03-02T14:01:54.576Z,177246011457602
"""engawa @ cCFXQyltQ-"" collected 50 from pot",2026-03-02T14:01:54.576Z,177246011457601
"Uncalled bet of 37 returned to ""engawa @ cCFXQyltQ-""",2026-03-02T14:01:54.576Z,177246011457600
"""dots @ WCz-o4BU-5"" folds",2026-03-02T14:01:53.762Z,177246011376200
"The admin ""Guest @ JTos4d2uJO"" enqueued the game stop on next hand.",2026-03-02T14:00:29.097Z,177246002909700
"""shunsuke11 @ CmPBhvSXqk"" folds",2026-03-02T14:00:07.889Z,177246000788900
"""engawa @ cCFXQyltQ-"" raises to 57",2026-03-02T14:00:06.851Z,177246000685100
"""ねくと @ ghJwIbOflM"" folds",2026-03-02T13:59:51.865Z,177245999186500
"WARNING: the admin queued the stack change for the player ""dots @ WCz-o4BU-5"" reseting to 2000 chips in the next hand.",2026-03-02T13:59:47.194Z,177245998719400
"""dots @ WCz-o4BU-5"" posts a big blind of 20",2026-03-02T13:59:44.786Z,177245998478608
"""shunsuke11 @ CmPBhvSXqk"" posts a small blind of 10",2026-03-02T13:59:44.786Z,177245998478607
"Player stacks: #1 ""shunsuke11 @ CmPBhvSXqk"" (2040) | #4 ""dots @ WCz-o4BU-5"" (2000) | #8 ""ねくと @ ghJwIbOflM"" (3615) | #9 ""engawa @ cCFXQyltQ-"" (3291)",2026-03-02T13:59:44.786Z,177245998478602
"-- starting hand #125 (id: uzgotbrj8ilp)  No Limit Texas Hold'em (dealer: ""engawa @ cCFXQyltQ-"") --",2026-03-02T13:59:44.786Z,177245998478601
"The player ""MIU @ ZoJemq3YPE"" stand up with the stack of 2000.",2026-03-02T13:59:44.786Z,177245998478600
"-- ending hand #124 --",2026-03-02T13:59:41.859Z,177245998185902
"""shunsuke11 @ CmPBhvSXqk"" collected 20 from pot",2026-03-02T13:59:41.859Z,177245998185901
"Uncalled bet of 10 returned to ""shunsuke11 @ CmPBhvSXqk""",2026-03-02T13:59:41.859Z,177245998185900
"""engawa @ cCFXQyltQ-"" folds",2026-03-02T13:59:41.055Z,177245998105500
"""ねくと @ ghJwIbOflM"" folds",2026-03-02T13:59:39.998Z,177245997999800
"""MIU @ ZoJemq3YPE"" folds",2026-03-02T13:59:38.981Z,177245997898100
"""dots @ WCz-o4BU-5"" folds",2026-03-02T13:59:37.656Z,177245997765600
"""shunsuke11 @ CmPBhvSXqk"" posts a big blind of 20",2026-03-02T13:57:07.654Z,177245982765408
"""engawa @ cCFXQyltQ-"" posts a small blind of 10",2026-03-02T13:57:07.654Z,177245982765407
"Player stacks: #1 ""shunsuke11 @ CmPBhvSXqk"" (2030) | #4 ""dots @ WCz-o4BU-5"" (2000) | #6 ""MIU @ ZoJemq3YPE"" (2000) | #8 ""ねくと @ ghJwIbOflM"" (3615) | #9 ""engawa @ cCFXQyltQ-"" (3301)",2026-03-02T13:57:07.654Z,177245982765401
"-- starting hand #124 (id: c0xmoj53gluq)  No Limit Texas Hold'em (dealer: ""ねくと @ ghJwIbOflM"") --",2026-03-02T13:57:07.654Z,177245982765400
"-- ending hand #123 --",2026-03-02T13:57:04.704Z,177245982470402
"""engawa @ cCFXQyltQ-"" collected 120 from pot",2026-03-02T13:57:04.704Z,177245982470401
"Uncalled bet of 60 returned to ""engawa @ cCFXQyltQ-""",2026-03-02T13:57:04.704Z,177245982470400
"""ねくと @ ghJwIbOflM"" folds",2026-03-02T13:57:03.863Z,177245982386300
"""engawa @ cCFXQyltQ-"" bets 60",2026-03-02T13:57:01.416Z,177245982141600
"""ねくと @ ghJwIbOflM"" checks",2026-03-02T13:56:33.694Z,177245979369400
"Turn: 8♣, A♦, 8♥ [4♠]",2026-03-02T13:56:12.352Z,177245977235200
"""engawa @ cCFXQyltQ-"" checks",2026-03-02T13:56:11.522Z,177245977152200
"""ねくと @ ghJwIbOflM"" checks",2026-03-02T13:56:07.583Z,177245976758300
"Flop:  [8♣, A♦, 8♥]",2026-03-02T13:55:49.996Z,177245974999600
"""engawa @ cCFXQyltQ-"" calls 60",2026-03-02T13:55:49.109Z,177245974910900
"""ねくと @ ghJwIbOflM"" raises to 60",2026-03-02T13:55:28.420Z,177245972842000
"""MIU @ ZoJemq3YPE"" folds",2026-03-02T13:55:25.088Z,177245972508800
"""dots @ WCz-o4BU-5"" folds",2026-03-02T13:55:24.021Z,177245972402100
"""shunsuke11 @ CmPBhvSXqk"" folds",2026-03-02T13:55:20.328Z,177245972032800
"""engawa @ cCFXQyltQ-"" posts a big blind of 20",2026-03-02T13:55:18.482Z,177245971848209
"""ねくと @ ghJwIbOflM"" posts a small blind of 10",2026-03-02T13:55:18.482Z,177245971848208
"Player stacks: #1 ""shunsuke11 @ CmPBhvSXqk"" (2030) | #4 ""dots @ WCz-o4BU-5"" (2000) | #6 ""MIU @ ZoJemq3YPE"" (2000) | #8 ""ねくと @ ghJwIbOflM"" (3675) | #9 ""engawa @ cCFXQyltQ-"" (3241)",2026-03-02T13:55:18.482Z,177245971848202
"-- starting hand #123 (id: grbghtgqy1u3)  No Limit Texas Hold'em (dealer: ""MIU @ ZoJemq3YPE"") --",2026-03-02T13:55:18.482Z,177245971848201
"The admin updated the player ""MIU @ ZoJemq3YPE"" stack from 1990 to 2000.",2026-03-02T13:55:18.482Z,177245971848200
