entry,at,order
"The player ""Fuku @ mXg0a8r7as"" quits the game with a stack of 2765.",2026-03-02T13:31:09.128Z,177245826912800
"The player ""dots @ WCz-o4BU-5"" quits the game with a stack of 2000.",2026-03-02T13:31:01.754Z,177245826175402
"The player ""カイン @ IQmWjBAy3z"" quits the game with a stack of 2270.",2026-03-02T13:31:01.754Z,177245826175401
"The player ""dots @ WCz-o4BU-5"" stand up with the stack of 2000.",2026-03-02T13:31:01.754Z,177245826175400
"-- ending hand #99 --",2026-03-02T13:30:58.818Z,177245825881802
"""Fuku @ mXg0a8r7as"" collected 20 from pot",2026-03-02T13:30:58.818Z,177245825881801
"Uncalled bet of 10 returned to ""Fuku @ mXg0a8r7as""",2026-03-02T13:30:58.818Z,177245825881800
"""カイン @ IQmWjBAy3z"" folds",2026-03-02T13:30:58.000Z,177245825800000
"""dots @ WCz-o4BU-5"" folds",2026-03-02T13:30:47.860Z,177245824786000
"""Fuku @ mXg0a8r7as"" posts a big blind of 20",2026-03-02T13:30:40.279Z,177245824027907
"""カイン @ IQmWjBAy3z"" posts a small blind of 10",2026-03-02T13:30:40.279Z,177245824027906
"Player stacks: #2 ""dots @ WCz-o4BU-5"" (2000) | #6 ""カイン @ IQmWjBAy3z"" (2280) | #7 ""Fuku @ mXg0a8r7as"" (2755)",2026-03-02T13:30:40.279Z,177245824027902
"-- starting hand #99 (id: rzimoopr5zgg)  No Limit Texas Hold'em (dealer: ""dots @ WCz-o4BU-5"") --",2026-03-02T13:30:40.279Z,177245824027901
"The admin updated the player ""dots @ WCz-o4BU-5"" stack from 1990 to 2000.",2026-03-02T13:30:40.279Z,177245824027900
"-- ending hand #98 --",2026-03-02T13:30:37.324Z,177245823732402
"""カイン @ IQmWjBAy3z"" collected 20 from pot",2026-03-02T13:30:37.324Z,177245823732401
"Uncalled bet of 10 returned to ""カイン @ IQmWjBAy3z""",2026-03-02T13:30:37.324Z,177245823732400
"""dots @ WCz-o4BU-5"" folds",2026-03-02T13:30:36.486Z,177245823648600
"""Fuku @ mXg0a8r7as"" folds",2026-03-02T13:30:35.418Z,177245823541800
"WARNING: the admin queued the stack change for the player ""dots @ WCz-o4BU-5"" reseting to 2000 chips in the next hand.",2026-03-02T13:30:31.918Z,177245823191800
